Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"2501013","1","","","2010-03-23 15:12:33","","7","4310","<p>Microsoft have published <a href=""http://msdn.microsoft.com/en-us/devlabs/ee794896.aspx"" rel=""noreferrer"">Reactive Extensions for Javascript</a>.
It should make asynchronous (and event based) web-ui programming easy.</p>

<p>There are currently <a href=""http://live.visitmix.com/MIX10/Sessions/FTL01"" rel=""noreferrer"">a video</a> and <a href=""http://weblogs.asp.net/podwysocki/archive/2010/03/21/introduction-to-the-reactive-extensions-for-javascript-jquery-live-event-integration.aspx"" rel=""noreferrer"">some</a> tutorials.
But how cool UI could I really make? Do you know any good demos or code examples using rx.js?</p>
","17791","","11635","","2010-04-26 08:58:45","2011-09-05 09:57:39","Reactive Extensions for Javascript code examples","<javascript><reactive-extensions-js>","1","2","3","","","CC BY-SA 2.5"
"3125861","1","","","2010-06-26 23:43:39","","3","3064","<p>I'm trying to understand <a href=""http://msdn.microsoft.com/en-us/devlabs/ee794896.aspx"" rel=""nofollow noreferrer"">Reactive JS</a>.  In JQuery I can trigger custom events as</p>

<pre><code>$(document).bind('eventbus', function(e, d) { console.log(d);});
$(document).trigger('eventbus', 'test');
</code></pre>

<p>and pass around data (i.e. 'test'). It's not clear how to do this in RxJS.  I could try to convert the jquery events as</p>

<pre><code>var observable = $(document).ToObservable('eventbus');
</code></pre>

<p>but observable returns the event object but not my data object.   How do I trigger custom events with data using RxJS?  Do I always need to piggyback on some other event type?  My goal is to create a simple eventbus using RxJS.</p>
","118402","","","","","2011-04-25 20:56:58","Trigger custom event in Rx JS","<javascript><jquery><reactive-extensions-js>","2","0","1","","","CC BY-SA 2.5"
"3296974","1","3304773","","2010-07-21 07:08:02","","2","1925","<p>I wonder which is the best approach to trigger an event after several (unordered) ajax calls finished.</p>

<p>To make it a bit clearer, I would like to call a Method doSomethingGreat() which triggers several ajax calls, the order in which those succeed ins unnecessary. I just want to trigger an event 'SomethingGreatFinished' when all of those calls succeeded. I also don't want to chain these calls, because that would be lacking performance and would be totally against the idea of asynchronous programming.</p>

<p>I wonder if a.) there is a common pattern for that, b.) this can be done with the Reactive Extensions for JavaScript (RxJs) or c.) with native jquery features.</p>

<p>Any help is appreciated!</p>
","288703","","","","","2010-07-21 23:53:06","trigger event after several ajax calls succeeded","<jquery><ajax><events><triggers><reactive-extensions-js>","3","3","","","","CC BY-SA 2.5"
"4245545","1","4247892","","2010-11-22 12:49:11","","1","717","<p>I have an observable that when it fires a message is displayed. After a delay I want to fade that message out, unless in the mean time that observable has fired again.</p>

<p>In other words given an observable, I want to create another observable, such that when the last event fired the first observable is more than a specified time ago the created observable fires that last event.</p>
","27782","","27782","","2010-11-23 10:24:56","2010-11-23 10:24:56","Buffer/Ignore events until period of inactivity then fire only last event","<javascript><events><reactive-extensions-js>","1","0","2","","","CC BY-SA 2.5"
"4336645","1","4389212","","2010-12-02 15:31:33","","8","987","<p>I want to start learning <a href=""http://msdn.microsoft.com/en-us/devlabs/ee794896.aspx"" rel=""nofollow noreferrer"">Rx.js</a> and I'm looking for a cool example to start the ball rolling. How do I detect <a href=""http://en.wikipedia.org/wiki/Konami_Code"" rel=""nofollow noreferrer"">konami code</a> with Rx.js?</p>

<p>I want to detect a sequence of key press events (up up down down left right left right B A) and display an image if this happens.</p>
","196451","","1015495","","2015-06-12 12:41:35","2015-06-12 12:41:35","How to detect konami code with Rx.js (reactive extensions for javascript)?","<reactive-extensions-js>","2","0","1","","","CC BY-SA 2.5"
"4438957","1","4441471","","2010-12-14 12:06:32","","0","199","<p>I've got an object in JS in which I'm trying to test out the Reactive Framework In an event subscription I'd like to call an instance method of the enclosing class where the subscription is defined, like this; </p>

<pre><code>function MyClass()
{
    var DoSomething = function(a,b) { ... }

    var InstanceVariable = 1;

    this.uiEvent = uiDiv.jqueryUiWidget(""widget"")
        .toObservable(""change"")
        .Subscribe(
                function (event)
                {
                    // Want to call the instance method in the enclosing class
                    DoSomething(1,2);
                });

    this.uiEvent2 = uiDiv.jqueryUiWidget(""widget"")
        .toObservable(""change"")
        .Subscribe(
                function (event)
                {
                    // Want to use the instance variable within here
                    alert(InstanceVariable);  
                });
}
</code></pre>

<p>How can I do this (since the ""this"" scope is that of the subscription)? Do I have to pass the function/variable through when setting up the subscription in some way? </p>

<p>If I attempt to do this, I get an error in all browsers saying that the instance variables or methods don't exist: ""this"" within the scope of the function where I want to call the instance members refers to the Observer and so has functions of OnNext, OnCompleted etc.</p>

<p>Many Thanks,</p>

<p>Paul</p>
","541894","","541894","","2010-12-14 17:18:26","2010-12-14 17:18:26","Using instance variables/methods within Reactive Framework subscription in Javascript","<javascript><system.reactive><reactive-extensions-js>","1","0","","","","CC BY-SA 2.5"
"6002024","1","6003966","","2011-05-14 13:12:04","","1","170","<p>I'm trying to use RxJS in some GUI scenarios. I came across an interesting case.
I have a widget where one can view, edit and create entities. </p>

<p>When you click on the ""AddNewEntity"" Button. The editwidget creates an empty entity, loads it and changes into edit mode. However, if you are already in edit mode, it kindly askes if you like to revert changes first and once you clicked ""yes"" the same happens as described earlier.</p>

<p>So I thought Rx might help me with that. Here is the code.</p>

<pre><code>        Rx.Observable.Merge([

            editWidget.getObservable('AddNewEntityButtonClicked')
                      .Where(isNotInEditMode),
            editWidget.getObservable('AddNewEntityButtonClicked')
                      .Where(isInEditMode)
                      .Select(function (id) {
                          return dialogWidget.question(""Reject Changes?"", ""You are in edit mode. Reject Changes?"")
                            .Where(function (answer) { return answer === true; });
                      })
                      .Switch()
        ])
        .Subscribe(self, function () {
            var entity = createNewEntity();
            editWidget.loadEntity(currentEntity);
            editWidget.setEditMode();
        });
</code></pre>

<p>Basically I'm merging two streams. One stream of clicks to the button which is filtered by the state of the widget where the state is ""NotInEditMode"". And another stream of clicks to the button that is filtered to the opposite state plus is projected into the return value stream of the dialog. Notice that the return value of the dialog is an AsyncSubject of bool which represents the given answer.</p>

<p>Now the tricky part! It doesnt work this way! Why? Because when the state is ""NotInEditMode"", the first stream matches, <em>it sets the widget into edit mode</em> and now the second stream (which runs afterwards because of the order inside the merge) will also match which basically results into a completly inconsitent state (unlocked edit mode plus open dialog).</p>

<p>I found two ways to fix it. The first one, change the order inside the merge so that it looks like this:</p>

<pre><code>        Rx.Observable.Merge([
            editWidget.getObservable('AddNewEntityButtonClicked')
                      .Where(isInEditMode)
                      .Select(function (id) {
                          return dialogWidget.question(""Reject Changes?"", ""You are in edit mode. Reject Changes?"")
                            .Where(function (answer) { return answer === true; });
                      })
                      .Switch(),
            editWidget.getObservable('AddNewEntityButtonClicked')
                      .Where(isNotInEditMode)                
        ])
        .Subscribe(self, function () {
            var entity = createNewEntity();
            editWidget.loadEntity(currentEntity);
            editWidget.setEditMode();
        });
</code></pre>

<p>However, I dislike this solution. It's not obvious to the reader.</p>

<p>Fortunatly, I found another solution:</p>

<pre><code>        Rx.Observable.Merge([

            editWidget.getObservable('AddNewEntityButtonClicked')
                      .Where(isNotInEditMode),
            editWidget.getObservable('AddNewEntityButtonClicked')
                      .Where(isInEditMode)
                      .Select(function (id) {
                          return dialogWidget.question(""Reject Changes?"", ""You are in edit mode. Reject Changes?"")
                            .Where(function (answer) { return answer === true; });
                      })
                      .Switch()
        ])
        .Take(1)
        .Repeat()
        .Subscribe(self, function () {
            var entity = createNewEntity();
            editWidget.loadEntity(currentEntity);
            editWidget.setEditMode();
        });
</code></pre>

<p>The idea behind is that there can only be one way to go so the first matching scenario should abort all others.</p>

<p>However, I wonder if there might be a cleaner solution or if I'm trying to use Rx for things it wasnt designed for ;-)</p>
","288703","","","","","2011-05-14 18:29:13","Distinct between possible streams, looking for a clean solution","<system.reactive><reactive-programming><reactive-extensions-js>","1","0","","","","CC BY-SA 3.0"
"8421695","1","8422388","","2011-12-07 19:58:03","","44","6833","<p>Is SignalR the same thing is Reactive Extensions?  Can you explain why or why not?</p>
","280602","","","","","2015-05-11 00:28:15","SignalR vs. Reactive Extensions","<system.reactive><signalr><reactive-extensions-js>","1","1","18","","","CC BY-SA 3.0"
"8661106","1","8661210","","2011-12-28 20:46:00","","0","812","<p>I'm trying to make non-blocking calls to 3 public APIs, i.e website A,B,C and then forward the results back to the rails app as JSON datas. I asked if this is possible in node.js on another forum and it seems it is and someone pointed me to this solution that involves using node.js Step module and async library:</p>

<pre><code>Step( 
// Make 3 async calls in parallel 
  function loadStuff() { 
    getResultFromSiteA(params1, this.parallel()); 
    getResultFromSiteB(params2, this.parallel()); 
    getResultFromSiteC(params3, this.parallel()); 
  }, 
// Pass the result to Rails when you're done 
  function passOntoRails(err, resultsA, resultsB, resultsC) { 
    if (err) { throw err; } 
    passResultsToRails(resultsA, resultsB, resultsC); 
  } 
)
</code></pre>

<p>Recently I also found <a href=""https://stackoverflow.com/questions/3296974/trigger-event-after-several-ajax-calls-succeeded"">similar question here</a>. The answer suggests using forkjoin operator available within js extension I've never heard of; 'reactive js'. </p>

<p>So from what I can understand there's 2 ways of doing this; the first one through node.js and the second way is through simple multiple asynchronous ajax calls from client side using 'reactive'.</p>

<p>I'd like to know if one way simply performs better/faster than another? thanks. any opinions/answers/suggestions would be appreciated.</p>
","711926","","-1","","2017-05-23 10:34:26","2011-12-28 20:56:01","Multiple asynchronous public API calls (rails+node.js or reactive js)","<javascript><node.js><reactive-extensions-js>","1","0","1","","","CC BY-SA 3.0"
"8748937","1","8749339","","2012-01-05 20:00:14","","1","197","<p>I wan't to get text change events from input but limit them to 3 per second.</p>

<p>Rx support my wish? how can I achieve this ability?</p>
","67505","","","","","2012-01-07 17:57:00","How to buffer events with Rx extentions for JS","<reactive-extensions-js>","1","0","","","","CC BY-SA 3.0"
