Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"53329908","1","53497072","","2018-11-16 00:50:06","","4","1769","<p>The goal is simple: to join two firestore queries utilizing <code>rxjs</code>, <code>rxfire</code>, and the <code>rnfirebase</code> react native library.</p>

<p>I've read multiple tutorials <a href=""https://medium.com/google-developer-experts/performing-or-queries-in-firebase-cloud-firestore-for-javascript-with-rxjs-c361671b201e"" rel=""nofollow noreferrer"">1</a>, <a href=""https://angularfirebase.com/lessons/introduction-to-rxfire-rxjs-for-firebase/"" rel=""nofollow noreferrer"">2</a> on joining queries, but they all fail with different errors.</p>



<pre class=""lang-js prettyprint-override""><code>//Simple test for collectionData
import { collectionData } from 'rxfire/firestore';

this.myQuery = this.props.docRef.collection(`messages`).where('read', 'array-contains', this.props.me.uid)
collectionData(this.myQuery, 'id').subscribe(docs =&gt; console.log(docs))
//Fails with error: this._next is not a function.
</code></pre>

<p>Alternatively, </p>

<pre class=""lang-js prettyprint-override""><code>this.publicQuery = this.props.docRef.collection('messages').where('public', '==', true) 
this.myQuery = this.props.docRef.collection(`messages`).where('read', 'array-contains', this.props.me.uid)
const myQuery$ = new Rx.Subject();
const publicQuery$ = new Rx.Subject();
this.myQuery.onSnapshot((querySnapshot) =&gt; {
    myQuery$.next(querySnapshot.docs.map(d =&gt; d.data()  ));
});
this.publicQuery.onSnapshot((querySnapshot) =&gt; {
    publicQuery$.next(querySnapshot.docs.map(d =&gt; d.data()  ));
});
const orQuery$ = combineLatest(this.myQuery, this.publicQuery).switchMap((docs) =&gt; {
    var [one, two] = docs;
    var combined = one.concat(two);
    return Rx.Observable.of(combined);
})
orQuery$.subscribe((result) =&gt; {
    console.log('&gt;&gt;&gt;&gt; ', result)
})
//TypeError: undefined is not a function (near ...switchMap)
</code></pre>

<p>How can I successfully join two firestore queries (OR)?</p>
","179736","","10207459","","2018-11-27 10:39:56","2018-11-27 15:52:21","How can I join two Firestore queries using rxfire and rxjs (OR query)","<firebase><rxjs><google-cloud-firestore><rxfire>","1","1","5","","","CC BY-SA 4.0"
"54191235","1","54191793","","2019-01-15 00:42:38","","1","539","<p>Summary: essentially I need something like <code>from Users where usergroupIds in [1,3,5]</code>.</p>

<p>Given <code>usergroupIds$</code> emit an array of group IDs <code>[1,3,5]</code></p>

<p>I want to union all users by <code>userids</code> in <code>usergroupIds</code> and combine the userIds (distinct)</p>

<p>Here is what I came up with:</p>

<pre><code>usergroupIds$.subscribe(usergroupIds =&gt; {
    const users$s = usergroupIds.map(gid =&gt; createUsersObservable(gid))
    //  [users$ in group 1, users$ in group 3, users$ in group 5]
    const users$ = combineLatest(...user$s).pipe(
        distinct(user =&gt; user.id)
    )
})

createUsersObservable = gid =&gt; 
  collectionData(db.collection('users').where('groupId', '==', gid)) // rxFire firestore
</code></pre>

<p>Unsubscribe &amp; resubscribe <code>users$</code> every time on change seems wrong?</p>

<p>Is it possible to express <code>users$</code> fully in RxJS without creating it in a subscription every time?</p>

<p><strong>Update:</strong>
With help from @FanCheung:</p>

<pre><code>combinedUsers$ = userGroupIds$.pipe(
        switchMap(userGroupIds =&gt; {
            const users$s = userGroupIds.map(groupId =&gt;
                createUsersObservable(groupId))
            return combineLatest(...users$s)
        })
</code></pre>

<p>However, since usersObservable emit an array of users at a time, The combinedUsers$ results in somthing like <code>[[userA, userB], [userB, userC], [userA, userD]]</code> which I don't mind to carry out the extra processing on subscribe:</p>

<pre><code>combinedUsers$.subscribe(combinedUsers =&gt; {
        const userMap = {}
        for (const users of combinedUsers) 
            users.forEach(user =&gt; (userMap[user.id] = user))
        const uniqueUsers = Object.values(userMap)

        // update UI to uniqueUsers
    })
</code></pre>

<p>However, is there a way to use somehow flatten the results of <code>combinedUsers$</code>, and then carry out the <code>distinct</code> operator?</p>
","35634","","35634","","2019-01-15 19:44:09","2019-01-16 02:34:46","Combine Observables into a single Observable from a dynamic array of Observable?","<firebase><rxjs><google-cloud-firestore><rxfire>","2","0","","","","CC BY-SA 4.0"
"54270412","1","54271281","","2019-01-19 19:01:31","","1","133","<p>I want to be able to respond to errors from a call to collectionData. I added a catchError but it never gets called.  In fact, the collectionData emits a result with no elements.</p>

<pre><code>export const bundleEpic = action$ =&gt; action$.pipe(
  ofType(BUNDLES_LOAD),
  tap(action =&gt; console.log(`Received action: type=${action.type}`)),
  switchMap(() =&gt; (
    collectionData(bundlesRef, 'id')
    .pipe(
      tap(docs =&gt; console.log(`bundleEpic: size = ${docs.length}`)),
      map(docs =&gt; publicBundlesLoadSuccess(docs)),
      catchError(error =&gt; from(publicBundlesLoadFail(error))
    )
  ))
)
</code></pre>

<p>What is the proper way to handle errors using collectionData?</p>
","5422443","","7247920","","2019-01-19 19:07:30","2019-01-19 20:50:53","Trouble using catchError with RxFire firestore collectionData","<rxjs><redux-observable><rxfire>","1","1","1","","","CC BY-SA 4.0"
"54278902","1","56435193","","2019-01-20 17:13:17","","2","5634","<p>I'm getting an error : storage/object-not-found when trying to upload a large image file in Google Cloud Storage using RxFire.</p>

<p>They say the image is not found in the bucket but when I check, i see them!</p>

<p>I tested with small images (100kb likely...) works great.</p>

<p>But tried with > 500kb images, doesn't work...</p>

<pre><code>upload$
  .pipe(
    switchMap((event: any) =&gt; {
      const name = Math.random().toString(36).substring(5);
      const blob = event.target.files[0];
      const type = blob.type.replace('image/', '');
      const ref = storage.ref(`uploads/test/${name}.${type}`);
      return put(ref, blob);
    }),
    map(snapshot =&gt; snapshot),
    filter(snapshot =&gt; snapshot.totalBytes === snapshot.bytesTransferred),
    mergeMap(snapshot =&gt; getDownloadURL(snapshot.ref))
  )
  .subscribe(url =&gt; {
    console.log('Results', url)
  }, (error) =&gt; {
    // ERROR HERE
    console.log('error', error)
  })
</code></pre>

<p>Expected result : Upload working with big images</p>

<p>Actual results : Error</p>

<pre><code>Uncaught t {code_: ""storage/object-not-found"", message_: ""Firebase . 
Storage: Object 'uploads/test/7xpbilmb.jpeg' does not exist."", 
serverResponse_: ""{↵  ""error"": {↵    ""code"": 404,↵    ""message"": 
""Not Found.  Could not get object""↵  }↵}"", name_: ""FirebaseError""}
</code></pre>
","9726037","","1033581","","2019-07-05 16:17:36","2019-07-05 16:17:36","Error: storage/object-not-found when trying to upload large image file","<firebase><google-cloud-storage><firebase-storage><rxfire>","1","5","","","","CC BY-SA 4.0"
"54601988","1","","","2019-02-09 00:25:27","","2","122","<p>I have some RxFire code that listens to a Firestore collection query (representing <em>channels</em>) and, for each of the results, listens to a Realtime Database ref for documents (representing <em>messages</em> in that channel).</p>

<p>The problem I'm running into is that the Realtime Database documents are re-downloaded every time the Firestore query changes, even if they're for a path/reference that hasn't changed.</p>

<p>Here's some pseudo-code:</p>

<pre class=""lang-js prettyprint-override""><code>collection(channelsQuery).pipe(

  // Emits full array of channels whenever the query changes
  switchMap(channels =&gt; {

    return combineLatest(
      channels.map(channel =&gt;

        // Emits the full set of messages for a given channel
        list(getMessagesRef(channel)),
      ),
    );
  })
)
</code></pre>

<p>Imagine the following scenario:</p>

<ul>
<li>Query intially emits <strong>3</strong> Firestore channel documents</li>
<li>Observables are created for corresponding Realtime Database refs for those 3 channels, which emit their message documents</li>
<li>A new Firestore document is added that matches the original query, which now emits <strong>4</strong> channel documents</li>
<li>The previous observables for Realtime Database are destroyed, and new ones are created for the now <strong>4</strong> channels, re-downloading and emitting all the data it already had for the previous <strong>3</strong>.</li>
</ul>

<p>Obviously this is not ideal as it causes a lot of redundant reads on the Realtime Database.  What's the best practice in this case?  Keep in mind that when a channel is removed, I would like to destroy the corresponding observable, which <code>switchMap</code> already does.</p>
","11036172","","","","","2019-02-09 00:25:27","How to avoid redundantly downloading data when using switchMap and inner observables in RxFire?","<firebase><rxjs><rxfire>","0","0","","","","CC BY-SA 4.0"
"56022761","1","","","2019-05-07 12:34:20","","1","645","<p>I'm creating a <code>StencilJS</code> app (no framework) with a Google Firestore backend, and I want to use the <code>RxFire</code> and <code>RxJS</code> libraries as much as possible to simplify data access code. How can I combine into a single observable stream data coming from two different collections that use a reference ID? </p>

<p>There are several examples online that I've read through and tried, each one using a different combination of operators with a different level of nested complexity. <a href=""https://www.learnrxjs.io/"" rel=""nofollow noreferrer"">https://www.learnrxjs.io/</a> seems like a good resource, but it does not provide line-of-business examples that make sense to me. <a href=""https://stackoverflow.com/questions/47174075/firestore-how-to-get-the-collection-value-from-another-collection-document-id-is"">This question</a> is very similar, and maybe the only difference is some translation into using RxFire? Still looking at that. Just for comparison, in SQL this would be a <code>SELECT</code> statement with an <code>INNER JOIN</code> on the reference ID.</p>

<p>Specifically, I have a collection for <code>Games</code>:</p>

<pre><code>{ id: ""abc000001"", name: ""Billiards"" },
{ id: ""abc000002"", name: ""Croquet"" },
...
</code></pre>

<p>and a collection for <code>Game Sessions</code>:</p>

<pre><code>{ id: ""xyz000001"", userId: ""usr000001"", gameId: ""abc000001"", duration: 30 },
{ id: ""xyz000002"", userId: ""usr000001"", gameId: ""abc000001"", duration: 45 },
{ id: ""xyz000003"", userId: ""usr000001"", gameId: ""abc000002"", duration: 55 },
...
</code></pre>

<p>And I want to observe a merged collection of <code>Game Sessions</code> where <code>gameId</code> is essentially replace with <code>Game.name</code>.</p>

<p>I current have a <code>game-sessions-service.ts</code> with a function to get sessions for a particular user:</p>

<pre><code>import { collectionData } from 'rxfire/firestore';
import { Observable } from 'rxjs';
import { GameSession } from '../interfaces';

observeUserGameSesssions(userId: string): Observable&lt;GameSession[]&gt; {

    let collectionRef = this.db.collection('game-sessions');
    let query = collectionRef.where('userId', '==', userId);

    return collectionData(query, 'id);
}
</code></pre>

<p>And I've tried variations of things with <code>pipe</code> and <code>mergeMap</code>, but I don't understand how to make them all fit together properly. I would like to establish an interface <code>GameSessionView</code> to represent the merged data:</p>

<pre><code>export interface GameSessionView {
    id: string,
    userId: string,
    gameName: string,
    duration: number
}
</code></pre>

<pre><code>
observeUserGameSessionViews(userId: string): Observable&lt;GameSessionView&gt; {

    this.observeUserGameSessions(userId)
    .pipe(
        mergeMap(sessions =&gt; {
            // What do I do here? Iterate over sessions 
            // and embed other observables for each document?
        }
    )
}
</code></pre>

<p>Possibly, I'm just stuck in a normalized way of thinking, so I'm open to suggestions on better ways to manage the data. I just don't want too much duplication to keep synchronized.</p>
","10778016","","10778016","","2019-05-08 18:20:28","2019-05-19 14:24:48","How to merge and observe two collections in Firestore based on reference ID in documents?","<javascript><rxjs><google-cloud-firestore><observable><rxfire>","1","3","","","","CC BY-SA 4.0"
"56775791","1","","","2019-06-26 15:00:13","","0","299","<p>If I use the standard Sapper getting started routine:</p>

<pre><code>npx degit ""sveltejs/sapper-template#rollup"" my-app
npx degit ""sveltejs/sapper-template#webpack"" my-app
cd my-app
npm install
npm run dev &amp; open http://localhost:3000
</code></pre>

<p>I have ""great success"".  In my Svelte app, I'm using rxfire to query my DB, so have a RxJS BehviourSubject that contains the initial value, and which gets updated once the DB information is loaded.  This works great in Svelte, but the Sapper SSR version chokes.</p>

<p>If I change the sample Sapper app as follows:</p>

<pre class=""lang-html prettyprint-override""><code>&lt;script&gt;
 import { BehaviorSubject } from 'rxjs';

 let title$ = new BehaviorSubject('Great success!');
 title$.set = title$.next;
&lt;/script&gt;

&lt;!-- ... --&gt;

&lt;h1&gt;{ $title$ }&lt;/h1&gt;
</code></pre>

<p>I get this:</p>

<pre><code>500

store.subscribe(...) is not a function

TypeError: store.subscribe(...) is not a function
    at get_store_value (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:255:36)
    at create_ssr_component (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:269:103)
    at Object.$$render (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:231:22)
    at Object.default (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:564:204)
    at create_ssr_component (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:406:38)
    at Object.$$render (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:231:22)
    at create_ssr_component (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:562:41)
    at $$render (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:231:22)
    at Object.render (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:239:26)
    at handle_page (/Users/eveland/Documents/Epiphero/Site/apps/test/__sapper__/dev/server/server.js:2936:36)
</code></pre>

<p>as the initial render before Svelte takes over and renders the page correctly.</p>

<p>Why can't I use the BehviorSubject in Sapper?</p>
","5061277","","","","","2019-06-26 15:00:13","How to use RxJS BehaviorSubject with Sapper SSR?","<rxjs><svelte><sapper><rxfire>","0","2","","","","CC BY-SA 4.0"
"58499175","1","58499470","","2019-10-22 07:33:15","","1","67","<p>I'm new to RxJs. Is it possible to solve this type of pivot table problem.</p>

<p>Suppose I have a stream with any number of items.  </p>

<ul>
<li><p>Each item is a number between 0 and 999.</p></li>
<li><p>I'd like to make a table from this stream. A table with 10 columns.   </p></li>
<li>The column number for an item is equal to the item divided by 10. So number 654 will go to column 6. </li>
</ul>

<p>Because we have a random number of items and because the numbers arrive in a random order, the columns will have different heights.</p>

<p>How can I operarate on the stream to generate the rows of the table one by one to show the table?</p>

<p><strong>Update</strong></p>

<p>With the Fan Cheung solution (described below) it was easy to generate the columns with RxJs. But would it also be possible to subsequently generate the rows (the rows array) with RxJs to be able to render the table as shown below?</p>

<p><a href=""https://i.stack.imgur.com/F0yiD.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/F0yiD.png"" alt=""Pivot table result""></a></p>

<p>The colums have different heights.</p>
","675006","","675006","","2019-10-23 11:05:45","2019-10-23 11:05:45","RxJs Is it possible to solve this kind of pivot table problem","<google-cloud-firestore><rxjs><rxfire>","1","0","","","","CC BY-SA 4.0"
"58810550","1","58816476","","2019-11-12 00:54:13","","1","326","<p>I use a derived store in the code below. It feels like a strange construct because I only use the derived construct for the dynamic $session dependency and to get the normData. But not with $norm. I use $norm only once to kick off the derived store.</p>

<p>Nevertheless it seem to work fine. But I have to renew the subscription if the $session changes. Is it possible to update the RxFire / RxJs subscription without unsubscribing first?</p>

<pre><code>let normDocRef = null;
let normData = null;
let normSubscription = null;

const norm = derived(
  session,
  $session =&gt; {
    normDocRef = db.doc(`uploads/${$session.a_id}_${$session.year}`);

    // renew the subscription if $session changes   
    if (normSubscription) 
      normSubscription.unsubscribe();

    normSubscription = doc(normDocRef).subscribe(snapshot =&gt; {
      if (snapshot.exists) {
        normData = snapshot.data();
      } else {
        normData = null;
      };
    });
  },
);

$norm;   // kick off the derived store to monitor $session

// show the data and updates
$: console.log(normData); 

onDestroy(() =&gt; {
  if (normSubscription) normSubscription.unsubscribe();
}); 
</code></pre>

<p><strong>Update</strong>: I can use the set and return options of the derived store to change $norm in a real $norm Svelte store. Code below in my own answer.</p>

<p>But the real question is: Can I update a subscription. Change the subscription without the unsubscribe?</p>
","675006","","675006","","2019-11-12 12:41:18","2020-02-23 15:36:49","Subscribe to a doc using Svelte / RxJs / RxFire. How can I update the subscription","<rxjs><svelte><derived><rxfire>","2","2","1","","","CC BY-SA 4.0"
"60905731","1","60906330","","2020-03-28 19:14:53","","0","68","<p>I'm using RXFire and RXJS.</p>

<pre><code>collectionData(firebase.firestore.collection('collectionname')).subscribe(x=&gt;console.log(x)
</code></pre>

<p>returns</p>

<pre><code>// [{document1}, {document2}]
</code></pre>

<p>What i'd like is an observable that returns</p>

<pre><code>// {document1}
// {document2}
</code></pre>

<p>I've tried using a combination of from() and toArray() (i.e. converting the observable to a plain array and back to an observable that emits each document one by one) but toArray() only creates an observable that emits an array, not an actual array. I need an operation thats the OPPOSITE of toArray(). Take an observable that emits an array and turn it into an observable that emits each value individually.</p>

<p>How do I do that?</p>

<hr>

<p>Edit:</p>

<p>I also tried doing something like</p>

<pre><code>const newObs = oldObs.subscribe(x =&gt; from(x))
</code></pre>

<p>but that store the subscriber, not the new observable. =(</p>
","12728118","","12728118","","2020-03-28 19:39:12","2020-03-28 20:04:26","How do I convert an observable that emits an array into an observable that emits each value of the array individually?","<arrays><rxjs><observable><rxfire>","1","0","","","","CC BY-SA 4.0"
