Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"39978716","1","39978855","","2016-10-11 13:43:53","","1","60","<p>I'm using <a href=""https://github.com/Reactive-Extensions/RxJS-DOM"" rel=""nofollow"">Reactive Extension DOM</a> for listening event from DOM. Here is my sample code: </p>

<pre><code>var input = document.getElementById('test_id');
var source = Rx.DOM.change(input);
var subscription = source.subscribe(
        function (x) {
          console.log(x);
        },
        function (err) {
          console.log('Error: ' + err);
        },
        function () {
          console.log('Completed');
        });
</code></pre>

<p>This code works when <code>test_id</code> is on page when <code>document.ready</code> finish. But I'm using AJAX request, so <code>test_id</code> just appears after a time when ajax request is sent and received on client. How can I make RxDom notify this.</p>

<p>Thanks.</p>
","1493868","","310726","","2016-10-11 13:52:16","2016-10-11 13:52:16","RxDom: not working when new id created","<javascript><ajax><rxjs><rxjs-dom>","1","0","","","","CC BY-SA 3.0"
"40015709","1","40024810","","2016-10-13 08:16:46","","0","107","<p>I'm using <a href=""https://github.com/Reactive-Extensions/RxJS-DOM"" rel=""nofollow"">Reactive Extension DOM</a> for listening event from DOM. Currently I meet one problem: I have an input A and div B and div C. Changing input A will affect B, and changing content of B will change content of div C. So, it means: if I change input A, div B and div C will automatically change.</p>

<p>Currently I meet problem: when input A is changed, input B changed successfully but not C. I don't know because RxDom doesn't support changing recursive or because div doesn't have change event. Here is my short code:</p>

<pre><code>var input = document.getElementById('test_id');
    var source = Rx.DOM.change(input);
    var subscription = source.subscribe(
            function (x) {
              console.log(x);
            },
            function (err) {
              console.log('Error: ' + err);
            },
            function () {
              console.log('Completed');
            });
</code></pre>

<p>Obviously I can listen to event of input A and then change C but that is not really the way I want and it looks like a workaround version. Because due to business, div C depends on div B rather than input A. </p>
","1493868","","","","","2016-10-14 09:45:26","RxDom: Update content of div recursive when an input is changed","<javascript><rxjs><rxjs-dom>","1","0","","","","CC BY-SA 3.0"
"40464108","1","40464581","","2016-11-07 11:29:26","","3","1326","<p>I'm handling a mouseover event using <code>Observable.fromEvent()</code>, with various chained operators. How would I go about unit testing this?</p>

<pre><code>export const bindMouseover = (link) =&gt; Observable.fromEvent(link, 'mouseover')
    .filter(event =&gt; Nav.hasSubNav(event.target))
    .map(event =&gt; Nav.getSubNav(event.target))
    .filter(target =&gt; !Nav.elementIsVisible(target))
    .subscribe((target) =&gt; {
      Nav.hideElements(subNavs);
      Nav.showElement(target);
    });
</code></pre>
","931036","","","","","2016-11-07 12:00:38","How to test RxJS events","<javascript><rxjs><rxjs5><rxjs-dom>","1","0","","","","CC BY-SA 3.0"
"40489540","1","","","2016-11-08 14:32:38","","1","871","<p>I have a ReactJS &amp; Redux application, and using RxJS for async AJAX with cancellation and error handling. The middleware (for Redux) I am using to connect Redux and RxJS is redux-observable.</p>

<p>I am having a request to the server which also handles errors and cancellation, this is the epic:</p>

<pre><code>const RecipesEpic = action$ =&gt;
action$.ofType(FETCH_RECIPES)
    .mergeMap(action =&gt; {
        return Observable.ajax({
            method: ""get"",
            url: url
        })
            .map(payload =&gt; {
                return ({ type: FETCH_RECIPES_FULFILLED, payload })
            })
            .catch(error =&gt; Observable.of({
                type: FETCH_RECIPES_REJECTED,
                payload: error
            }))
            .takeUntil(action$.ofType(FETCH_RECIPES_CANCELLED))
    })

export default RecipesEpic
</code></pre>

<p><strong>I'm trying to implement a loading indicator, first I want to log to the console how many percents completed of the request (by using XHR2), and then I will implement the UI. In simple words: How to implement XHR2 download progress in RxJS DOM Request?</strong></p>

<p>I didn't find any resources online about this question, and I hope other people who are searching for this question will have an answer.</p>

<p>Thank you!</p>
","6203305","","","","","2016-11-13 06:56:32","ReactJS Redux RxJS AJAX loading indicator","<ajax><reactjs><redux><rxjs><rxjs-dom>","1","0","0","","","CC BY-SA 3.0"
"41025242","1","41025494","","2016-12-07 18:57:51","","0","734","<p>I`m trying to test the catch function of a rxjs observer but catch never run.</p>

<p>test.js</p>

<pre><code>it.only('On fail restore password', () =&gt; {
    sandbox = sinon.stub(Observable.ajax, 'post').returns(new Error());
    store.dispatch(restorePasswordVi('prueba'));
    expect(store.getActions()).toInclude({ success: false, type: SET_RESTORE_PASSWORD_SUCCESS });
  });
</code></pre>

<p>Epic please see <a href=""https://redux-observable.js.org/"" rel=""nofollow noreferrer"">https://redux-observable.js.org/</a></p>

<pre><code>export function restorePasswordViEpic(action$: Observable&lt;Action&gt;, store: Store) {
  return action$
    .ofType(RESTORE_PASSWORD_VI)
    .switchMap(({ user }) =&gt; {
      store.dispatch(blockLoading(true));
      return Observable
       .ajax
       .post(`${config.host}/auth/restore-password`, { user })
         .map(() =&gt; setRestorePasswordSuccess(true))
         .catch(() =&gt; {
           return Observable.of(setMessage('Se ha producido un error por favor intente de nuevo.'));
         });
    });
}
</code></pre>
","3626118","","","","","2016-12-07 19:13:26","Stub catch on redux-observable epic","<rxjs><sinon><rxjs5><redux-observable><rxjs-dom>","1","0","","","","CC BY-SA 3.0"
"41121614","1","41121704","","2016-12-13 12:52:25","","0","660","<p>I am trying to find the cleanest solution to use <code>filter()</code> operator in order to filter my observables.</p>

<p>Here I am replicating the service call to get a <code>femaleList</code> separately </p>

<pre><code>export class MyComp implements OnInit {

    maleList: IContact[] = [];
    femaleList: IContact[] = [];    

    constructor(private _contactService: ContactService) { }
    ngOnInit() : void {
        this._contactService.getContacts()
         .filter(male =&gt; male.gender === 'M')
        subscribe(maleList =&gt; this.maleList = maleList);

        this._contactService.getContacts()
         .filter(female =&gt; female.gender === 'F')
        subscribe(femaleList =&gt; this.femaleList = femaleList);
     } }
</code></pre>

<p><strong>Contactlist</strong></p>

<pre><code> [{
      ""id"" : 1,
      ""name"" : ""Todd"",
      ""gender"" : ""M""
    }, {
      ""id"" : 2,
      ""name"" : ""Lillian"",
      ""gender"" : ""F""
    }]
</code></pre>

<p>Is there any option in RxJS operators with single observable to assign to two variables.</p>

<p>How can i filter the Contacts and assign it to <code>maleList</code> and <code>femaleList</code> using <strong>RxJS</strong> <code>filter()</code> operator.</p>

<p>Thanks in advance</p>
","4728339","","310726","","2016-12-13 13:13:59","2018-04-26 08:56:52","RxJS filter() operator","<angular><rxjs><angular2-services><rxjs5><rxjs-dom>","3","0","1","","","CC BY-SA 3.0"
"41520909","1","41521028","","2017-01-07 11:25:00","","6","1297","<p>I know a little bit of BaconJS, but now I'm trying to learn RxJS by creating a ""User is typing..."" indicator. It's pretty simple, it can be explained in two simple rules:</p>

<ol>
<li>When the user is typing, the indicator should be immediately visible.</li>
<li>When the user stops typing, the indicator should still be visible until 1 second after the user's last typing action.</li>
</ol>

<p>I'm not sure if this is correct, but I have so far created two streams:</p>

<ol>
<li>One heartbeat stream that emits a <code>0</code> every second.</li>
<li>One stream to capture the user typing events and emit a <code>1</code> for every event.</li>
</ol>

<p>Then I merge them together, and simply tap into the result. If it's a <code>1</code>, then I show the indicator. If it's a <code>0</code>, then I hide the indicator.</p>

<p>This is what that looks like:</p>

<pre class=""lang-js prettyprint-override""><code>const showTyping = () =&gt;
  $('.typing').text('User is typing...');

const showIdle = () =&gt;
  $('.typing').text('');

// 1 second heartbeats are mapped to 0
const heartbeat$ = Rx.Observable
  .interval(1000)
  .mapTo(0);

// user typing events are mapped to 1
const input$ = Rx.Observable
  .fromEvent($('#input'), 'input')
  .mapTo(1);

// we merge the streams together
const state$ = heartbeat$
  .merge(input$)
  .do(val =&gt; val === 0 ? showIdle() : showTyping())
  .subscribe(console.log);
</code></pre>

<p>Here is a link to the JSBin: </p>

<p><a href=""http://jsbin.com/vekixuv/edit?js,console,output"" rel=""nofollow noreferrer"">http://jsbin.com/vekixuv/edit?js,console,output</a></p>

<p>There are several problems and questions I have with this implementation:</p>

<ol>
<li>Sometimes when the user is typing, a <code>0</code> sneaks through, so the indicator flashes away for a split second before coming back on the next user keystroke.</li>
<li>It's not guaranteed that the indicator will disappear 1 second after the user stops typing. It's only guaranteed that the indicator will disappear within 1 second (which is kind of the opposite of what we want).</li>
<li>Is using a heartbeat stream the correct RxJS way to do this? I have a feeling it might not be.</li>
</ol>

<p>I have a feeling that I am completely off-base with my implementation, I appreciate any help that you may be able to provide. Thanks.</p>
","839793","","310726","","2017-01-07 12:00:33","2017-01-07 12:00:33","How to use RxJS to display a ""user is typing"" indicator?","<javascript><rxjs><rxjs5><rxjs-dom>","2","0","2","","","CC BY-SA 3.0"
"41901450","1","","","2017-01-27 19:18:50","","0","319","<p>I have the next Observable i trying to filter to get the user in network but .mapTo(phone => verifyPhoneInNetwork(phone, country)) return AjaxObservable instead of the ajax response</p>

<pre><code>function verifyInNetwork(contacts: any, country: string) {
  const inNetworkOb = Observable
    .from(contacts)
    .map(contact =&gt; contact.phones)
    .map(phone =&gt; verifyPhoneInNetwork(phone, country))
    .first(({response}) =&gt; {
      return !response.invalid &amp;&amp; !response.exists;
    })
    .isEmpty()
    .filter(empty =&gt; empty);
</code></pre>
","3626118","","","","","2017-01-27 19:39:17","Rxjs is getting AjaxObservable instead of ajax response","<rxjs><observable><rxjs5><rxjs-dom>","1","0","","","","CC BY-SA 3.0"
"43272234","1","43273438","","2017-04-07 07:32:11","","1","144","<p>I am currently working on a Angular 2 project where I need to call specific functions only and only after ALL the elements on the page are loaded. I tried to use eventFrom function from Observable, it worked when I was expecting a 'click' operation, but once I switched to 'load"" it did not fire at all. Next I tried to use Rxjs-DOM load function and it does not fire either.</p>

<p>Here is the code I have right now:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>ngAfterViewInit(): void {
  let input = this.container.nativeElement.getElementsByClassName('list-item');

  let source = Rx.DOM.load(input);

  let subscription = source.subscribe((x) =&gt; {
      console.log('Next!');
    },
    (err) =&gt; {
      console.log('Error: ' + err);
    },
    () =&gt; {
      let temp = this.container.nativeElement.getElementsByClassName('list-item');
      console.log(temp.length);
    });

}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div class=""list-wrapper""&gt;
  &lt;div class=""list""&gt;
    &lt;div class=""list-item"" *ngFor=""let item of items""&gt;
      &lt;img src={{item.image}} alt=""{{item.title}}""&gt;
    &lt;/div&gt;
  &lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<pre><code> ""@angular/core"": ""4.0.1"",
    ""@types/rx-dom"": ""^7.0.0"",
    ""angular2-infinite-scroll"": ""0.3.4"",
    ""gulp-run"": ""1.7.1"",
    ""rxjs"": ""5.2.1-smooth""
</code></pre>

<p><code>temp.length</code> is always 0. 
If I set a <code>timeout</code> there it will work perfectly as all the elements get 2-3 seconds to load and then <code>temp</code> is not empty. But timeout is not desirable in this case. 
Is there anything I am doing wrong? 
Another questions is if there is any other way in Angular 2 to call functions only after all the dom elements are ACTUALLY loaded.</p>

<p>Thank you in advance.</p>
","4332884","","","","","2017-04-07 08:35:22","Rxjs-DOM load function does not fire angular 2","<angular><rxjs-dom>","1","0","","","","CC BY-SA 3.0"
"43639399","1","","","2017-04-26 16:08:05","","0","296","<p><strong>UPDATE</strong></p>

<p>I've tried to make a standalone version here: <a href=""https://codepen.io/neezer/pen/pPRJar"" rel=""nofollow noreferrer"">https://codepen.io/neezer/pen/pPRJar</a></p>

<p>It doesn't work quite like my local copy, but I'm hoping it similar enough that you can see where I'm trying to go.</p>

<p>I'm not getting quite the same behavior as well because I changed the listener target to <code>document</code>, which seemed to help some.</p>

<p>Also, I'm using RxJS v5 and the latest version of React.</p>

<hr>

<p>Still getting the hang of <a href=""https://github.com/Reactive-Extensions/RxJS"" rel=""nofollow noreferrer"">RxJS</a>...</p>

<p>I have two Observables: one subscribed to mouseover x coordinates on a table to show a resize column, and the other to allow the user to drag on that column.</p>

<p>Roughly speaking, the first one looks like this (all of the below defined in a <code>componentDidUpdate</code> lifecycle method in a React component):</p>

<pre><code>Rx.DOM.mouseover(tableEl)
  .map(/* some complicated x coordinate checking */)
  .distinctUntilChanged()
  .subscribe(/* setState call */)
</code></pre>

<p>That works great, and gives me this:</p>

<p><img src=""https://d.pr/i/gu8eG+"" alt=""img""></p>

<p>So now I want to provide the actual ""drag"" behavior, and I tried setting up a new Observable like so</p>

<pre><code>// `resizerEl` is the black element that appears on hover
// from the previous observable; it's just a div that gets
// repositioned and conditionally created
Rx.DOM.mousedown(resizerEl)
  .flatMap(md =&gt; {
    md.preventDefault()

    return Rx.DOM.mousemove(tableEl)
      .map(mm =&gt; mm.x - md.x)
      .takeUntil(Rx.DOM.mouseup(document))
  })
  .subscribe(/* do column resizing stuff */)
</code></pre>

<p>There are three problems with that:</p>

<ol>
<li>Once I've done my first ""drag"", I can't do any more. My understanding is that <code>takeUntil</code> completes the Observable, and I'm not sure how I can ""restart"" it.</li>
<li>The <code>mousemove</code> from the first observable is still active while I'm dragging, so my black div will disappear once my <code>x</code> position changes enough to trigger that behavior.</li>
<li>The binding on the second Observable doesn't always seem to trigger (it's unreliable). I think there might be a race condition or something happening here because sometimes I'll refresh the page and I'll get the drag <em>once</em> (from #1), and other times I won't get it at all.</li>
</ol>

<p><img src=""https://d.pr/i/Z4pMi+"" alt=""ss""></p>

<p>Note at first after a clean refresh I can't drag the handle (#3), then I refresh, and I can't drag the handle past the bounds setup from the first Observable--and the black resizer bar disappears and reappears as my mouse's x coordinate enters and leaves that envelope (#2).</p>

<hr>

<p>I've been head-banging on this for quite some time now and would really appreciate any insight as to what I'm doing wrong here. In short, I want</p>

<ul>
<li>the first Observable to ""pause"" when I'm dragging, then resume when I'm done dragging</li>
<li>the second Observable to not ""complete"" (or ""restart"") once a drag is done</li>
<li>the second Observable to reliably work</li>
</ul>

<p>As I mentioned earlier, I currently have this logic setup in a React component's <code>componentDidUpdate</code> lifecycle method, the shape of which looks roughly like this:</p>

<pre><code>componentWillUpdate() {
  // bail if we don't have the ref to our table
  if (!tableEl) {
    return;
  }

  // try not to have a new Observable defined on each component update
  if (!this.resizerDrag$ &amp;&amp; this.resizer) {
    this.resizerDrag$ = // second Observable from above
  }

  // try not to have a new Observable defined on each component update
  if (!this.resizerPos$) {
    this.resizerPos$ = // first Observable from above
  }
}
</code></pre>
","32154","","32154","","2017-04-26 21:50:01","2017-04-26 21:50:01","RxJS DOM pause observable while another ""is dragging""?","<reactjs><rxjs><rxjs-dom>","1","2","","","","CC BY-SA 3.0"
