Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"39494058","1","40231605","","2016-09-14 15:14:44","","867","481123","<p>I'm looking into Angular RxJs patterns and I don't understand the difference between a <code>BehaviorSubject</code> and an <code>Observable</code>.</p>

<p>From my understanding, a <code>BehaviorSubject</code> is a value that can change over time (can be subscribed to and subscribers can receive updated results). This seems to be the exact same purpose of an <code>Observable</code>.  </p>

<p>When would you use an <code>Observable</code> vs a <code>BehaviorSubject</code>? Are there benefits to using a <code>BehaviorSubject</code> over an <code>Observable</code> or vice versa?</p>
","6620551","","5377805","","2020-02-26 10:38:08","2021-03-23 17:33:44","BehaviorSubject vs Observable?","<angular><rxjs><behaviorsubject><rxjs-observables>","11","1","311","","","CC BY-SA 3.0"
"56702200","1","","","2019-06-21 11:04:10","","4","5455","<p>There are many ways to handle multiple subscriptions efficiently in a component, I have 2 ways here and wanted to know which is more efficient and why??</p>
<h1>Method 1: Using Array</h1>
<p>Step 1: creating Array</p>
<pre><code>private subscriptionArray: Subscription[];
</code></pre>
<p>Step 2: Adding subscriptions to the array</p>
<pre><code>this.subscriptionArray.push(this._storeManagementHttp.createStore(newStore).subscribe(resp =&gt; {
  this._toast.success('New store created');
}));
</code></pre>
<p>Step 3: iterating each subscription and unsubscribing</p>
<pre><code>this.subscriptionArray.forEach(subs =&gt; subs.unsubscribe());
</code></pre>
<h1>Method 2</h1>
<p>Step 1: creating a new subscription</p>
<pre><code>private subscriptions = new Subscription();
</code></pre>
<p>Step 2: Adding subscriptions</p>
<pre><code>this.subscriptions.add(this._storeManagementHttp.createStore(newStore).subscribe(resp =&gt; {
  this._toast.success('New store created');
  this._router.navigate(['/store-management']);
}));
</code></pre>
<p>Step3: Clearing subscription</p>
<pre><code>this.subscriptions.unsubscribe();
</code></pre>
","6715606","","6715606","","2020-12-15 13:15:24","2020-12-15 13:15:24","Angular better way to clear subscriptions","<angular><rxjs><observable><rxjs-subscriptions><rxjs-observables>","4","3","2","","","CC BY-SA 4.0"
"57110578","1","","","2019-07-19 10:34:15","","1","1166","<p>I'm writing a nav component for an Angular app.  I've got the following code.  I want to avoid the multiple subscription anti-pattern.  I am struggling with the RxJs syntax, and which way to go (forkJoin, mergeMap, etc).</p>

<p>How can I refactor these, to remove the subscribe within the subscribe.</p>

<p>Here's what I have, which currently works, but has a subscribe within a subscribe:</p>

<pre><code>@Component({
  selector: 'ehrcc-nav',
  templateUrl: './nav.component.html',
  styleUrls: ['./nav.component.css']
})
export class NavComponent implements OnInit {

  applicationName: string = 'AppName';
  userDisplayName: string = '';
  isAuthorizedUser: boolean = false;
  isAdminUser: boolean = false;

  groupsList: MemberGroup[] = [];

  constructor(private userService:UserService,
    private auditService: UserAuditService,
    private router: Router) { }

  ngOnInit() {

    this.getDisplayName();

    this.userService.getGroupMembershipsForUser().subscribe(members =&gt;{
      this.groupsList = members;
      for (let g of this.groupsList){
        if (g.id === this.userService.usersGroupId){
          this.isAuthorizedUser = true;
          this.router.navigate(['/workItem']);
        }
        if (g.id === this.userService.adminGroupId){
          this.isAdminUser = true;
        }
      }
      this.logUserInfo();   &lt;---- ANTI-PATTERN
     });

  }

  getDisplayName(){
    this.userService.getSignedInAzureADUser().subscribe(
      (user) =&gt; this.userDisplayName = user.displayName,
      (error: any) =&gt; {
        return console.log(' Error: ' + JSON.stringify(&lt;any&gt;error));
    });
  }

  logUserInfo(){
    var audit = new UserAudit();
    audit.Application = this.applicationName;
    audit.Environment = ""UI"";
    audit.EventType= ""Authorization"";
    audit.UserId = this.userDisplayName;
    audit.Details = ` User Is Authorized: ${this.isAuthorizedUser}, User Is Admin: ${this.isAdminUser}`;

    this.auditService.logUserInfo(audit)
    .subscribe({ 
      next: (id)=&gt; console.log('Id created: '+ id),
      error: (error: any) =&gt; console.log(' Error: ' + JSON.stringify(&lt;any&gt;error) )
    });
  }
}

</code></pre>
","430620","","6225838","","2019-09-25 15:57:18","2019-09-25 15:57:18","RxJs operators avoid multiple subscriptions, with loop","<angular><typescript><rxjs><rxjs-observables>","2","8","1","","","CC BY-SA 4.0"
"57196538","1","","","2019-07-25 07:29:53","","0","40","<p>Hi guys I try to solve one bug. After click on button is timeinput sometimes empty. When I use delay() all is ok. But without I have empty input when I create new visitor. </p>

<pre><code>export const visitListStartFetchAfterChange: Epic = (action$, store) =&gt;
  action$
    .ofType(
      'VR.FILTER_BAR.PICK_DATES',
      'VR.FILTER_BAR.PICK_LOCATION',
      'VR.FILTER_BAR.PICK_STATUS_TAB',
      'VR.VISIT.DELETE.SUCCESS',
      'VR.FILTER_BAR.PICK_VISITOR',
      'VR.FILTER_BAR.CLEAR_VISITOR',
    )

    // .delay(2000)
    .filter(() =&gt; isFilterBarInitialized(pathToVrFilterBar(store.getState())))
    .mapTo(visitListFetch());
</code></pre>

<p><a href=""https://i.stack.imgur.com/GaoQl.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/GaoQl.png"" alt=""Without delay()""></a></p>

<p><a href=""https://i.stack.imgur.com/ms36c.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ms36c.png"" alt=""With delay""></a></p>
","10255663","","","","","2019-07-25 08:04:05","Probably race conditions","<reactjs><react-redux><rxjs-observables>","1","0","","","","CC BY-SA 4.0"
"57204874","1","57218451","","2019-07-25 14:53:29","","3","756","<h3>Simply put</h3>

<p>Given an existing Observable (which has not completed yet), is there a way to retrieve associated subscribers (functions passed to subscribe) to make them subscribe to another Observable instead?</p>

<h3>Context</h3>

<p>A service in my application helps creating <em>SeverEvent</em> connections, returning  a <em>ConnectableObservable</em> to proxy connection and allow multicasting using <em>publish</em> operator. The service keeps track of existing connections via an internal store :</p>

<pre class=""lang-js prettyprint-override""><code>store: {[key: string]: ConnectionTracker};

// …

interface ConnectionTracker {
    url: string;
    eventSource: EventSource;
    observable: rx.ConnectableObservable&lt;any&gt;;
    subscription: rx.Subscription;
    observer: rx.Observer&lt;any&gt;;
    data?: any; // Arbitrary data
}
</code></pre>

<p>Upon connection creation, if an associated tracker already exists (identity is made using the connection's endpoint), the service should:</p>

<ul>
<li>ok <s>Close existing tracker's <em>ServerEvent</em> connection</s></li>
<li>ok <s>Open a new <em>SerevrEvent</em> connection (hence a new ConnectableObservable)</s>  </li>
<li>Replace existing tracker's Observable with the fresh observable <strong>but make existing subscribers now subscribe to the new Observable instead</strong></li>
</ul>

<p>Here is the code part which creates <em>ConnectionTracker</em>s</p>

<pre class=""lang-js prettyprint-override""><code>/**
* Create/Update a ServerEvent connection tracker
*/
createTracker&lt;T&gt;(endpoint: string, queryString: string = null): ConnectionTracker
{
    let fullUri = endpoint + (queryString ? `?${queryString}` : '')
        , tracker = this.findTrackerByEndpoint(endpoint) || {
            observable: null,
            fullUri: fullUri,
            eventSource: null,
            observer: null,
            subscription: null
        }
    ;

    // Tracker exists
    if (tracker.observable !== null) {
        // If fullUri hasn't changed, use the tracker as is
        if (tracker.fullUri === fullUri) {
            return tracker;
        }

        // At this point, we know ""fullUri"" has changed, the tracker's
        // connection should be replaced with a fresh one

// ⇒ TODO
// ⇒ Gather old tracker.observable's subscribers/subscriptions to make
//   them subscribe to the new Observable instead (created down below)

        // Terminate previous connection and clean related resouces
        tracker.observer.complete();
        tracker.eventSource.close();
    }

    tracker.eventSource = new EventSource(&lt;any&gt;fullUri, {withCredentials: true});
    tracker.observable = rx.Observable.create((observer: rx.Observer&lt;T&gt;) =&gt; {
            // Executed once
            tracker.eventSource.onmessage = e =&gt; observer.next(JSON.parse(e.data));
            tracker.eventSource.onerror = e =&gt; observer.error(e);
            // Keep track of the observer
            tracker.observer = observer;
        })
        // Transform Observable into a ConnectableObservable for multicast
        .publish()
    ;

    // Start emitting right away and also keep a reference to 
    // proxy subscription for later disposal
    tracker.subscription = tracker.observable.connect();

    return tracker;
}
</code></pre>

<p>Thank you.</p>
","1463336","","","","","2019-08-22 18:33:35","Retrieve Observable subscribers and make them subscribe to another Observable","<rxjs><rxjs-observables>","2","2","1","","","CC BY-SA 4.0"
"57224210","1","57224358","","2019-07-26 16:51:15","","0","60","<p>I have two methods that make api calls and return observables.</p>

<pre><code>private method1(): Observable&lt;Home&gt; {
  return homeService.call.get();
}

private method2(): Observable&lt;User&gt; {
  return userService.call.get();
}
</code></pre>

<p>Then I have the following two methods:</p>

<pre><code>private method3(): void {
  this.method1().subscribe();
  this.method2().subscribe();
}
</code></pre>

<p>and one last one</p>

<pre><code>private method4(): void {
 // does things
 this.method3();
}
</code></pre>

<p>I want the <code>method4</code> to wait for the <code>method3</code> to finish all is requests in order to proceed, but I have no idea how to achieve it in angular 8. Any tips?</p>
","2421208","","","","","2019-07-26 17:04:01","Awaiting for two methods that return observables in angular","<angular><rxjs><angular8><rxjs-observables>","1","4","","","","CC BY-SA 4.0"
"57299849","1","","","2019-07-31 23:03:09","","0","98","<p>I have a function that gets called inside Angular HttpClient catchError. I want to debounce the call to the function <strong>without using Lodash</strong>.
Cannot use <strong>debounceTime</strong> here since the function is not a subject. 
Is there a ES5/ES6 equivalent?</p>

<pre><code>this.http.get(`api/test`)
  .pipe(
    catchError((err) =&gt; {
      alertUser(err); // Option 1 - debounce here 
      return throwError(err);
    }),
  );
</code></pre>

<pre class=""lang-js prettyprint-override""><code>alertUser(err) {
  alert(err.text); // Option 2 - debounce here
}
</code></pre>
","1546005","","","","","2019-07-31 23:26:06","How to debounce a plain function call without ""lodash"" inside Angular httpClient errorCatch","<javascript><angular><rxjs><angular-httpclient><rxjs-observables>","1","2","","","","CC BY-SA 4.0"
"57304357","1","57304595","","2019-08-01 07:59:52","","0","100","<p>So, I am using ngrx store for getting data. Once I select the property I want from the store, after then I subscribed it to get observable stream.
My data contains array of object. So in this array of objects, I have to do some modifications in some properties of each objects.</p>

<p>So for that I converted my array of objects into sequential observable by using 'from()' operator of rxjs library and then assign this into new Observable object. With this new Observable object, I applied map function for doing modification and at the end again returned a  new Observable object.
Till this step everything is working fine.
Problem occurs, when I am subscribing to this new modified observable object it is emitting values sequentially not the whole array of objects.
But I want modified array of objects.</p>

<pre><code>this.statusObj = this.store.select(s =&gt; s.userStore.data);
this.statusObj.subscribe(rslt =&gt; {
    this.usrArr = rslt;
})

this.newstatusObj = from(this.usrArr);
this.newstatusObj2 = this.newstatusObj
    .pipe(map(() =&gt; {
        //////some modifications
        return
    }))

this.newstatusObj2.subscribe(val =&gt; {
    console.log(val);  //this line is emitting sequential values..but i want array of objects
})
</code></pre>
","8553943","","2829204","","2019-08-01 08:08:42","2019-08-01 08:13:29","How to convert sequentially emitted data to a single array","<angular><rxjs><rxjs-observables>","1","1","","","","CC BY-SA 4.0"
"57494077","1","57494149","","2019-08-14 11:46:58","","1","3505","<p>I'm pretty new to Angular and my question may seem basic but some guidance would be appreciated. I am currently writing an app to teach myself some real development skills. In my app I have an Angular Component that imports a service that I wrote that provides data.</p>
<p>This is my component</p>
<pre class=""lang-js prettyprint-override""><code>@Component({
  selector: 'music-instrument-list',
  templateUrl: './instrument-report.component.html',
  styleUrls: ['./instrument-report.component.css']
})
export class InstrumentReportComponent implements OnInit, OnDestroy {
    
    constructor(public apiService: ApiService) {}
    public availableInstruments: any[];

    ngOnInit() {
        this.apiService.getInstruments().subscribe((result) =&gt; {
            this.availableInstruments = result;
        });
    }

    ngOnDestroy() {
    // how do I unsubscribe?
    }
}
</code></pre>
<p>This is pretty simple but should I try to add <code>this.apiService.getInstruments.unsubscribe()</code> to the <code>ngOnDestroy</code> block I get the error that  P<strong>roperty 'unsubscribe' does not exist on type =&gt; Observable'</strong>. I even considered add <code>.unsubscribe()</code> after the <code>.subscribe()</code> like chaining but this just makes my page hang. I get no error either. Can someone please tell me how to best unsubscribe? Do I need to assign the api call to a variable and then use .unsubscribe() on the varable name in the <code>ngOnDestroy</code> block</p>
","11124340","","7665955","","2020-12-13 12:40:21","2020-12-15 14:16:44","How to unsubscribe from observable created by an Angular Service","<angular><angular-observable><rxjs-observables>","4","0","1","2019-08-14 11:53:16","","CC BY-SA 4.0"
"57516681","1","57516754","","2019-08-15 21:54:50","","0","28","<p>I have a function which returns an object. Instead of returning the object synchronously, can I have it returned inside an observable which can be later resolved using callbacks (similar to an http call). </p>

<p><strong>Caller Function:</strong></p>

<pre><code>getResource() {
  this.someService.getData().subscribe((data) =&gt; { 
      this.playWithData(data);
    }, (error) {                                   
         console.log(error); 
    });
}
</code></pre>

<p><strong>Called Fn</strong> </p>

<pre><code>getData() {
  return data; //required to return observable/subscriber object
}
</code></pre>

<p>can you let know if this is possible and how to create and return an observable just like how http call would return one ?</p>
","4049008","","5383945","","2019-08-15 22:09:09","2019-08-15 22:13:36","wrapper observable event on top of http call","<angular><rxjs><angular-httpclient><rxjs-observables><rxjs-subscriptions>","1","0","","","","CC BY-SA 4.0"
