Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"49825131","1","49826432","","2018-04-13 21:06:00","","8","7787","<p>I am migrating to rxjs <code>6.0.0-ucandoit-rc.6</code>. In version <code>5.5.2</code> I was using <code>ErrorObservable</code> to create errorous observable.</p>

<p>I was using the way recommended here: <a href=""https://github.com/ReactiveX/rxjs/blob/master/doc/pipeable-operators.md"" rel=""noreferrer"">https://github.com/ReactiveX/rxjs/blob/master/doc/pipeable-operators.md</a></p>

<blockquote>
  <p>Because throw is a key word you could use _throw after import { _throw } from 'rxjs/observable/throw'.</p>
</blockquote>

<p>However this is not recommended way to import in rxjs6 anymore.</p>

<p>What is correct way how to import <code>_throw</code> or <code>ErrorObservable</code>?</p>
","691345","","691345","","2018-05-11 17:48:20","2018-05-11 17:48:20","How to import ErrorObservable or _throw in rxjs6? throw in rxjs","<angular><migration><rxjs><throw><rxjs-pipeable-operators>","1","0","","","","CC BY-SA 4.0"
"50002262","1","50002355","","2018-04-24 12:55:07","","-2","415","<p>I have a service ice that pulls an array from the back-end, I need to get a single item from the array based on the ID, how do I do this in Angular?</p>

<p><a href=""https://i.stack.imgur.com/Uo0gW.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Uo0gW.png"" alt=""enter image description here""></a></p>

<blockquote>
  <p>I'm looking for how to do it specifically with angulars pipeable operators. Filter tends to just stop everything from working without throwing errors if not done correctly. I can get the the row info but I cant target the properties i get <code>""Cannot read property 'id' of undefined""</code></p>
</blockquote>
","8511870","","2218635","","2018-04-24 13:04:35","2018-04-24 13:46:47","how to properly filter an array in angular","<angular><rxjs-pipeable-operators>","4","3","","","","CC BY-SA 3.0"
"50155590","1","50156128","","2018-05-03 12:53:02","","5","9996","<p>I have an <code>Observable&lt;Recipe[]&gt;</code> that I want to reduce to an array of a different class <code>ChartData[]</code> to use as a data source for a highcharts graph (column and piechart).</p>

<p>I am trying to use the RxJS pipe operator on the <code>Observable&lt;Recipe[]&gt;</code> to call the reduce operator on my data but I cannot get it to work? The <code>reduce</code> operator does not iterate over them items in my <code>Observable&lt;Recipe[]&gt;</code> Below is my attempt:</p>

<pre><code>this.foodService.getAllReceipes()
  .pipe(
    reduce((array: ChartData[], value: Recipe[], i: number) =&gt; {
        const author = this.createOrFindAuthor(array, value[i]);
        author.y += 1;

        return array;
      }, new Array&lt;ChartData&gt;())
  )
  .subscribe(data =&gt; this.chartData$ = of(data.sort((a, b) =&gt; b.y - a.y)));
}
</code></pre>

<p><code>getAllRecipes()</code> returns the <code>Observable&lt;Recipe[]&gt;</code></p>

<p><code>this.chartData$</code> is <code>Observable&lt;ChartData[]&gt;</code></p>

<p>I am trying to reduce this to <code>ChartData[]</code>. I have been able to do this in the <code>subscribe</code> operator and the graphs display the expected data but I thought I should be able to do it as a pipeable operator? Here is the reduce being done as part of the subscribe:</p>

<pre><code>this.foodService.getAllReceipes()
  .subscribe((data) =&gt; {
    const list = data.reduce((arr: ChartData[], v: Recipe) =&gt; {
      const author = this.createOrFindAuthor(arr, v);
      author.y += 1;

      return arr;
    }, new Array&lt;ChartData&gt;());

    this.chartData$ = of(list.sort((a, b) =&gt; b.y - a.y));
  });
</code></pre>

<p>I have tried using the <code>subscribe</code> code within the pipeable <code>reduce</code> but I get compile errors saying that the method expects <code>Recipe[]</code> for the value. But if I use the array then I only get the first element from the Observable (or am I just getting the Observable and need to do something with that?)</p>

<p>Is this possible or is my thought process wrong about how the pipeable operator should work on the Observable?</p>

<p>For reference here are the models and the createOrFindAuthor function:</p>

<pre><code>export class Recipe {

    public Title: string;
    public Author: string;
    public Source: string;
    public Page: number;
    public Link?: string;
}

export class ChartData {
    name: string;
    y: number;
}

private createOrFindAuthor(array: ChartData[], recipe: Recipe): ChartData {
  const name = (recipe.Author.length &gt; 0 ? recipe.Author : 'UNKNOWN');

  let found = array.find(i =&gt; i.name === name);

  if (!found) {
    const newData = new ChartData();
    newData.name = name;
    newData.y = 0;
    array.push(newData);

    found = newData;
  }

  return found;
}
</code></pre>
","2309376","","2309376","","2018-05-03 13:11:45","2018-05-03 16:14:35","Use RxJs Pipe to reduce Observable to different type","<angular><typescript><rxjs><rxjs-pipeable-operators>","3","0","","","","CC BY-SA 4.0"
"50290874","1","","","2018-05-11 11:02:40","","1","176","<p>I am trying to use RxJS pipeable operators in my angular project. I have an implementation as below.</p>

<pre><code>// Service Method
public getItems(params: Object = {}): Observable&lt;JsendResponse&gt; {
    return this.apiService.get('v1/url', params);
}

// JsendResponse interface
import { Response } from '@angular/http';

export interface JsendResponse extends Response {
    data: any;
    message: string;
    status: number;
}

// Component call
this.service
    .getItems({})
    .finally(() =&gt; this.loading = false)
    .subscribe(
         response =&gt; this.actions = response.data,
         error =&gt; this.errors = error
    );
</code></pre>

<p>In the above example, I am getting the <code>response</code> typed correctly with <code>JsendResponse</code> type. But when I use <code>pipe</code> operator, the <code>response</code> is not typed correctly and my IDE is telling that <code>TS2339: Property 'data' does not exist on type {}</code>.</p>

<pre><code>this.service
    .getItems({})
    .pipe(
        finalize(() =&gt; this.loading = false)
    )
    .subscribe(
        response =&gt; this.actions = response.data,
        error =&gt; this.errors = error
    );
</code></pre>

<p>What could be the reason? Thanks in advance.</p>
","1816449","","6120338","","2018-05-13 18:14:40","2018-05-13 18:14:40","RxJS type issue in subscribe for pipeable operators","<angular><typescript><rxjs5><tslint><rxjs-pipeable-operators>","0","3","","","","CC BY-SA 4.0"
"50648482","1","","","2018-06-01 17:33:40","","2","1569","<p>I'm zipping a three observables, each of the three observables has it's own ""success"" callback using <code>.pipe(tap() =&gt; {...});</code>.  This works fine when all three observables execute without error, but if one of the observables errors out, then none of the tap methods execute.  How can I have the tap methods always execute if that observable runs successfully?</p>

<pre><code>var request1 = Observable.create(...);  //Pretend this one will fail (though request2 or request3 could also fail)
var request2 = Observable.create(...);
var request3 = Observable.create(...);

request1.pipe(tap(() =&gt; {
    //Unique success callback should always run if request1 succeeds, even if request2 or request 3 fails.
}));

request2.pipe(tap(() =&gt; {
    //Unique success callback should always run if request2 succeeds, even if request1 or request 3 fails.
}));

request3.pipe(tap(() =&gt; {
    //Unique success callback should always run if request3 succeeds, even if request1 or request 2 fails.
}));

var observable = zip(request1, request2, request3);
observable.subscribe(() =&gt; {
    //Do something when all three execute successfully
});
</code></pre>
","","user1007817","","user1007817","2018-06-01 18:41:17","2018-06-03 01:03:31","RxJS Pipe Not Called With zip","<rxjs><rxjs-pipeable-operators>","3","2","","","","CC BY-SA 4.0"
"50707626","1","50709605","","2018-06-05 19:29:57","","2","4159","<p>I am new to using NGRX/RXJS in my angular application, and I have a situation where I have to dispatch an action from my component, which fetches data from an API if the property is empty and updates Store_1 and set a property, and then dispatch another action which uses that data from Store_1 to perform some functions in Store_2 and update state after action 1 completes and fill in ""pluralconfig"". This is the code I came up with but I dont think/believe it's the most efficient way to  do this, and If I'm using the operators correctly.</p>

<pre><code>  if(isEmpty(definition.pluralconfig == null))
     {
         this.store$.dispatch(new FormDBAction(definition.formId));

         let id = definition.id;
         this.formLoadSubscription = this.store$.select(getOrderById(id))
         .filter(v =&gt; v.pluralconfig != null).subscribe(() =&gt;{

            this.store$.select&lt;TosModel&gt;(getOrderById(id)).subscribe(updatedDefinition =&gt; {
              this.store$.dispatch(new OrderDetailAction(updatedDefinition));
            });             
         });
     }
     else{
      this.store$.dispatch(new OrderDetailAction(definition));
     }
</code></pre>
","4849537","","","","","2021-08-13 21:18:38","Dispatch second action after first action completes from component in NGRX/RXJS","<angular><rxjs><ngrx><ngrx-effects><rxjs-pipeable-operators>","1","1","","","","CC BY-SA 4.0"
"51045757","1","51047869","","2018-06-26 14:48:37","","0","367","<p>I'm rewriting some of my code to use Pipeable Operators in place of ""patch"" operators and I'm a little confused about when to use <code>pipe()</code> and how do I subscribe to a piped <code>Observable</code> to ""activate"" it if I only want side-effects?</p>

<p>For example, I have this code:</p>

<pre><code>this.messages$ = this.messageService.getMessages(messageType)
    .do((messages: Message[]) =&gt; {
        console.log('The first message is ' + deviceMessages[0].text);
    });
</code></pre>

<p>I get confused here because I figure I want to do <code>this.messageService.getMessages(messageType).pipe(...)</code> so I get an <code>Observable</code> returned and assigned to <code>this.messages$</code> but then that won't execute because I haven't <code>subscribe()</code>'d. But if I do <code>.pipe(...).subscribe()</code> then it'll return a <code>Subscription</code> object, which isn't what I want.</p>

<p>What should I be doing here?</p>
","1504964","","","","","2018-06-26 16:46:11","Side-effects only when using Pipeable Operators?","<rxjs><reactive-programming><rxjs-pipeable-operators>","1","8","","","","CC BY-SA 4.0"
"51072003","1","51072504","","2018-06-27 21:58:10","","0","371","<p>I have a situation where I want to access action payload in a third level operation. 
I was able to such thing in lettable operators but how can I do the same with pipeable operator?</p>

<p>this my code,</p>

<pre><code> @Effect()
  onTrySignin = this.actions$.pipe(
    ofType(AuthActions.TRY_SIGNIN),
    map((action: AuthActions.TrySignin) =&gt; {
      return action.payload;
    }),
    switchMap(action =&gt; {
      return this.httpService
        .postRequest('UserAccounts/Login', action.credentials);
    }), catchError((error: HttpErrorResponse) =&gt; {
      return Observable.of(new AuthActions.FailedAuth(error));
    }),
    mergeMap((response: any) =&gt; {
      // how to access action payload here?
    })
  );
</code></pre>
","2157801","","","","","2018-06-28 00:23:11","How to pass action data downstream a pipeable operator stream in rxjs?","<rxjs><rxjs-pipeable-operators>","2","0","","","","CC BY-SA 4.0"
"51157294","1","","","2018-07-03 14:39:13","","1","901","<p>Here is a simple post function, I am able to unit test success and catchError 
in jasmine. Is it possible to test the finalize in jasmine? i.e in finalize, can we expect loader to be closed or not?</p>

<pre><code> post(url,requestData){
    this.http.post(url, requestData).pipe(
          response =&gt; this.Response(response),
          catchError((error: Response) =&gt; this.Error(error, msg)),
          finalize(() =&gt; {
            loader.close();
          })
    }
</code></pre>

<p>In finalize I am closing loader. I need to unit test the close loader to be called in finalize.</p>
","4031891","","2117156","","2020-06-10 13:00:30","2020-06-10 13:00:30","RXjs 6 callbacks testing with jasmine","<rxjs><karma-jasmine><jasmine2.0><rxjs6><rxjs-pipeable-operators>","2","0","","","","CC BY-SA 4.0"
"51516606","1","51588547","","2018-07-25 10:27:01","","2","268","<p>I'm creating <a href=""https://github.com/ReactiveX/rxjs/blob/master/doc/pipeable-operators.md"" rel=""nofollow noreferrer"">pipeable operators</a> using RxJS 6, and am unclear about how to <code>complete()</code> the observer when the operation is <em>asynchronous</em>.</p>

<p>For a <strong>synchronous</strong> operation, the logic is simple. In the example below, all values from the source <code>Observable</code> will be passed to <code>observer.next()</code>, and after that <code>observer.complete()</code> is called.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const syncOp = () =&gt; (source) =&gt;
  new rxjs.Observable(observer =&gt; {
    return source.subscribe({
      next: (x) =&gt; observer.next(x),
      error: (e) =&gt; observer.error(err),
      complete: () =&gt; observer.complete()
    })
  });
  
rxjs.from([1, 2, 3]).pipe(syncOp()).subscribe(x =&gt; console.log(x));</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/rxjs/6.2.2/rxjs.umd.min.js""&gt;
&lt;/script&gt;</code></pre>
</div>
</div>
</p>

<p>For an <strong>asynchronous</strong> operation, however, I'm a bit at a loss. In the example below, the asynchronous operation is represented by a call to <code>setTimeout()</code>. Obviously, <code>observer.complete()</code> will be called <em>before</em> any of the values are passed to <code>observer.next()</code>.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const asyncOp = () =&gt; (source) =&gt;
  new rxjs.Observable(observer =&gt; {
    return source.subscribe({
      next: (x) =&gt; setTimeout(() =&gt; observer.next(x), 100),
      error: (e) =&gt; observer.error(err),
      complete: () =&gt; observer.complete()
    })
  });
  
rxjs.from([1, 2, 3]).pipe(asyncOp()).subscribe(x =&gt; console.log(x));</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/rxjs/6.2.2/rxjs.umd.min.js""&gt;
&lt;/script&gt;</code></pre>
</div>
</div>
</p>

<p>So the question is: what is the idiomatic RxJS approach to make it so that the call to <code>observer.complete()</code> is only made after all values are asynchronously passed to <code>observer.next()</code>? Should I be manually keeping track of pending calls or is there a more ""reactive"" solution?</p>

<p><em>(Note that the example above is a simplification of my actual code, and that the call to <code>setTimeout()</code> is meant to represent ""any asynchronous operation"". I'm looking for a general approach to dealing with async operations in pipeable operators, not advice on how to deal with delays or timeouts in RxJS.)</em></p>
","3558960","","3558960","","2018-07-30 04:41:53","2018-07-30 06:59:29","Preventing premature completion of an async pipeable operator in RxJS","<javascript><asynchronous><rxjs><rxjs-pipeable-operators>","3","3","","","","CC BY-SA 4.0"
