Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"48420900","1","64570545","","2018-01-24 11:03:27","","10","3177","<p>I have to test a function that uses the <strong>fromEvent</strong> observable function. 
Before the upgrade to 'lettable' operators, I was just doing this: </p>

<pre><code>spyOn(Observable, 'fromEvent').and.callFake(mockFromEventFunction)
</code></pre>

<p>But now, Rxjs have changed, and <strong>Observable.fromEvent</strong> is just a function named <strong>fromEvent</strong>, that is imported like this: (and used the same way)</p>

<pre><code>import { fromEvent } from 'rxjs/observable/fromEvent';
</code></pre>

<p>My question is, how I can mock that function with Jasmine spy utilities without knowing it's parent context?</p>

<p>I advise that this doesn't work:</p>

<pre><code>import * as FromEventContext from 'rxjs/observable/fromEvent';
...
spyOn(FromEventContext , 'fromEvent').and.callFake(mockFromEventFunction)
</code></pre>

<p>Now I have a workaround wrapping that fromEvent in one Object which I know the context. But I am wondering how I can solve this cleanly.</p>

<p>Thanks in advance.</p>
","6099651","","6099651","","2018-05-25 12:48:48","2020-10-28 10:04:44","How can I mock fromEvent function from RXJS 5.5.6?","<angular><unit-testing><jasmine><rxjs5><rxjs6>","3","3","3","","","CC BY-SA 3.0"
"49840152","1","49840448","","2018-04-15 08:49:31","","173","199924","<p><a href=""https://i.stack.imgur.com/BAqe4.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/BAqe4.png"" alt=""code""></a></p>

<p><a href=""https://i.stack.imgur.com/XLYOx.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/XLYOx.png"" alt=""error info""></a></p>

<p><strong>Typescript code:</strong></p>

<pre><code>import { Injectable } from '@angular/core';
import { Observable } from 'rxjs/Observable';
import { of } from 'rxjs/observable/of';
import { Hero } from './hero';
import { HEROES } from './mock-heroes';

@Injectable({
  providedIn: 'root'
})
export class HeroService {

  constructor() { }

  getHeroes(): Observable&lt;Hero[]&gt; {
    return of(HEROES);
  }

}
</code></pre>

<p><strong>error info:</strong></p>

<blockquote>
  <p>error TS2307: Cannot find module 'rxjs-compat/Observable'.
  node_modules/rxjs/observable/of.d.ts(1,15): error TS2307: Cannot find
  module 'rxjs-compat/observable/of'. src/app/hero.service.ts(2,10):
  error TS2305: Module
  '""F:/angular-tour-of-heroes/node_modules/rxjs/Observable""' has no
  exported member 'Observable'. src/app/hero.service.ts(15,12): error
  TS2304: Cannot find name 'of'.</p>
</blockquote>

<p><strong><code>package.json</code> file with Angular version:</strong></p>

<p><a href=""https://i.stack.imgur.com/58sa4.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/58sa4.png"" alt=""version""></a></p>
","7361800","","8718377","","2019-02-14 09:14:43","2021-06-29 07:53:50","Angular - ""has no exported member 'Observable'""","<angular><typescript><rxjs><angular6><rxjs6>","15","4","37","","","CC BY-SA 4.0"
"50061953","1","50062096","","2018-04-27 12:00:05","","31","18530","<p>In RxJS 6, how do I import a static merge function for merging a list of Observables?</p>

<p>I want to be able to do:</p>

<pre><code>const merged$ = merge(
    obs1$,
    obs2$,
    obs3$
);
</code></pre>

<p>I've tried:</p>

<p><code>import { merge } from 'rxjs/observable/merge';</code> and </p>

<p><code>import { merge } from 'rxjs/operators';</code></p>

<p>but neither seems to give me what I want.</p>
","20489","","10544556","","2020-01-08 11:40:49","2021-06-03 14:24:19","Where is RxJS 6 static merge?","<rxjs><rxjs6>","4","1","3","","","CC BY-SA 3.0"
"50138201","1","50138317","","2018-05-02 15:22:37","","6","11825","<p>I am trying to use <code>mergeMap</code> in <code>rxjs6</code> and i am getting this error:</p>

<p><code>Property 'mergeMap' does not exist on type 'Observable&lt;{}&gt;'</code></p>

<p>I have tried <code>import 'rxjs/add/operator/mergeMap';</code> and it is not working.</p>

<p>What am i doing wrong?</p>

<hr>

<pre><code>import {from, Observable} from 'rxjs';

export class Test {

    public doSomething(): Observable&lt;any&gt; {
        return from(...).mergeMap();
    }

}
</code></pre>
","427763","","","","","2019-01-17 09:29:24","mergeMap does not exist on type observable","<typescript><rxjs><reactivex><rxjs6>","4","0","2","","","CC BY-SA 4.0"
"50184538","1","50184607","","2018-05-05 00:17:34","","2","2570","<p>I'm thoroughly confused about the new RxJS 6 and compatibility package. Currently I have these installed (for Angular 6):</p>

<pre><code>""rxjs"": ""^6.1.0"",
""rxjs-compat"": ""^6.1.0"",
</code></pre>

<p>I have been previously using <a href=""https://www.learnrxjs.io/operators/transformation/switchmap.html"" rel=""nofollow noreferrer"">this signature</a> for <code>switchMap</code> (in RxJS5):</p>

<pre><code>switchMap(
 project: function: Observable, 
 resultSelector: function(outerValue, innerValue, outerIndex, innerIndex): any): Observable
</code></pre>

<p>But when updating to version 6 only this overload is available (without the <code>resultSelector</code> parameter):</p>

<pre><code>export declare function switchMap&lt;T, R&gt;(this: Observable&lt;T&gt;, 
       project: (value: T, index: number) =&gt; ObservableInput&lt;R&gt;): Observable&lt;R&gt;;
</code></pre>

<p>I'm importing it with </p>

<pre><code>import { switchMap } from 'rxjs/operators';
</code></pre>

<p>How can I get access to this overload?</p>

<p>Also I tried to look at <code>\node_modules\rxjs\operators\switchMap.d.ts</code> to see what signatures were in there but the contents of this file is :</p>

<pre><code> export * from 'rxjs-compat/operators/switchMap';
</code></pre>

<p>So it looks like the RxJS main package references the compatibility package? How does that make sense? Does the compatibility package actually modify RxJS - or has my package been corrupted - all the files show 1985 date stamps too!</p>

<p>Like I said I'm very confused! What's going on?</p>
","16940","","","","","2018-05-05 00:32:48","Missing `switchMap` and `flatMap` overloads containing 'resultSelector' in RxJS6","<rxjs><rxjs6>","1","0","","","","CC BY-SA 4.0"
"50200859","1","50200915","","2018-05-06 14:35:49","","22","32529","<p>I want to update my rxjs code to 6 got I don't get it.</p>

<p>Before I had the below that wouth poll for new data every 5 seconds:</p>

<pre><code>import { Observable, interval } from 'rxjs';
import { switchMap, map } from 'rxjs/operators';

var result = interval(5000).switchMap(() =&gt; this._authHttp.get(url)).map(res =&gt; res.json().results);
</code></pre>

<p>Now...of course, it's broken and the documentation leaves me nowhere to go.</p>

<p>How do I write the above to conform to rxjs 6?</p>

<p>Thanks</p>
","1203556","","","","","2018-08-24 06:50:51","I dont get rxjs 6 with angular 6 with interval, switchMap, and map","<angular><rxjs><rxjs6>","2","1","5","","","CC BY-SA 4.0"
"50209119","1","","","2018-05-07 07:30:01","","46","43110","<p>After upgrading to Angular 6.0 and Rxjs to 6.0 I receive the following compilation error:</p>

<p><code>Property 'do' does not exist on type 'Observable'.</code></p>

<p>Here is the code:</p>

<pre><code>import { Observable, of } from 'rxjs';
import 'rxjs/add/operator/do';
import 'rxjs/add/observable/throw';
import 'rxjs/add/operator/catch';
import { IProduct } from './product';

@Injectable()
export class ProductService { 
    constructor(
        private product: IProduct)
    {         
    }

    getProduct = () =&gt; { 
        return product.products
            // error on next line
            .do(data =&gt; console.log('All:' + JSON.stringify(data)))
            .catch(this.handleError);
    }

    private handleError(err: HttpErrorResponse) { 
        console.log(err.message);
        return Observable.throw(err.message);        
    }
}
</code></pre>

<p>Any idea?</p>
","9685781","","578411","","2018-12-19 11:19:04","2020-08-17 17:11:58","Property 'do' does not exist on type 'Observable<IProduct[]>'","<angular><rxjs6>","5","2","10","","","CC BY-SA 4.0"
"50213569","1","50301000","","2018-05-07 11:51:42","","1","920","<p>I'm having an issue after updating libraries to new Angular 6 and RxJS 6.</p>

<p>I have <code>RouteService</code> class which is working as service. It uses <code>HttpClient</code> to get data from remote API. After update I'm getting some weird error when I try to compile project.</p>

<p>Here's my service class:</p>

<pre><code>import {Injectable} from '@angular/core';
import {HttpClient} from ""@angular/common/http"";
import {Observable} from ""rxjs/Rx"";
import {catchError} from 'rxjs/operators';

export interface Route {
    name:string;
    route_id:number;
    created_at:Date;
}

@Injectable()
export class RouteService {
    constructor(private http:HttpClient) {}

    getRoutesList():Observable&lt;Route[]&gt; {
        return this.http.get&lt;Route[]&gt;(`http://localhost:8090/api/routes`)
        .pipe(catchError(ServiceUtil.handleError));
    }
}
</code></pre>

<p>Here's handleError method:</p>

<pre><code>import {HttpErrorResponse} from '@angular/common/http';
import {ErrorObservable} from 'rxjs/observable/ErrorObservable';

export module ServiceUtil {
    export function handleError(error:HttpErrorResponse) {
        if (error.error instanceof ErrorEvent)
        console.error('An error occurred:', error.error.message);
        else 
        console.error('An error occurred:', JSON.stringify(error.error));    
        return new ErrorObservable(error.error);
    }
}
</code></pre>

<p>After <code>ng serve</code> I'm getting error:</p>

<pre><code>ERROR in src/app/service/route-service/route.service.ts(21,5): error TS2322: Type 'Observable&lt;{} | Route[]&gt;' is not assignable to type 'Observable&lt;Route[]&gt;'.
Type '{} | Route[]' is not assignable to type 'Route[]'.
    Type '{}' is not assignable to type 'Route[]'.
    Property 'includes' is missing in type '{}'.

Failed to compile.
</code></pre>

<p>What am I doing wrong? Is there something wrong with my code that causes error in new versions but was working in old one? Or something changed?</p>
","3626048","","","","","2018-05-11 22:23:52","Compile error after update Angular and RxJS 5 to 6","<angular><typescript><rxjs><angular6><rxjs6>","3","2","","","","CC BY-SA 4.0"
"50218784","1","50219421","","2018-05-07 16:36:15","","7","8493","<p>What is the correct expression and import for <code>Observable.of([]);</code>. </p>

<p><code>import { of } from 'rxjs';</code> does not work for me.</p>
","5798225","","13860","","2018-06-11 13:27:13","2019-04-07 17:40:56","How to get ""Observable.of([]);"" to work?","<angular><typescript><rxjs><rxjs5><rxjs6>","2","7","","","","CC BY-SA 4.0"
"50220854","1","50245593","","2018-05-07 19:05:01","","63","44738","<pre><code> import { Observable, of } from ""rxjs"";

// And if I try to return like this
  return Observable.of(this.purposes);
</code></pre>

<p>I am getting an error stating, Property 'of' does not exist on type 'typeof Observable'</p>
","7962294","","5490782","","2018-08-27 09:43:20","2019-05-13 17:05:54","Could not use Observable.of in RxJs 6 and Angular 6","<angular><rxjs6><angular-observable>","3","2","9","","","CC BY-SA 4.0"
