Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"45872463","1","45872598","","2017-08-24 23:43:47","","0","735","<p>I have a data flow like this:</p>

<pre><code>Observable
    .fromFuture(
        CompletableFuture.supplyAsync { // First remote call returns Future&lt;List&lt;Type&gt;&gt;
            listOf(1, 2, 3, 57005, 5)
        },
        Schedulers.computation()
    )
    .flatMap { it.toObservable() } // I turn that list into a stream of single values to process them one by one
    .map {
        CompletableFuture.supplyAsync { // This remote call may fail if it does not like the input. I want to skip that failures and continue the stream like the fail never occurred.
            if (it == 0xDEAD) {
                throw IOException(""Dead value!"")
            }

            it
        }
    }
    .flatMap {
        Observable.fromFuture(it) // Turn that Futures into a stream of Observables once again
    }
    .doOnNext {
        println(it) // Debug
    }
    .blockingSubscribe()
</code></pre>

<p>I've replaced business logic (that actually return <code>Future</code>s) with <code>CompletableFuture.supplyAsync</code>.
And, yes, this is Kotlin, but I guess you got the intent.</p>

<p>When I comment ""dead"" value (<code>57005</code>, <code>0xDEAD</code>) the output is:</p>

<pre><code>1
4
9
25
</code></pre>

<p>But if that ""dead"" value appears in the stream, it fails:</p>

<pre><code>1
4
9
Exception in thread ""main"" java.lang.RuntimeException: java.util.concurrent.ExecutionException: java.io.IOException: Dead value!
    at io.reactivex.internal.util.ExceptionHelper.wrapOrThrow(ExceptionHelper.java:45)
    at io.reactivex.internal.operators.observable.ObservableBlockingSubscribe.subscribe(ObservableBlockingSubscribe.java:86)
    at io.reactivex.Observable.blockingSubscribe(Observable.java:5035)
    at by.dev.madhead.rx.TestKt.main(test.kt:41)
Caused by: java.util.concurrent.ExecutionException: java.io.IOException: Dead value!
    at java.util.concurrent.CompletableFuture.reportGet(CompletableFuture.java:357)
    at java.util.concurrent.CompletableFuture.get(CompletableFuture.java:1895)
...
</code></pre>

<p>I'm a newbie in RX, so quickly googled for a solution: <code>onExceptionResumeNext</code>: <code>Observable.fromFuture(it)</code> --> <code>Observable.fromFuture(it).onExceptionResumeNext { Observable.empty&lt;Int&gt;() }</code>. But now my application hangs forever (after producing the output I expect).
Looks like the stream never ends.</p>

<p>Should I ""shutdown"" that <code>Observable</code> somehow or what?
Or, more generally, is it a good approach when working with RX?
Should I rethink it in another way?</p>
","750510","","750510","","2018-12-18 01:14:32","2018-12-18 01:14:32","How to skip exceptions silently in RxJava2?","<rx-java><reactive-programming><rx-java2><rx-kotlin><rx-kotlin2>","1","0","","","","CC BY-SA 4.0"
"46523605","1","","","2017-10-02 10:16:15","","1","758","<p>Using <code>RxJava2</code> <code>RxKotlin</code> and <code>Room</code>, I need to query the database for an open hunt. That means that I search for a hunt that contains an attribute called <code>closed</code> with value <code>false</code>. Once the hunt has been found, it needs to switch the query to that particular hunt.</p>

<p>I have 2 methods for those queries:</p>

<pre><code>getOpenHunt(teamId:String): Flowable&lt;List&lt;Hunt&gt;&gt;
getHunt(huntId:String): Flowable&lt;List&lt;Hunt&gt;&gt;
</code></pre>

<p>They both return a <code>List</code> because otherwise the query gets stuck when no hunt is found.</p>

<p>My idea is something like</p>

<pre><code>fun queryHunt(teamId:String):Flowable&lt;Optional&lt;Hunt&gt;&gt;{
   getOpenHunt(teamId)
      .map&lt;Optional&lt;Hunt&gt;&gt; {
                Optional.create(it.firstOrNull())
            }
      .switchToFlowableIf ( it is Optional.Some, getHunt(it.element().id)
}

//With switchToFlowableIf's being
fun &lt;E:Any&gt; switchToFlowableIf(condition: (E)-&gt;Boolean, newFlowable: Flowable&lt;E&gt;): Flowable&lt;E&gt;
//It should unsubscribe from getOpenHunt and subscribe to newFlowable
</code></pre>

<p>For reference, here is my <code>Optional</code> class</p>

<pre><code>sealed class Optional&lt;out T&gt; {
class Some&lt;out T&gt;(val element: T) : Optional&lt;T&gt;()
object None : Optional&lt;Nothing&gt;()

fun element(): T? {
    return when (this) {
        is Optional.None -&gt; null
        is Optional.Some -&gt; element
    }
}

companion object {
    fun &lt;T&gt; create(element: T?): Optional&lt;T&gt; {
        return if (element != null) {
            Optional.Some(element)
        } else {
            Optional.None
        }
    }
}
}
</code></pre>

<p>Is there a similar method already built in RxJava2? If not, how would you implement it?</p>
","1354302","","1354302","","2017-10-02 10:41:16","2017-10-02 13:30:56","Change observable on condition met - RxJava2","<android><kotlin><rx-java2><rx-kotlin2>","2","0","","","","CC BY-SA 3.0"
"46589849","1","46595044","","2017-10-05 15:47:35","","0","1132","<p>Here is short snippet of code:</p>

<pre><code>    val subject = BehaviorSubject.createDefault(emptyList&lt;Int&gt;())
    subject.onNext(Arrays.asList(1, 2, 3))
    subject.flatMapIterable { list: List&lt;Int&gt; -&gt; list }
            .subscribeBy(
                    onNext = { l(""on next"", it) },
                    onComplete = { l(""on complete"") }
            )
</code></pre>

<p>Why <code>onComplete</code> doesn't not call here? What I should do for working this code? Because in original code I can not use <code>.toList()</code> method. </p>
","4981663","","","","","2017-10-05 21:26:58","RxJava2: onComplete not called with flatMapIterable","<kotlin><rx-java2><rx-kotlin2>","1","5","","","","CC BY-SA 3.0"
"47009101","1","","","2017-10-30 06:19:00","","0","530","<p>I am using RxJava 2.* and I want to merge the results of two observables (one from retrofit and another from room) by using zip operator(feel free to suggest better).</p>

<p>Model objects that come from remote server are different from the one coming out of Room Database. </p>

<ol>
<li>I want to map the objects from Remote into that of local </li>
<li>Merge those two results </li>
<li>Display the result.</li>
</ol>

<p>My remote API looks like this : </p>

<pre><code>interface CategoryService{
@GET(""categories"")
fun getCategories(): Observable&lt;List&lt;Category&gt;&gt;
</code></pre>

<p>}</p>

<p>And my Room DAO query looks like this : </p>

<pre><code>@Query(""SELECT * FROM categories ORDER BY id"")
abstract fun categories(): Observable&lt;List&lt;KmagCategory&gt;&gt;
</code></pre>

<p>I have converted Observable> into Observable> like this :</p>

<pre><code>val newCategoryList : Observable&lt;List&lt;KmagCategory&gt;&gt; =settingService.getCategories().flatMap { list -&gt;
            Observable.fromIterable(list)
                    .map { item -&gt; KmagCategory(item.id, item.title, item.slug, item.isFav) }
                    .toList()
                    .toObservable()
        }
</code></pre>

<p>But when I try to zip these two observables like this :</p>

<pre><code>val combinedObservable : Observable&lt;List&lt;KmagCategory&gt;&gt; = Observables.zip(KMagApp.database?.categories()?.categories()!!,newSetting)
</code></pre>

<p>I get <strong>Type inference failed, Expected type mismatch</strong> 
<a href=""https://i.stack.imgur.com/KpPz7.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/KpPz7.png"" alt=""enter image description here""></a></p>
","2581314","","2581314","","2017-10-30 06:27:26","2017-10-30 08:11:49","Cannot zip Rxjava Observables","<java><android><kotlin><rx-java2><rx-kotlin2>","2","0","","","","CC BY-SA 3.0"
"47294290","1","47294652","","2017-11-14 20:04:16","","0","314","<p>I have a stream of <code>ResponseMessage</code> which can be of different subtypes. I would like to split the stream into streams where I can handle each type in its own stream.</p>

<p>My first try resulted in this which I can not see working out.</p>

<pre><code>file.readLines()
        .toObservable()
        .map { mapper.readValue(it, ResponseMessage::class.java) }
        .groupBy { when(it) {
            is MarketChangeMessage -&gt; it::class
            else -&gt; it::class
        }}
        .map { it.????? } //How can possible this work?
</code></pre>

<p>My question is now:
What is the idiomatic way to divide a stream into streams on one specific sub type?</p>
","3139545","","2597143","","2018-10-24 13:19:55","2018-10-24 13:19:55","RxJava/RxKotlin split stream depending on subtype","<kotlin><rx-java><rx-kotlin><rx-kotlin2><rx-javafx>","1","0","","","","CC BY-SA 3.0"
"47376858","1","","","2017-11-19 12:28:54","","1","414","<p>Im stuck getting the following example working as expected, I have tried using <code>zip</code> and <code>combineLatest</code> and as show below <code>withLatestFrom</code> however non of them gives the expected output.</p>
<pre><code>@Test
fun thereCanBeOnlyOne() {
    val s1 = BehaviorSubject.create&lt;Int&gt;()
    val s2 = BehaviorSubject.create&lt;Int&gt;()

    s2.withLatestFrom&lt;Int, Int, Int&gt;(s1)
            .subscribe { (a, b) -&gt;
                println(&quot;$a - $b&quot;)
            }

    s1.onNext(1)
    s1.onNext(2)
    s2.onNext(1)
    s2.onNext(2)
    s1.onNext(333)
    s2.onNext(444)
}
</code></pre>
<p>What I want is the following to print:</p>
<blockquote>
<p>2 - 1</p>
<p>2 - 2</p>
<p>333 - 444</p>
</blockquote>
","3139545","","-1","","2020-06-20 09:12:55","2017-11-19 12:42:14","Combine two subject only when one changes and get latest from other","<rx-java><rx-java2><reactivex><rx-kotlin><rx-kotlin2>","1","0","","","","CC BY-SA 3.0"
"47534447","1","","","2017-11-28 14:50:47","","16","9783","<p>Suppose you want to insert a Completable in your Observable chain, such as for each emitted element, there is a completable that runs and blocks until it completes, what option would you choose? (here the <code>Completable.complete()</code> is just to make an example)</p>

<ol>
<li><p><code>.flatMap { Completable.complete().andThen(Observable.just(it)) }</code></p></li>
<li><p><code>.doOnNext { Completable.complete().blockingAwait() }</code></p></li>
<li><p>something else?</p></li>
</ol>
","1855855","","","","","2018-04-26 05:27:53","Chain Completable into Observable flow","<rx-java><rx-java2><rx-kotlin><rx-kotlin2>","2","0","","","","CC BY-SA 3.0"
"47595813","1","47804468","","2017-12-01 14:43:49","","0","153","<p>could you please help me to group by the following json and return a hashMap in kotlin based on date with RxKotlin? is so easy with just kotlin but really stuck for Rxkotlin. thanks</p>

<p>val groupedTransactions =   accountTransactions.transactions
                    ?.groupBy { it.effectiveDate }</p>

<pre><code>""transactions"": [{
        ""id"": ""44e5b2bc484331ea24afd85ecfb212c8"",
        ""effectiveDate"": ""20/07/2017"",
        ""description"": ""Kaching TFR from JOHN CITIZEN&lt;br/&gt;xmas donation"",
        ""amount"": 12.00
    }, {
        ""id"": ""1506aeeb8c3a699b1e3c87db03156428"",
        ""effectiveDate"": ""20/07/2017"",
        ""description"": ""Wdl ATM CBA ATM CIRCULAR QUAY STATION NSW 221092 AUS"",
        ""amount"": -200.00,
        ""atmId"": ""129382""
    }, {
        ""id"": ""9a899bfd978511e9605774e1d5222b67"",
        ""description"": ""Savings"",
        ""effectiveDate"": ""19/07/2017"",
        ""amount"": 10.00
    }, {
        ""id"": ""1a6c48627cecaa2388b702fa33d751ff"",
        ""description"": ""PTAG COCA COLA AMATI"",
        ""effectiveDate"": ""12/07/2017"",
        ""amount"": -2.20
    }, {
        ""id"": ""7ecc19e1a0be36ba2c6f05d06b5d3058"",
        ""description"": ""Wdl ATM CBA ATM TOWN HALL SQUARE NSW 253432 AUS"",
        ""effectiveDate"": ""04/07/2017"",
        ""amount"": -50.00,
        ""atmId"": ""137483""
    }, {
        ""id"": ""b71bf065b640217dad602f86ac047722"",
        ""description"": ""BPAY - Telstra mobile"",
        ""effectiveDate"": ""04/07/2017"",
        ""amount"": -49.00
    },{
        ""id"": ""ef087651eb482bae4624478696f4ad4f"",
        ""description"": ""Transfer from REBECCA SHAW&lt;br/&gt;Lorem ipsum"",
        ""effectiveDate"": ""03/07/2017"",
        ""amount"": 150.00
    }, {
        ""id"": ""8cd283d8b7bacc277f2bae5e26ce6d1e"",
        ""description"": ""Savings"",
        ""effectiveDate"": ""01/07/2017"",
        ""amount"": 200.00
    }, {
        ""id"": ""04117d2d74f5331f3ee4955da27cca7a"",
        ""effectiveDate"": ""28/06/2017"",
        ""description"": ""Transfer - Saturday drinks"",
        ""amount"": -100.00
    }, {
        ""id"": ""821ae63dbe0c573eff8b69d451fb21bc"",
        ""effectiveDate"": ""21/06/2017"",
        ""description"": ""Wdl ATM CBA ATM CIRCULAR QUAY STATION NSW 221092 AUS"",
        ""amount"": -200.00,
        ""atmId"": ""129382""
    }]
</code></pre>
","1820178","","","","","2017-12-14 01:09:58","rxkotlin groupby is not working","<rx-kotlin2>","1","5","","","","CC BY-SA 3.0"
"47953791","1","47971299","","2017-12-23 15:40:44","","3","4132","<p>I know how to do this in <a href=""https://stackoverflow.com/questions/38811923/how-to-use-rxjava-combinelatest-operator-with-more-than-9-observables"">RxJava 2</a>.</p>

<p>And I know how <a href=""https://stackoverflow.com/questions/42725749/observable-combinelatest-type-inference-in-kotlin"">RxKotlin</a> helps with similar issues.</p>

<p>But it seems that RxKotlin.Observables doesn't have this helper function for the list overload and I cannot figure it out. How would you do this?</p>
","1067763","","","","","2018-12-12 19:50:43","How to use RxJava2 combineLatest with a list of observables in Kotlin","<kotlin><rx-java2><rx-kotlin2>","3","2","1","","","CC BY-SA 3.0"
"48141978","1","","","2018-01-07 22:04:08","","1","60","<p>I have the following design I'd like to create, but I'm not sure which Rx pattern matches it. The goal is more or less along the lines of a Single, but with a conditional check.</p>

<ul>
<li>There is one <code>Observable&lt;String&gt;</code>, and the possibility of any number of observers.</li>
<li>If a request is first made, the observable will execute some network request taking in the string, then emit a callback (much like a completable/single)</li>
<li>Any subsequent call with the same key will return the same result immediately</li>
<li>However, if 5 minutes has passed and the same call is made, we will refetch the data as it may have expired, then emit it to any listeners. This result will be saved for another 5 minutes, and the cycle repeats.</li>
<li>All data is stored based on the key sent, much like a flyweight pattern. Expiration is based off of the last request time of the specific key.</li>
</ul>

<p>My initial thought was to just make my own class with a concurrent hashmaps. However, this will mean I have to handle a lot of the threading mechanisms myself. I feel like RxJava will be a great solution to this, but I'm not sure if such patterns exist. Does anyone have an idea?</p>

<p>I get that the purpose of a <code>Single&lt;T&gt;</code> is meant to only retrieve a single response, so my terms may not be correct.</p>

<p>The following is my attempt, which I will be updating as I go</p>

<pre><code>/**
 * Created by Allan Wang on 07/01/18.
 *
 * Reactive flyweight to help deal with prolonged executions
 * Each call will output a [Single], which may be new if none exist or the old one is invalidated,
 * or reused if an old one is still valid
 *
 * Types:
 * T    input       argument for caller
 * C    condition   condition to check against for validity
 * R    response    response within reactive output
 */
abstract class RxFlyweight&lt;in T : Any, C : Any, R : Any&gt; {

    /**
     * Given an input emit the desired response
     * This will be executed in a separate thread
     */
    protected abstract fun call(input: T): R

    /**
     * Given an input and condition, check if
     * we may used cache data or if we need to make a new request
     * Return [true] to use cache, [false] otherwise
     */
    protected abstract fun validate(input: T, cond: C): Boolean

    /**
     * Given an input, create a new condition to be used
     * for future requests
     */
    protected abstract fun cache(input: T): C

    private val conditionals = mutableMapOf&lt;T, C&gt;()
    private val sources = mutableMapOf&lt;T, Single&lt;R&gt;&gt;()

    private val lock = Any()

    /**
     * Entry point to give an input a receive a [Single]
     * Note that the observer is not bound to any particular thread,
     * as it is dependent on [createNewSource]
     */
    operator fun invoke(input: T): Single&lt;R&gt; {
        synchronized(lock) {
            val source = sources[input]

            // update condition and retrieve old one
            val condition = conditionals.put(input, cache(input))

            // check to reuse observable
            if (source != null &amp;&amp; condition != null &amp;&amp; validate(input, condition))
                return source

            val newSource = createNewSource(input).cache()

            sources.put(input, newSource)
            return newSource
        }
    }

    /**
     * Open source creator
     * Result will then be created with [Single.cache]
     * If you don't have a need for cache,
     * you likely won't have a need for flyweights
     */
    open protected fun createNewSource(input: T): Single&lt;R&gt; =
            Single.fromCallable { call(input) }
                    .timeout(20, TimeUnit.SECONDS)
                    .subscribeOn(Schedulers.io())

    fun reset() {
        synchronized(lock) {
            sources.clear()
            conditionals.clear()
        }
    }

}
</code></pre>
","4407321","","4407321","","2018-01-07 23:48:21","2018-01-07 23:48:21","Resettable Single Rx pattern","<rx-java2><rx-kotlin2>","0","7","","","","CC BY-SA 3.0"
