Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"26968674","1","26969028","","2014-11-17 08:46:02","","36","11043","<p>I am going to start using reactive programming in my Android project. I am using Kotlin as primary language and now I would like to apply Rx. My first choice was RxAndroid but then I noticed that there is RxKotlin.</p>

<p>As far as I know both are forked from RxJava so RxAndroid probably provides some API for android common tasks. On the other hand RxKotlin support lambas out of the box and allow me avoiding mixing kotlin with java.</p>

<p>Which one is preferred library in that case?   </p>
","1456931","","1456931","","2014-11-17 08:56:37","2016-04-01 03:23:55","Use RxAndroid or RxKotlin when programming in Kotlin for Android?","<android><rx-android><rx-kotlin>","1","1","8","2014-11-18 13:08:24","","CC BY-SA 3.0"
"26969028","2","","26968674","2014-11-17 09:06:09","","45","","<p>You could use both of them. 
<strong><a href=""https://github.com/ReactiveX/RxKotlin"">RxKotlin</a></strong> contains an <a href=""http://kotlinlang.org/docs/reference/extensions.html"">extension functions</a> that provides to you idiomatic way(with writing less code) of using <a href=""https://github.com/ReactiveX/RxJava""><strong>rxJava</strong></a> in Kotlin.
<strong>rxAndroid</strong>(is now split in few libraries) provides specific platform bindings such as: </p>

<ul>
<li><em><a href=""https://github.com/ReactiveX/RxAndroid"">rxAndroid</a></em> that could help you to manage an execution with native android <a href=""http://developer.android.com/intl/ru/reference/android/os/Handler.html"">Handlers</a> </li>
<li><em><a href=""https://github.com/trello/RxLifecycle"">rxLifecycle</a></em> that provides Activity lifecycle bindings </li>
<li><em><a href=""https://github.com/JakeWharton/RxBinding"">rxBinding and rxBinding-kotlin</a></em> that helps to manage UI with all power of rxJava</li>
</ul>

<p>There are few more useful <a href=""https://github.com/zsoltk/RxAndroidLibs"">libraries for rxJava and Android</a> you could be interested.</p>

<p><strong>Edited 01.04.16</strong></p>
","631814","","631814","","2016-04-01 03:23:55","2016-04-01 03:23:55","","","","2","","","","CC BY-SA 3.0"
"29882922","1","29939049","","2015-04-26 20:08:43","","1","580","<p>The error in the title appears in Android Studio as a warning bar above all my code: <img src=""https://i.stack.imgur.com/JVvo5.png"" alt=""Error""></p>

<p>Android Studio version: <code>1.1.0</code><br>
Kotlin plugin version for Android Studio: <code>0.11.91.AndroidStudio.4</code><br>
<code>build.gradle</code> file that seems to be using all the most recent versions of the Kotlin libraries:</p>

<pre><code>apply plugin: 'com.android.application'
apply plugin: 'kotlin-android'

android {
    compileSdkVersion 22
    buildToolsVersion ""22.0.1""

    defaultConfig {
        applicationId ""ca.amandeep.simpletransit""
        minSdkVersion 16
        targetSdkVersion 22
        versionCode 1
        versionName ""1.0""
    }
    buildTypes {
        release {
            minifyEnabled false
            proguardFiles getDefaultProguardFile('proguard-android.txt'), 'proguard-rules.pro'
        }
    }
    sourceSets {
        main.java.srcDirs += 'src/main/kotlin'
    }
}

dependencies {
    compile fileTree(dir: 'libs', include: ['*.jar'])
    compile 'com.android.support:appcompat-v7:22.0.0'
    compile ""org.jetbrains.kotlin:kotlin-stdlib:$kotlin_version""
    compile 'com.squareup.retrofit:retrofit:1.9.0'
    compile('com.squareup.retrofit:converter-simplexml:1.9.0') {
        exclude module: 'stax'
        exclude module: 'stax-api'
        exclude module: 'xpp3'
    }
    compile 'com.squareup.okhttp:okhttp:2.3.0'
    compile 'com.squareup.okhttp:okhttp-urlconnection:2.3.0'
    compile 'com.google.guava:guava:18.0'
    compile 'com.facebook.stetho:stetho:1.0.1'
    compile 'com.facebook.stetho:stetho-okhttp:1.0.1'
    compile 'com.jakewharton.timber:timber:2.7.1'
    compile 'io.reactivex:rxkotlin:0.21.0'
    compile 'io.reactivex:rxandroid:0.24.0'
    compile 'com.github.techfreak:wizardpager:1.0.0'
}
buildscript {
    ext.kotlin_version = '0.11.91.1'
    repositories {
        mavenCentral()
    }
    dependencies {
        classpath ""org.jetbrains.kotlin:kotlin-gradle-plugin:$kotlin_version""
        classpath ""org.jetbrains.kotlin:kotlin-android-extensions:$kotlin_version""
        classpath 'com.jakewharton.hugo:hugo-plugin:1.2.1'
    }
}
repositories {
    mavenCentral()
}

apply plugin: 'com.jakewharton.hugo'
</code></pre>
","137081","","","","","2016-01-04 18:39:25","Kotlin library 'rxkotlin-0.21.0.jar' has an unsupported format. Please update the library or the plugin","<android><android-studio><kotlin><rx-android><rx-kotlin>","2","0","","","","CC BY-SA 3.0"
"29939049","2","","29882922","2015-04-29 09:05:01","","1","","<p>I think they wrongly packaged this version. There is an issue about that on github :</p>

<p><a href=""https://github.com/ReactiveX/RxKotlin/issues/18"" rel=""nofollow"">https://github.com/ReactiveX/RxKotlin/issues/18</a></p>

<p>Maybe you should ping it.</p>
","231417","","","","","2015-04-29 09:05:01","","","","0","","","","CC BY-SA 3.0"
"34583595","1","34587372","","2016-01-04 01:25:32","","5","872","<p>I was having some issues using RxJava and Kotlin earlier. I made some interesting discoveries which I'm still puzzled about. </p>

<p>There is the simple <code>Func1</code> interface in RxJava</p>

<pre><code>public interface Func1&lt;T, R&gt; extends Function {
    R call(T t);
}
</code></pre>

<p>I was trying to add an extension method to an <code>Observable</code>, also an RxJava class. This would collect the emissions into a Google Guava <code>ImmutableListMulitmap</code> using a <code>Func1</code> to map the key off each item. </p>

<pre><code>fun &lt;K,T&gt; Observable&lt;T&gt;.toImmutableListMultimap(keyMapper: Func1&lt;T, K&gt;): Observable&lt;ImmutableListMultimap&lt;K,T&gt;&gt; {
    return this.collect({ ImmutableListMultimap.builder&lt;K,T&gt;()},{ b, t -&gt; b.put(keyMapper.call(t), t)}).map { it.build() }
}
</code></pre>

<p>When I tried to invoke this extension method I could not get it to compile, and it was not understanding the lambda expression at all. </p>

<pre><code>ScheduledItem.all.flatMap { it.rebuildSoftTransactions }
.toImmutableListMultimap { it.id /*compile error */ } .cache()
</code></pre>

<p>However, the strangest thing happened when I modified the extension method to use the <a href=""https://kotlinlang.org/docs/reference/lambdas.html#function-types"">function type</a>.</p>

<pre><code>fun &lt;K,T&gt; Observable&lt;T&gt;.toImmutableListMultimap(keyMapper: (T) -&gt; K): Observable&lt;ImmutableListMultimap&lt;K,T&gt;&gt; {
    return this.collect({ ImmutableListMultimap.builder&lt;K,T&gt;()},{ b, t -&gt; b.put(keyMapper(t), t)}).map { it.build() }
}
</code></pre>

<p>And then everything compiled fine. But this is what puzzled me: How come it did not infer the lambda onto the interface? When I use the standard <code>map()</code> method on the <code>Observable</code> it infers the lambda just fine using the curly bracket <code>{ }</code> syntax. But why does it not work for my extension method above?</p>
","1373258","","","","","2016-01-04 08:44:23","Behavior with Kotlin Higher-Order Functions and Single-method interfaces?","<lambda><rx-java><kotlin><rx-kotlin>","1","0","","","","CC BY-SA 3.0"
"34587372","2","","34583595","2016-01-04 08:44:23","","7","","<p>The SAM conversion (converting a lambda into a function type) currently works only for methods written in Java. Kotlin has proper function types, so there is no need for SAM conversion - you can declare the parameter as a function type directly (which works, as you have observed).</p>

<p><code>Observable.map()</code> is written in Java, so the SAM conversion is applied. Your extension function is written in Kotlin, so it's not.</p>
","147024","","","","","2016-01-04 08:44:23","","","","0","","","","CC BY-SA 3.0"
"34966999","1","34971416","","2016-01-23 18:14:59","","13","4712","<p>I'm confused by Kotlin lambda syntax. </p>

<p>At first, I have</p>

<pre><code>.subscribe(
          { println(it) }
          , { println(it.message) }
          , { println(""completed"") }
      )
</code></pre>

<p><strong>which works fine</strong>.</p>

<p>Then I moved the onNext to another class called GroupRecyclerViewAdapter which implements <code>Action1&lt;ArrayList&lt;Group&gt;&gt;</code>. </p>

<pre><code>.subscribe(
          view.adapter as GroupRecyclerViewAdapter
          , { println(it.message) }
          , { println(""completed"") }
      )
</code></pre>

<p>However, I got the error:</p>

<p><a href=""https://i.stack.imgur.com/0GAwv.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/0GAwv.png"" alt=""error""></a></p>

<pre><code>Error:(42, 17) Type mismatch: inferred type is () -&gt; ??? but rx.functions.Action1&lt;kotlin.Throwable!&gt;! was expected
Error:(42, 27) Unresolved reference: it
Error:(43, 17) Type mismatch: inferred type is () -&gt; kotlin.Unit but rx.functions.Action0! was expected
</code></pre>

<p>I can fix the error by changing to:</p>

<pre><code>.subscribe(
          view.adapter as GroupRecyclerViewAdapter
          , Action1&lt;kotlin.Throwable&gt; { println(it.message) }
          , Action0 { println(""completed"") }
      )
</code></pre>

<p><strong>Is there a way to write the lambda without specifying a type?</strong> (<code>Action1&lt;kotlin.Throwable&gt;</code>, <code>Action0</code>) </p>

<p><a href=""https://github.com/ReactiveX/RxJava/blob/1.x/src/main/java/rx/Observable.java"" rel=""noreferrer"">Note: subscribe is RxJava method</a></p>

<p><strong>Edit 1</strong></p>

<pre><code>class GroupRecyclerViewAdapter(private val groups: MutableList&lt;Group&gt;,
                           private val listener: OnListFragmentInteractionListener?) :
RecyclerView.Adapter&lt;GroupRecyclerViewAdapter.ViewHolder&gt;(), Action1&lt;ArrayList&lt;Group&gt;&gt; {
</code></pre>
","1104902","","1104902","","2016-01-24 22:34:48","2016-01-25 14:19:58","Kotlin lambda syntax confusion","<kotlin><rx-kotlin>","2","3","2","","","CC BY-SA 3.0"
"34971416","2","","34966999","2016-01-24 02:06:04","","11","","<p><code>view.adapter as GroupRecyclerViewAdapter</code> part should be lambda func, not Action, since onError and onComplete also lambdas</p>

<p>so, to fix this try:</p>

<pre><code>.subscribe(
          { (view.adapter as GroupRecyclerViewAdapter).call(it) }
          , { println(it.message) }
          , { println(""completed"") }
      )
</code></pre>

<p>with your names (replace <code>Unit</code> with your type)</p>

<pre><code>class GroupRecyclerViewAdapter : Action1&lt;Unit&gt; {
    override fun call(t: Unit?) {
        print (""onNext"")
    }
}
</code></pre>

<p>with lambdas</p>

<pre><code>val ga = GroupRecyclerViewAdapter()
...subscribe(
    { result -&gt; ga.call(result) },
    { error -&gt; print (""error $error"") },
    { print (""completed"") })
</code></pre>

<p>with actions</p>

<pre><code>...subscribe(
    ga,
    Action1{ error -&gt; print (""error $error"") },
    Action0{ print (""completed"") })
</code></pre>

<p>pick one</p>
","4594990","","3679676","","2016-01-25 10:32:34","2016-01-25 10:32:34","","","","22","","","","CC BY-SA 3.0"
"35524980","1","35527773","","2016-02-20 15:04:15","","3","993","<p>This is working code but I have a few questions as well as a request for advice on improving it. I am new to RxJava and I have not fully wrapped my head around how to chain these type of observables together. </p>

<p>I have two model objects, <code>ListItem</code> and <code>UserInfo</code>. <code>ListItem</code>s exists in a local database and the <code>UserInfo</code> is fetched from the server by using an ID provided from the <code>ListItem</code>. </p>

<p>The <code>UserInfo</code> web service accepts an array of IDs for which it will return a list of <code>UserInfo</code> objects. </p>

<p>The flow of this code is as follows:</p>

<ol>
<li>Load <code>ListItem</code>s from database</li>
<li>Using the <code>ListItem</code>s fetched from the database, check an in memory cache to see if I've already fetched the <code>UserInfo</code> for a particular <code>ListItem</code></li>
<li>For any items whose <code>UserInfo</code> is not cached, fetch them from the network</li>
<li>Place the fetched <code>UserInfo</code> objects into the cache</li>
<li>Re-run step 2 ( the method is <code>loadCachedUserInfo</code>)</li>
<li>Return results to subscriber</li>
</ol>

<p>NOTE: The <code>UserInfo</code> objects should only be fetched for a <code>ListItem</code> if the list has been deemed a <code>isUserList</code>.</p>

<p>Here is the code:</p>

<pre><code>fun itemsInList(list : ATList, parentValue : String? = null, searchString : String? = null, limit : Int = defaultFetchLimit, sortOrder: SortDescriptor? = null) : Observable&lt;List&lt;ATListItem&gt;&gt; {
    return Observable.create&lt;List&lt;ATListItem&gt;&gt; { subscriber -&gt;
        val listItems = listItemsInList(list, parentValue = parentValue, searchString = searchString, limit = limit, sortOrder = sortOrder)
        subscriber.onNext(listItems)
        subscriber.onCompleted()
    }.flatMap { listItems -&gt;
        if ( list.isUserList ) {
            return@flatMap loadCachedUserInfo(listItems, userIDIndex = list.userIDIndex!!)
        }
        return@flatMap Observable.just(listItems)
    }.flatMap { listItems -&gt;
        if ( list.isUserList ) {
            return@flatMap fetchUserInfoForListItems(listItems, list.userIDIndex!!, force = false)
        }
        return@flatMap Observable.just(listItems)
    }
}

fun loadCachedUserInfo(listItems : List&lt;ATListItem&gt;, userIDIndex : Int) : Observable&lt;List&lt;ATListItem&gt;&gt; {
    return Observable.create&lt;List&lt;ATListItem&gt;&gt; { subscriber -&gt;
        for ( listItem in listItems ) {
            listItem.coreUserInfo = coreUserMap[listItem.valueForAttributeIndex(userIDIndex)?.toLowerCase()]
        }
        subscriber.onNext(listItems)
        subscriber.onCompleted()
    }
}

fun fetchUserInfoForListItems(listItems : List&lt;ATListItem&gt;, userIDIndex: Int, force: Boolean) : Observable&lt;List&lt;ATListItem&gt;&gt; {
    val itemsToFetch = if ( force ) listItems else listItems.filter { it.coreUserInfo == null }
    val ids = itemsToFetch.map { it.valueForAttributeIndex(userIDIndex) ?: """" }.filter { !it.isEmpty() }
    val records = hashMapOf(""records"" to ids)
    if ( itemsToFetch.count() == 0 ) {
        return Observable.just(listItems)
    }
    return RuntimeDataController.dataService.fetchCoreUserInfo(recordsMap = records)
            .map { json -&gt;
                val recordsArray = json.arrayValue(""records"")
                for ( i in 0..recordsArray.length() - 1) {
                    val coreUserInfo = CoreUserInfo(recordsArray.getJSONObject(i))
                    coreUserMap[coreUserInfo.username.toLowerCase()] = coreUserInfo
                    coreUserMap[coreUserInfo.userID] = coreUserInfo
                    coreUserInfo.externalUserID?.let { coreUserMap[it] = coreUserInfo }
                }
                return@map listItems
            }.flatMap { loadCachedUserInfo(listItems, userIDIndex = userIDIndex) }
}
</code></pre>

<p>The user would initiate the sequence of events by calling:</p>

<p><code>ListController.itemsInList(list)</code></p>

<p>My questions about this code are:</p>

<ol>
<li>Currently <code>loadCachedUserInfo</code> takes in an array of <code>ListItem</code> and returns that same array as an observable after the cached items have been associated with it. This feels wrong to me. I think instead this call should only return the items that have a cached <code>UserInfo</code> associated with it. However, I need to continue passing the full array of <code>ListItem</code> to the next method</li>
</ol>

<p>2.) Do I need to do additional work to support unsubscribing?</p>

<p>3.) This is similar question 1. My <code>fetchUserInfoForListItems</code> takes an array of list items and returns an observable with that same array of list items after they have been fetched and re-run through the cache method. This also feels incorrect to me. I would rather this method return an <code>Observable&lt;List&lt;UserInfo&gt;&gt;</code> for the objects that were fetched. I am not understanding how in <code>itemsInList</code> to then associate the <code>ListItem</code>s with the newly fetched <code>UserInfo</code> and return an Observable of those <code>ListItem</code>s.</p>

<p><strong>Edit</strong>: After writing this post it gave helped me realize a few things. I can flatMap wrap my calls in an Observable.create that can contain the smarts I wanted to take out of my <code>fetchUserInfoForListItems</code>, letting me address question #3. Here is the updated code:</p>

<pre><code> fun itemsInList(list : ATList, parentValue : String? = null, searchString : String? = null, limit : Int = defaultFetchLimit, sortOrder: SortDescriptor? = null) : Observable&lt;List&lt;ATListItem&gt;&gt; {
    return Observable.create&lt;List&lt;ATListItem&gt;&gt; { subscriber -&gt;
        val listItems = listItemsInList(list, parentValue = parentValue, searchString = searchString, limit = limit, sortOrder = sortOrder)
        subscriber.onNext(listItems)
        subscriber.onCompleted()
    }.flatMap { listItems -&gt;
        if ( list.isUserList ) {
            return@flatMap loadCachedUserInfo(listItems, userIDIndex = list.userIDIndex!!)
        }
        return@flatMap Observable.just(listItems)
    }.flatMap { listItems -&gt;
        if ( list.isUserList ) {
            return@flatMap Observable.create&lt;List&lt;ATListItem&gt;&gt; { subscriber -&gt;
                fetchUserInfoForListItems(listItems, list.userIDIndex!!, force = false).map { userInfoList -&gt;
                    for (coreUserInfo in userInfoList) {
                        coreUserMap[coreUserInfo.username.toLowerCase()] = coreUserInfo
                        coreUserMap[coreUserInfo.userID] = coreUserInfo
                        coreUserInfo.externalUserID?.let { coreUserMap[it] = coreUserInfo }
                    }
                }.flatMap {
                    loadCachedUserInfo(listItems, userIDIndex = list.userIDIndex!!)
                }.subscribe {
                    subscriber.onNext(listItems)
                    subscriber.onCompleted()
                }
            }
        }
        return@flatMap Observable.just(listItems)
    }
}

fun loadCachedUserInfo(listItems : List&lt;ATListItem&gt;, userIDIndex : Int) : Observable&lt;List&lt;ATListItem&gt;&gt; {
    return Observable.create&lt;List&lt;ATListItem&gt;&gt; { subscriber -&gt;
        listItems.forEach { listItem -&gt; listItem.coreUserInfo = coreUserMap[listItem.valueForAttributeIndex(userIDIndex)?.toLowerCase()] }
        subscriber.onNext(listItems)
        subscriber.onCompleted()
    }
}

fun fetchUserInfoForListItems(listItems : List&lt;ATListItem&gt;, userIDIndex: Int, force: Boolean) : Observable&lt;List&lt;CoreUserInfo&gt;&gt; {
    val itemsToFetch = if ( force ) listItems else listItems.filter { it.coreUserInfo == null }
    val ids = itemsToFetch.map { it.valueForAttributeIndex(userIDIndex) ?: """" }.filter { !it.isEmpty() }
    val records = hashMapOf(""records"" to ids)
    if ( itemsToFetch.count() == 0 ) { return Observable.just(ArrayList&lt;CoreUserInfo&gt;()) }
    return RuntimeDataController.dataService.fetchCoreUserInfo(recordsMap = records)
            .map { json -&gt;
                val userInfo = ArrayList&lt;CoreUserInfo&gt;()
                json.arrayValue(""records"").eachObject { userInfo.add(CoreUserInfo(it)) }
                return@map userInfo
            }
}
</code></pre>
","4586842","","4586842","","2016-02-20 17:25:44","2016-02-20 19:16:44","Using RxJava to join local data with remote ( or cached ) data","<android><rx-java><kotlin><rx-kotlin>","1","0","","","","CC BY-SA 3.0"
"35527773","2","","35524980","2016-02-20 19:10:24","","3","","<blockquote>
  <ol>
  <li>Currently loadCachedUserInfo takes in an array of ListItem and returns that same array as an observable after the cached items have been associated with it. This feels wrong to me. I think instead this call should only return the items that have a cached UserInfo associated with it. However, I need to continue passing the full array of ListItem to the next method</li>
  </ol>
</blockquote>

<p>I am not sure I understand you correctly but if you only need side-effect (caching), you can just use <code>doOnNext</code>. For example,</p>

<pre><code>.doOnNext { listItems -&gt;
    if ( list.isUserList ) {
        cache(listItems, userIDIndex = list.userIDIndex!!)
    }
}

fun cache(listItems : List&lt;ATListItem&gt;, userIDIndex : Int) {
    // caching
}
</code></pre>

<blockquote>
  <ol start=""2"">
  <li>Do I need to do additional work to support unsubscribing?</li>
  </ol>
</blockquote>

<p>No, AFAIK.</p>

<p><strong>Note:</strong></p>

<p><strong>More info about <code>doOnNext</code> can be found at <a href=""https://stackoverflow.com/questions/28402689/what-is-the-purpose-of-doonnext-in-rxjava"">What is the purpose of doOnNext(...) in RxJava</a> and <a href=""http://www.grokkingandroid.com/rxjavas-side-effect-methods/"" rel=""nofollow noreferrer"">here</a></strong></p>

<p>Normally you don't need <code>return@...</code> if the last statement in lambda is an expression. 
e.g.:</p>

<pre><code>.flatMap { listItems -&gt;
    if ( list.isUserList ) {
        return@flatMap loadCachedUserInfo(listItems, userIDIndex = list.userIDIndex!!)
    }
    return@flatMap Observable.just(listItems)
}    
</code></pre>

<p>can be written like:</p>

<pre><code>.flatMap { listItems -&gt;
    if ( list.isUserList )
        loadCachedUserInfo(listItems, userIDIndex = list.userIDIndex!!)
    else
        Observable.just(listItems)
} 
</code></pre>

<p><strong>I didn't test the code.</strong></p>
","1104902","","-1","","2017-05-23 12:07:55","2016-02-20 19:16:44","","","","1","","","","CC BY-SA 3.0"
