Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"40519002","1","","","2016-11-10 02:17:25","","0","813","<p>Given my App will download files from a server and I only want <strong>1 download to be progressed at the same time</strong>, then how could this be done with <code>RxAlamofire</code>? I might simply be missing an Rx operator.
Here's the rough code:</p>

<pre><code>Observable
    .from(paths)
    .flatMapWithIndex({ (ip, idx) -&gt; Observable&lt;(Int, Video)&gt; in
        let v = self.files![ip.row] as! Video
        return Observable.from([(idx, v)])
    })
    .flatMap { (item) -&gt; Observable&lt;Video&gt; in
        let req = URLRequest(url: item.1.downloadURL())

        return Api.alamofireManager()
            .rx
            .download(req, to: { (url, response) -&gt; (destinationURL: URL, options: DownloadRequest.DownloadOptions) in
              ...
            })
            .flatMap({ $0.rx.progress() })
            .flatMap { (progress) -&gt; Observable&lt;Float&gt; in
              // Update a progress bar
              ...
            }
            // Only propagate finished items
            .filter { $0 &gt;= 1.0 } 
            // Return the item itself
            .flatMap { _ in Observable.from([item.1]) }
    }
    .subscribe(
      onNext: { (res) in
        ...
      },
      onError: { (error) in
        ...
      },
      onCompleted: {
        ...
      }
    )
</code></pre>

<p>My problem is <strong>a)</strong> RxAlamofire will download multiple items at the same time and <strong>b)</strong> the (progress) block is called multiple times for those various items (with different progress infos on each, causing the UI to behave a bit weird).</p>

<p><strong>How to ensure the downloads are done one by one instead of simultaneously?</strong></p>
","375209","","375209","","2016-11-14 07:45:27","2016-11-15 15:47:40","Limiting simultaneous downloads using RxAlamofire","<alamofire><rx-swift><rxalamofire>","1","2","","","","CC BY-SA 3.0"
"40894016","1","","","2016-11-30 16:57:57","","3","679","<p>I have an array of images.</p>

<pre><code>let images:[UIImage]
</code></pre>

<p>I want to upload images to the server, after uploading each image I will get the URL of the image as a response. </p>

<p>How to organize a uploading chain(loop) and get all responses using RxAlamofire?</p>

<p>P.S. I did not find examples of uploading multipart data to the server using RxAlamofire</p>
","5485334","","","","","2016-11-30 16:57:57","Uploading file with parameters using RxAlamofire","<ios><swift><rx-swift><rxalamofire>","0","1","","","","CC BY-SA 3.0"
"41174527","1","","","2016-12-15 22:41:23","","0","513","<p>I am trying to use RxAlamofire with <code>retry()</code> but I can't make it work. I tried to add <code>retry()</code> block to different positions but it doesn't make any difference. </p>

<p>If I add <code>retry(3)</code> to end of  <code>apiClient.get(type: .posts).retry(3)</code> it seems to work. Is there a way to add retry logic to <code>ApiClient</code> class? Thanks.</p>

<pre><code>class ApiClient {
    var baseURL:String

    init(baseURL:String) {
        self.baseURL = baseURL
    }

    func get(type:ApiType) -&gt; Observable&lt;[Post]&gt;{
        return RxAlamofire
            .request(.get, baseURL + ""/someurl"") //doesn't exist
            .flatMap {
            $0.validate(statusCode: 200..&lt;300)
            .rx.json()
            }.retry(3)
            .map{(data) -&gt; [Post] in
                var posts = [Post]()
                // parse it
                return posts
        }
    }
}
    let apiClient = ApiClient(baseURL: ""https://jsonplaceholder.typicode.com"")
    apiClient.get(type: .posts)
        .subscribe(onNext:  { [weak self] posts in
            self?.objects = posts
            self?.tableView.reloadData()

            }, onError: { error in
                print(error)

        }).addDisposableTo(disposablebag)
</code></pre>
","4170419","","","","","2016-12-15 22:41:23","RxAlamofire retry doesnt work","<swift><rx-swift><rxalamofire>","0","4","","","","CC BY-SA 3.0"
"41360676","1","","","2016-12-28 11:02:58","","2","2290","<p><em>How to send Multipart data with RxAlamofire</em></p>

<blockquote>
  <p>For instance in <a href=""https://github.com/Alamofire/"" rel=""nofollow noreferrer"">Alamofire</a></p>
</blockquote>

<pre><code>let URL = try! URLRequest(url: ""http://example.com"", method: .post)


Alamofire.upload(multipartFormData: { formData in
    // multiaprt
}, with: URL, encodingCompletion: {(result: SessionManager.MultipartFormDataEncodingResult) in

})
</code></pre>

<ol>
<li><strong>How to get same behaviour/function with <a href=""https://github.com/RxSwiftCommunity/RxAlamofire"" rel=""nofollow noreferrer"">RxAlamofire</a>?</strong></li>
<li><strong>Or An way of wrapping this function in an Observable?</strong></li>
</ol>
","3600738","","3600738","","2017-01-19 11:09:29","2017-01-19 19:30:48","RxAlamofire post multipart data","<swift3><alamofire><reactive-programming><rx-swift><rxalamofire>","1","0","","","","CC BY-SA 3.0"
"42271750","1","49315858","","2017-02-16 10:49:56","","1","688","<p>I'm trying to implement an alamofire call with max retries. Code is below:</p>

<pre><code>RxAlamofire.request(.post, URL, parameters: parameters, encoding: JSONEncoding.default)
    .observeOn(MainScheduler.instance)
    .retryWhen { (errors: Observable&lt;Error&gt;) in
        return errors.flatMapWithIndex { (e, a) -&gt; Observable&lt;Int64&gt; in
            if a &gt;= self.RETRY_COUNT - 1 {
                return Observable.error(e)
            }
            print(""Error: delay server call retry by \(a+1) second(s)"")
            return Observable&lt;Int64&gt;.timer(RxTimeInterval(a+1), scheduler: MainScheduler.instance)
        }
    }
    .subscribe(
        onNext: {
            (result) in

            print(""I get here when retrying..."")
        },
        onError: { (error) in
            print(error)
        }
    )
    .addDisposableTo(self.disposeBag)
</code></pre>

<p>Unfortunately, on retrying, I get into the onNext block in subscribe - I don't want to get there until I have a result. (The onError gives an error after max retries is exceeded as expected). Please can someone help?</p>
","2138979","","2138979","","2017-08-09 15:27:07","2018-03-16 08:11:36","RxAlamofire: retryWhen drops into subscribe block","<ios><swift><rx-swift><rxalamofire>","1","0","","","","CC BY-SA 3.0"
"42846206","1","","","2017-03-16 22:52:35","","1","377","<p>I'm learning RxAlamofire and I faced following issue: in this snippet fragment of code from onNext, onError and onCompleted doesn't get invoked, as if the subscription wasn't working at all. To compare, piece of code with normal Alamofire works just fine.</p>

<pre><code>private func test() {
    let disposeBag = DisposeBag()

    Observable.from([""1"", ""2"", ""3""])
        .subscribe(onNext: {
            print(""\($0) lol"")
        })
        .disposed(by: disposeBag)

    let observable: Observable&lt;(HTTPURLResponse,Any)&gt; =
        RxAlamofire.requestJSON(.get, ""https://api.fixer.io/latest?base=EUR&amp;symbols=USD"")
        .debug()

    observable
        .subscribe(
            onNext: { [weak self] (r, json) in
                print(json)
            }, onError: {
                print($0)
        })
        .addDisposableTo(disposeBag)

    Alamofire.request(""https://api.fixer.io/latest?base=EUR&amp;symbols=USD"")
        .responseJSON {
            print($0)
        }
}
</code></pre>
","5010978","","","","","2017-03-16 22:52:35","RxAlamofire - Subscription not working","<ios><iphone><swift><alamofire><rxalamofire>","0","2","","","","CC BY-SA 3.0"
"43236896","1","","","2017-04-05 16:35:42","","0","317","<p>I'm using RxAlamorefire to handle network task in my app.</p>

<p>My problem is: When I make a request and it return json. If json has a key ""error"" I need emit error notification instead of onNext notification.</p>

<p>My code is like this one:</p>

<pre><code>let observable = RxAlamofire.json(.get, url, parameters: nil, encoding: URLEncoding.default, headers: header)
.map { (json) -&gt; SomeObject? in
//Should check json maybe not in "".map"" to see if the json contain ""error"" then emit onError notification.
return Mapper&lt;SomeObject&gt;().map(JSONObject: json)
}
</code></pre>
","3806992","","1173513","","2017-04-06 07:27:23","2017-04-06 07:33:45","How to emit error when get json with key","<rx-swift><rxalamofire>","1","0","","","","CC BY-SA 3.0"
"43236932","1","","","2017-04-05 16:37:46","","2","1377","<p>I'm trying to work with <code>RxAlamofire</code> to wrap a network request result.</p>

<p>My objective is to fire request, handle JSON response and create and Observable that contain either network operation success or any error occur.</p>

<p>In other place I can call the function that create the Observable and subscribe to it and notify user whether it is success or failure with error message.</p>

<p>My implementation is below:</p>

<pre><code>func discoverMovieList(for url: String, withPagg page: Int) -&gt; Observable&lt;Any&gt; {
        let requestUrl = ""\(url)&amp;page=\(page)""

        return RxAlamofire.json(.get, requestUrl)
            .map{ jsonResponse in
                    self.createOrUpdateMoviesList(from: JSON(jsonResponse))
                }
    }
</code></pre>

<p>How can we correct the code and how we call it from other place to notify the result of the process?</p>
","5532616","","472495","","2018-08-04 21:01:59","2018-08-04 21:01:59","Using RxAlamofire to create Observable contain the result of network request","<ios><rx-swift><rxalamofire>","1","2","","","","CC BY-SA 4.0"
"43494697","1","","","2017-04-19 11:39:25","","4","336","<p>I'm using <code>RxAlamofire</code> to create my <code>observable</code>. I have build the <code>URLRequest</code>. normally with <code>Alamofire</code> we can use like <code>Alamofire.request(urlRequest)</code> but seem with <code>RxAlamofire</code> I can not use <code>RxAlamofire.requet(urlRequest)</code> </p>

<p>Here is my function</p>

<pre><code>func createOrUpdateItem(for id: NSNumber) -&gt; Observable&lt;Item&gt; {

        let testRequest = Router.top.urlRequest

        let test = RxAlamofire.request(testRequest)

    }
</code></pre>

<p>Here is the error 
<a href=""https://i.stack.imgur.com/2Tq9a.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/2Tq9a.png"" alt=""enter image description here""></a></p>

<p>Seem like <code>RxAlamofire</code> only accept parameter which are <code>URL</code> and <code>URLConvertible</code> . The strange thing is i look through RxAlamofire there are 2 method which accept both <code>URLConvertible</code> and <code>URLRequestConvertible</code>. Anyone has same same issue and how to resolve? I'm asking this because my app use <code>Alamofire Router</code> which is an enum adopt to <code>URLRequestConvertible</code>.</p>

<pre><code>    /**
         Creates an observable of the `Request`.

         - parameter method: Alamofire method object
         - parameter url: An object adopting `URLConvertible`
         - parameter parameters: A dictionary containing all necessary options
         - parameter encoding: The kind of encoding used to process parameters
         - parameter header: A dictionary containing all the addional headers

         - returns: An observable of the `Request`
         */
    public func request(_ method: Alamofire.HTTPMethod, _ url: URLConvertible, parameters: [String : Any]? = default, encoding: ParameterEncoding = default, headers: [String : String]? = default) -&gt; RxSwift.Observable&lt;Alamofire.DataRequest&gt;

    /**
         Creates an observable of the `Request`.

         - parameter URLRequest: An object adopting `URLRequestConvertible`
         - parameter parameters: A dictionary containing all necessary options
         - parameter encoding: The kind of encoding used to process parameters
         - parameter header: A dictionary containing all the addional headers

         - returns: An observable of the `Request`
         */
    public func request(urlRequest: URLRequestConvertible) -&gt; RxSwift.Observable&lt;Alamofire.DataRequest&gt;
</code></pre>
","5532616","","472495","","2018-10-10 12:28:31","2018-10-10 12:28:31","RxAlamofire cannot use with URLRequest","<ios><alamofire><urlrequest><rxalamofire>","0","0","","","","CC BY-SA 4.0"
"44317905","1","44318736","","2017-06-01 22:13:02","","0","1017","<p>This is my non-reactive code that works just fine.</p>

<p>func getLatestHtml2 () {</p>

<pre><code>Alamofire.request(""https://www.everfest.com/fest300"").responseString { response in
    print(""\(response.result.isSuccess)"")
    if let html = response.result.value {
        self.parseHTML(html: html)
    }
}
</code></pre>

<p>}</p>

<p>However when I make it reactive using this code. </p>

<pre><code>  func getLatestHtml1() -&gt; Observable&lt;String&gt; {

        return Observable&lt;String&gt;.create { (observer) -&gt; Disposable in
            let request = Alamofire
                .request(""https://www.everfest.com/fest300"")
                .responseString { response in
                    print(response.result.value)
                    observer.onNext(response.result.value!)
                    observer.onCompleted()

            }
            return Disposables.create { request.cancel() }


        }
    }
</code></pre>

<p>I get no data in the print statement. I even used RxAlamofire, which I feel is the right way with this code and it has error checking:</p>

<pre><code>func getLatestHtml() -&gt; Observable&lt;String?&gt; {
        return RxAlamofire

            .requestData(.get,""https://web.archive.org/web/20170429080421/https://www.everfest.com/fest300"" )
            .debug()
            .catchError { error in
                print(error)
                return Observable.never()
            }
            .map { (response, value) in
                print(response.statusCode)
                guard response.statusCode == 200 else { return nil }
                print(value)
                return String(data: value, encoding: String.Encoding.utf8)
            }
            .asObservable()



    }
</code></pre>

<p>which produced no data or errors anywhere. I need to know if my syntax is wrong or my thinking regarding reactive programming is wrong.</p>

<p>I cam calling it as .getLatestHTMLX(). Thanks !</p>
","6052993","","","","","2017-06-01 23:48:34","RXAlamofire not returning data ( error or not)","<swift><reactive-programming><rx-swift><frp><rxalamofire>","1","0","","","","CC BY-SA 3.0"
