Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"40455824","1","","","2016-11-06 23:41:08","","8","6626","<p>I am trying to create a table view with multiple sections using RxSwift. Each section displays data representing a different type.</p>

<p>I found the <a href=""https://github.com/RxSwiftCommunity/RxDataSources"" rel=""noreferrer""><code>RxSwiftDataSources</code></a> library and implemented the example from their documentation.</p>

<p>Here is a quick runthrough of how that example is implemented:</p>

<p>A custom data type <code>CustomData</code> is defined:</p>

<pre><code>struct CustomData {
  var anInt: Int
  var aString: String
  var aCGPoint: CGPoint
}
</code></pre>

<p>Then, the representations for the section are added (note that <code>SectionModelType</code> is implemented here):</p>

<pre><code>struct SectionOfCustomData {
  var header: String    
  var items: [Item]
}
extension SectionOfCustomData: SectionModelType {
  typealias Item = CustomData

   init(original: SectionOfCustomData, items: [Item]) {
    self = original
    self.items = items
  } 
}
</code></pre>

<p>Finally, some sample data is created and bound to the table view:</p>

<pre><code>let sections: [SectionOfCustomData] = [
  SectionOfCustomData(header: ""First section"", items: [CustomData(anInt: 0, aString: ""zero"", aCGPoint: CGPoint.zero), CustomData(anInt: 1, aString: ""one"", aCGPoint: CGPoint(x: 1, y: 1)) ]),
  SectionOfCustomData(header: ""Second section"", items: [CustomData(anInt: 2, aString: ""two"", aCGPoint: CGPoint(x: 2, y: 2)), CustomData(anInt: 3, aString: ""three"", aCGPoint: CGPoint(x: 3, y: 3)) ])
]
</code></pre>

<p>I now want to modify the example and only want to display <code>String</code>s rather than instances of <code>CustomData</code> in the second section, so somewhat like this:</p>

<pre><code>let sections = [
  SectionOfCustomData(header: ""First section"", items: [CustomData(anInt: 0, aString: ""zero"", aCGPoint: CGPoint.zero), CustomData(anInt: 1, aString: ""one"", aCGPoint: CGPoint(x: 1, y: 1)) ]),
  SectionOfString(header: ""Second section"", items: [""a"", ""b"", ""c""])
]
</code></pre>

<p>This will obviously not compile as <code>sections</code> now contains elements of different types <code>SectionOfCustomData</code> an <code>SectionOfString</code>. I tried to work around this by trying to declare sections as <code>[SectionModelType]</code> but this doesn't work, the compiler complains with:</p>

<p><strong>Protocol '<code>SectionModelType</code>' can only be used as a generic constraint because it has Self or associated type requirements</strong></p>
","1779113","","1779113","","2016-11-07 01:22:29","2017-05-11 02:34:06","How to bind table view with multiple sections that represent different data types using RxSwift and RxSwiftDataSources?","<ios><swift><rx-swift><rxdatasources>","1","1","1","","","CC BY-SA 3.0"
"41060254","1","41099315","","2016-12-09 12:13:12","","4","2729","<p>Let's say I have a <code>UIButton</code> in a <code>UITableViewCell</code>.
After dequeuing the cell from the <code>UITableView</code> I want to subscribe to the <code>UIButton.rx.tap</code>. The issue is that if my <code>UITableViewCell</code> is dequeued multiple times, the subscriptions would retain. Currently I solve this problem by allocating a <code>Disposable</code> property in my <code>UITableViewCell</code>, setting it when the subscription is create,  and calling <code>Disposable.dispose()</code> on <code>UITableViewCell.prepareForReuse()</code>, however as far as I understand implementing features in a way that requires you to call <code>Disposable.dispose()</code> implies that you are doing something wrong.</p>

<p>Is there any better way to accomplish uniqueness of the subscription without reallocating <code>UIButton</code>?</p>
","6407425","","","","","2016-12-12 10:58:17","Subscription to a UIButton.rx.tap located in UITableViewCell within UITableViewDataSource","<ios><uibutton><rx-swift><reactivex><rxdatasources>","2","0","3","","","CC BY-SA 3.0"
"41634912","1","41638649","","2017-01-13 12:41:53","","0","5984","<p>I have a question: how to properly implement such a scenario in Rx-way with RxDataSources:</p>

<p>We have a class with UICollectionView (or UITableView, in my case it's collection view), the results are not immediately present, they come asynchronously after some time.</p>

<p>I have implemented my model with sections according to the tutorial here:
<a href=""https://github.com/RxSwiftCommunity/RxDataSources"" rel=""nofollow noreferrer"">https://github.com/RxSwiftCommunity/RxDataSources</a></p>

<p>But the data is created only once with <code>just</code> there:</p>

<pre><code>let sections = [
  SectionOfCustomData(header: ""First section"", items: [CustomData(anInt: 0, aString: ""zero"", aCGPoint: CGPoint.zero), CustomData(anInt: 1, aString: ""one"", aCGPoint: CGPoint(x: 1, y: 1)) ]),
  SectionOfCustomData(header: ""Second section"", items: [CustomData(anInt: 2, aString: ""two"", aCGPoint: CGPoint(x: 2, y: 2)), CustomData(anInt: 3, aString: ""three"", aCGPoint: CGPoint(x: 3, y: 3)) ])
]

Observable.just(sections)
  .bindTo(collectionView.rx.items(dataSource: dataSource))
  .addDisposableTo(disposeBag)
</code></pre>

<p>What to do in case my items are available after some time and I want my collection view to be updated automatically?</p>

<p>Thanks for any help.</p>
","3990005","","","","","2017-01-13 15:58:54","RxSwift and UICollectionView, UITableView","<ios><swift><uicollectionview><rx-swift><rxdatasources>","1","0","2","","","CC BY-SA 3.0"
"42588448","1","","","2017-03-03 21:08:07","","3","1054","<p>How to achieve self sizing collectionViewCells using RxDataSource?</p>

<p>I've tried setting </p>

<pre><code>flowLayout.estimatedItemSize = CGSize(width: 187, height: 102)
</code></pre>

<p>But then app crashes when <code>dataSourceObservable</code> changes.</p>

<p>I've tried setting cell size inside </p>

<pre><code>dataSource.configureCell = { [weak self] (dataSource, collectionView, indexPath, _) in 
</code></pre>

<p>Which is not a good idea, because cells overlap, and it is because I am not using </p>

<pre><code>func collectionView(_ collectionView: UICollectionView, layout collectionViewLayout: UICollectionViewLayout, sizeForItemAt indexPath: IndexPath) -&gt; CGSize
</code></pre>

<p>Now, is possible to layout cell sizes properly using only observables? That is not to call something like </p>

<pre><code>dataSourceVar.value[indexPath].cellSize
</code></pre>

<p>Inside <code>collectionView sizeForItemAt</code>?</p>
","5595519","","","","","2020-08-29 01:20:41","Self sizing collectionViewCells using RxDataSource","<rx-swift><rxdatasources>","1","0","","","","CC BY-SA 3.0"
"42689091","1","","","2017-03-09 07:22:34","","0","1830","<p>I am trying to use RxSwift/RxDataSource with TableView but I am not able to assign configureCell with an existing function. Code below:</p>

<pre><code>import UIKit
import RxSwift
import RxCocoa
import RxDataSources

class BaseTableViewController: UIViewController {
    // datasources
    let dataSource = RxTableViewSectionedReloadDataSource&lt;TableSectionModel&gt;()
    let sections: Variable&lt;[TableSectionModel]&gt; = Variable&lt;[TableSectionModel]&gt;([])
    let disposeBag: DisposeBag = DisposeBag()

    // components
    let tableView: UITableView = UITableView()

    override func viewDidLoad() {
        super.viewDidLoad()
        setupUI()
        setDataSource()
    }

    func setupUI() {
        attachViews()
    }

    func setDataSource() {
        tableView.delegate = nil
        tableView.dataSource = nil
        sections.asObservable()
            .bindTo(tableView.rx.items(dataSource: dataSource))
            .addDisposableTo(disposeBag)
        dataSource.configureCell = cell
        sectionHeader()
    }

    func cell(ds: TableViewSectionedDataSource&lt;TableSectionModel&gt;, tableView: UITableView, indexPath: IndexPath, item: TableSectionModel.Item) -&gt; UITableViewCell! {
        return UITableViewCell()
    }

    func sectionHeader() {

    }
}
</code></pre>

<p>Xcode throws the following error:</p>

<blockquote>
  <p>/Users/.../BaseTableViewController.swift:39:36: Cannot assign value of type '(TableViewSectionedDataSource, UITableView, IndexPath, TableSectionModel.Item) -> UITableViewCell!' to type '(TableViewSectionedDataSource, UITableView, IndexPath, TableSectionModel.Item) -> UITableViewCell!'</p>
</blockquote>

<p>the error is thrown at line</p>

<blockquote>
  <p>dataSource.configureCell = cell</p>
</blockquote>

<p>Do you have any idea?</p>

<p>Thanks</p>
","2661859","","","","","2017-03-19 14:31:51","RxSwift DataSource configureCell not able to assign function","<ios><swift><uitableview><rx-swift><rxdatasources>","1","1","","","","CC BY-SA 3.0"
"42793796","1","","","2017-03-14 18:27:54","","1","374","<p>I have created tableView with sections by RxDataSources.</p>

<p>ViewController</p>

<pre><code>viewModel.sectionsObservable
        .bindTo(tableView.rx.items(dataSource: viewModel.dataSource))
        .disposed(by: disposeBag)
</code></pre>

<p>sectionsObservable emits the event when a new element is added to the array.</p>

<p>I would like to test if a proper element is on proper indexPath.</p>

<pre><code>func testGettingElementForIndexPath() {
    let element = Element()
    viewModel.addElement(element)
    let fetchedElement = viewModel.getElement(at: IndexPath(row: 0, section: 0))
    XCTAssertEqual(element, fetchedElement)
}
</code></pre>

<p>ViewModel</p>

<pre><code>func getElement(at indexPath: IndexPath) -&gt; Element {
    return self.dataSource.sectionModels[indexPath.section].items[indexPath.row]
}
</code></pre>

<p>it works in the app, but tests fail. fatal error: Index out of range</p>

<p>It's all because of that asynchronous. How to test this case?</p>

<hr>

<p>EDIT 1:
ViewModel</p>

<pre><code>let elementsVariable = Variable&lt;[TaskData]&gt;([])
func addElement(_ element: Element) {
    elementsVariable.value.append(element)
}

var sectionsObservable: Observable&lt;[Day]&gt; {
    return elementsVariable.asObservable().map { (elements) -&gt; [MySection] in
        ...
    }
}
</code></pre>
","2235274","","2235274","","2017-03-14 19:25:43","2017-03-14 21:26:36","RxDataSources testing","<testing><tdd><rx-swift><rxdatasources>","1","0","","","","CC BY-SA 3.0"
"42852876","1","42880047","","2017-03-17 08:45:24","","0","984","<p>I am new to reactive programming and I am experiencing difficulty in filtering and accessing object from a specific index. Below is my code snippet.</p>

<pre><code>    private var contacts: Observable&lt;(AnyRealmCollection&lt;Contact&gt;, RealmChangeset?)&gt;!

        override func viewDidLoad() {
            super.viewDidLoad()

            contacts = Observable.changeset(from: contactViewModel.getDeviceContacts())
            let dataSource = RxCollectionViewRealmDataSource&lt;Contact&gt;(cellIdentifier: ""SendFeedContactCell"", cellType: ContactCollectionCell.self) {cell, ip, contact in
                cell.configure(contact)
            }

            contacts
                .bindTo(collectionView.rx.realmChanges(dataSource))
                .addDisposableTo(disposeBag)

            searchBar
                .rx.text
                .orEmpty
                .subscribe(onNext: { [unowned self] query in
                    // Filter query - doesn't work!
                    // self.contacts.filter({ (observable) -&gt; Bool in
                    // observable.0.filter(NSPredicate(format: ""name CONTAINS[c] '\(query)'""))
                    // })
                })
                .addDisposableTo(disposeBag)  

            collectionView.rx.itemSelected
            .subscribe(onNext: { indexPath in
                // TODO: How to access a specific object from the contacts object
            })
            .addDisposableTo(disposeBag)
        }
</code></pre>

<ol>
<li><p>I am receiving query in the search bar but filtering doesn't seems to work. </p></li>
<li><p>I am getting IndexPath when an item is selected in the collection view but I am wondering how I can access a specific model properties based on the index path.</p></li>
</ol>

<p>I am using <a href=""https://github.com/RxSwiftCommunity/RxRealm"" rel=""nofollow noreferrer"">RxRealm</a> and <a href=""https://github.com/RxSwiftCommunity/RxRealmDataSources"" rel=""nofollow noreferrer"">RxRealmDataSources</a> as my data is stored in realm database in device.</p>
","1053097","","","","","2017-03-18 21:23:31","Unable to filter objects with RxSwift/RxRealm","<swift><swift3><realm><rx-swift><rxdatasources>","1","0","1","","","CC BY-SA 3.0"
"43335581","1","","","2017-04-11 02:03:47","","1","308","<p>The CollectionView cells' separators are not appearing when I populate the Collection View using RxSwift. I'm using RxDataSources instead of the class functions. I believe the function <code>drawSeparatorIfNeeded</code> isn't being called somewhere along the way, is there any workaround for this?</p>

<p>Collection View preparation:</p>

<pre><code>private func prepareCollectionView() {
  styler.cellStyle = .card
  styler.separatorLineHeight = 3.0
  styler.separatorColor = UIColor(hex: ""#eeeeee"")
  styler.shouldHideSeparators = false
  collectionView?.backgroundColor = UIColor(hex: ""#eeeeee"")
  collectionView?.register(MDCCollectionViewTextCell.self, forCellWithReuseIdentifier: ""eventCell"")

  collectionView?.translatesAutoresizingMaskIntoConstraints = false

  collectionView?.topAnchor.constraint(equalTo: navigationBar.bottomAnchor).isActive = true
  collectionView?.leftAnchor.constraint(equalTo: view.leftAnchor).isActive = true
  collectionView?.rightAnchor.constraint(equalTo: view.rightAnchor).isActive = true
  collectionView?.bottomAnchor.constraint(equalTo: view.bottomAnchor).isActive = true

  collectionView?.layoutIfNeeded()
}
</code></pre>

<p>Cell configuration:</p>

<pre><code>dataSource.configureCell = { _, collectionView, indexPath, model in
  let cell = collectionView.dequeueReusableCell(withReuseIdentifier: ""eventCell"", for: indexPath) as! MDCCollectionViewTextCell
  cell.textLabel?.text = model
  cell.backgroundColor = .white
  return cell
}
</code></pre>

<p>Cell binding:</p>

<pre><code>Observable.just(sections)
  .bindTo(collectionView!.rx.items(dataSource: dataSource))
  .addDisposableTo(disposeBag)
</code></pre>

<p>Inspecting the CollectionView in Reveal shows that the separator UIImageView has a height of 0, but when I use vanilla DataSource methods, it works as expected.</p>
","3411592","","3411592","","2017-04-13 01:01:36","2017-04-13 01:01:36","CollectionView cell separators not appearing when using RxSwift","<ios><swift><rx-swift><material-components><rxdatasources>","0","4","","","","CC BY-SA 3.0"
"43687326","1","","","2017-04-28 19:09:59","","3","476","<p>I think it's better if I explain what I'm trying to achieve because I think the error is on my misunderstanding on how Observables work.</p>

<p>I have a UIViewController that contains a UITableView I'm also using RxSwift and RxDataSources, so I'm binding my tableView items like this:</p>

<pre><code>vm.model
.debug()
.drive(tableView.rx.items(dataSource: dataSource))
.disposed(by: disposeBag)
</code></pre>

<p>Where <strong>vm</strong> is a viewModel which contains:</p>

<pre><code>self.model = self.network.provider.getMarkets()
                .map { (markets: [Market]) -&gt; [Row] in
                    var rows = [Row]()
                    for market in markets {                        
                        rows.append(.market(market: market))
                    }
                    return rows
                }
                .map { (rows: [Row]) -&gt; [Model] in
                    return [Model(section: .market, items: rows)]
                }
                .shareReplay(1)
                .asDriver(onErrorJustReturn: [])
</code></pre>

<p>Where model is:</p>

<pre><code>var model: Driver&lt;[Model]&gt;
</code></pre>

<p>This all works great the first time, the tableview displays the items, but the print from the <strong>debug()</strong>:</p>

<pre><code>2017-04-28 20:07:21.382: MarketAndLanguageSelectionViewController.swift:36 (viewDidLoad()) -&gt; subscribed
2017-04-28 20:07:22.287: MarketAndLanguageSelectionViewController.swift:36 (viewDidLoad()) -&gt; Event next(*Multiple items*)
2017-04-28 20:07:22.289: MarketAndLanguageSelectionViewController.swift:36 (viewDidLoad()) -&gt; Event completed
2017-04-28 20:07:22.289: MarketAndLanguageSelectionViewController.swift:36 (viewDidLoad()) -&gt; isDisposed
</code></pre>

<p>The problem is I didn't want the datasource to dispose because I wan't to update it based on the user action. If the user clicks a tableViewCell I want to update the model. Any ideas on how can I achieve this?</p>

<p>Sorry for such a big question.</p>
","2694525","","","","","2017-04-29 00:51:21","Observable being disposed ahead of time","<swift><rx-swift><rxdatasources>","1","0","","","","CC BY-SA 3.0"
"45818676","1","","","2017-08-22 13:13:39","","0","71","<p>I have list of objects <code>T</code> and I want to calculate their sum (<code>T</code> objects)</p>

<pre><code>var objects: Observable&lt;List&lt;T&gt;&gt;
</code></pre>

<p><code>T</code> object has a method which return <code>Int</code> value.
The main idea to get each object and prepare array of values (<code>flatMap</code> function). The next step will be <code>reduce</code> func with <code>Int</code> values.</p>

<pre><code>let sum = values.reduce(0) { $0 + $1 }
</code></pre>

<p>Q: How to get each <code>T</code> object?</p>
","1278744","","","","","2017-08-22 13:39:00","RealmSwift obtain each T object","<ios><realm><rxdatasources>","1","1","","","","CC BY-SA 3.0"
