Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"50465639","1","50465640","","2018-05-22 10:39:24","","4","1874","<p>I am trying to run the following test from <strong>Chapter 16: Testing with RxTest</strong> of <strong><a href=""https://store.raywenderlich.com/products/rxswift"" rel=""nofollow noreferrer"">Raywenderlich RxSwift</a></strong> book:</p>

<pre><code>import XCTest
import RxSwift
import RxTest
@testable import Testing

class TestingViewModel : XCTestCase {

var viewModel: ViewModel!
var scheduler: ConcurrentDispatchQueueScheduler!

override func setUp() {
super.setUp()

viewModel = ViewModel()
scheduler = ConcurrentDispatchQueueScheduler(qos: .default)
}

func testColorNameIsRayWenderlichGreenWhenHexStringIs006636() {

// 1
let colorNameObservable = viewModel.colorName.asObservable().subscribeOn(scheduler)

// 2
viewModel.hexString.value = ""#006636""

// 3
XCTAssertEqual(""rayWenderlichGreen"", try! colorNameObservable.toBlocking().first()!)
 }
}
</code></pre>

<p>But I get this error on the simulator:</p>

<blockquote>
  <p>Undefined symbols for architecture x86_64:
    ""type metadata for RxCocoa.DriverSharingStrategy"", referenced from:
        TestingTests.TestingViewModel.testColorNameIsRayWenderlichGreenWhenHexStringIs006636() -> () in TestingViewModel.o
    ""protocol witness table for RxCocoa.DriverSharingStrategy : RxCocoa.SharingStrategyProtocol in RxCocoa"", referenced from:
        TestingTests.TestingViewModel.testColorNameIsRayWenderlichGreenWhenHexStringIs006636() -> () in TestingViewModel.o
    ""RxCocoa.SharedSequence.asObservable() -> RxSwift.Observable"", referenced from:
        TestingTests.TestingViewModel.testColorNameIsRayWenderlichGreenWhenHexStringIs006636() -> () in TestingViewModel.o
  ld: symbol(s) not found for architecture x86_64
  clang: error: linker command failed with exit code 1 (use -v to see invocation)</p>
</blockquote>

<p>And This one on iPhone 6s:</p>

<blockquote>
  <p>Undefined symbols for architecture arm64:
    ""type metadata for RxCocoa.DriverSharingStrategy"", referenced from:
        TestingTests.TestingViewModel.testColorNameIsRayWenderlichGreenWhenHexStringIs006636() -> () in TestingViewModel.o
    ""protocol witness table for RxCocoa.DriverSharingStrategy : RxCocoa.SharingStrategyProtocol in RxCocoa"", referenced from:
        TestingTests.TestingViewModel.testColorNameIsRayWenderlichGreenWhenHexStringIs006636() -> () in TestingViewModel.o
    ""RxCocoa.SharedSequence.asObservable() -> RxSwift.Observable"", referenced from:
        TestingTests.TestingViewModel.testColorNameIsRayWenderlichGreenWhenHexStringIs006636() -> () in TestingViewModel.o
  ld: symbol(s) not found for architecture arm64
  clang: error: linker command failed with exit code 1 (use -v to see invocation)</p>
</blockquote>

<p><a href=""https://forums.raywenderlich.com/t/chapter-16-testing-with-rxtest/34926"" rel=""nofollow noreferrer"">Unfortunately, there is no support for this issue in Raywenderlich's forums.</a></p>
","3409515","","1000551","","2018-05-23 19:13:50","2018-05-23 19:13:50","RxTest: Undefined symbols for architecture x86_64 and arm64","<ios><swift><rx-swift><rx-cocoa><rxtest>","1","0","","","","CC BY-SA 4.0"
"52128465","1","","","2018-09-01 13:15:36","","1","1243","<p>I'm trying to understand how to correctly use <code>TestScheduler</code> from <code>RxTest 4.2</code> for <code>RxSwift 4.2</code>.</p>

<p><strong>How do I correctly create TestScheduler and pass it events which would terminate the scheduler after all events are executed?</strong></p>

<p>The code below goes into infinite loop upon starting the test scheduler. Because it keeps looping synchronously, I have no opportunity to stop the scheduler from the test</p>

<pre><code>    var testScheduler: TestScheduler = TestScheduler(initialClock: 0)

    let stateObserver = testScheduler.createObserver(Bool.self)
    subject.outputRelay.bind(to: stateObserver).disposed(by: bag)

    let events = [next(1,true), next(10,false)]
    let hotObservable = testScheduler.createHotObservable(events)

    //direct events to the given relay
    hotObservable.bind(to: subject.inputRelay).disposed(by: bag)

    testScheduler.start() //infinite loop

//do not get called
    XCTAssertEqual(stateObserver.events, [next(0, InterfaceState.started)])
    testScheduler.stop()
</code></pre>

<p>I've narrowed the issued down to this method call within <code>TestScheduler</code>. It seems there's something wrong with the subscription disposal</p>

<pre><code> func findNext() -&gt; VirtualSchedulerItem&lt;VirtualTime&gt;? {
        while let front = _schedulerQueue.peek() {
            if front.isDisposed {
                //this never gets called
                _schedulerQueue.remove(front)
                continue
            }

            return front
        }

        return nil
    }
</code></pre>
","967484","","","","","2018-09-03 09:40:31","iOS RxSwift - testing with RxTest and TestScheduler does not end / terminate test case","<swift><unit-testing><rx-swift><swift4.2><rxtest>","1","1","","","","CC BY-SA 4.0"
"53468918","1","53470402","","2018-11-25 15:18:44","","3","1155","<p>I have mock interactor and router for unit tests on presenter
presenter method: </p>

<p><i> </p>

<pre><code>private func presenterMethod(_ isOn: Bool) -&gt; Driver&lt;Bool&gt; {
    return interactor.interactorMethod(isOn)
        .subscribeOn(ConcurrentDispatchQueueScheduler(qos: .background))
        .observeOn(MainScheduler.instance)
        .do(onError: { [weak self] error in
            self?.view.showError(error)
        })
        .asDriver(onErrorJustReturn: !isOn)
}
</code></pre>

<p></i></p>

<p>And test </p>

<p><i></p>

<pre><code>func testPresenterMethod() {
    let trigger = self.scheduler.createHotObservable([
        next(100, (false)),
        next(200, (true)),
        next(300, (false))
        ]).asDriverOnErrorJustComplete()

    let observer = scheduler.createObserver(Bool.self)
    let input = createInput(presenterTrigger: trigger)
    let output = presenter.transform(input)

    scheduler.scheduleAt(0, action: {
        output.presenterMethodOutput.asObservable()
            .subscribe(observer)
            .disposed(by: self.disposeBag)
    })

    scheduler.start()

    let results = observer.events.map {
        $0.value.element
    }

    XCTAssertEqual(results, [false, true, false])
}
</code></pre>

<p></i></p>

<p>And results are empty,</p>

<p>This test work correctly only when I remove these lines from presenterMethod</p>

<p><i></p>

<pre><code>    .subscribeOn(ConcurrentDispatchQueueScheduler(qos: .background))
    .observeOn(MainScheduler.instance)
</code></pre>

<p></i></p>

<p>I tried with XCTestExpectation and fulfill in do(onNext:{}) block and get the same results, work only without subscribeOn background.
Method work correct on device and simulator, presenterMethod is treggered on switch and emit correct events. How this test should be written to work with SubscribeOn background?  </p>
","7339866","","","","","2018-11-25 20:02:07","RxSwift TestScheduler don't work if subscribeOn background","<ios><swift><rx-swift><reactivex><rxtest>","1","0","1","","","CC BY-SA 4.0"
"54037818","1","","","2019-01-04 11:09:32","","0","744","<p>I'm having trouble testing a BehaviorRelay. The following minimal code binds an observable to a BehaviorRelay, but when testing, the tests won't end and are hung - the observable keeps emitting events, because it starts with <code>Observable.timer</code>. When getting rid of the <code>bindRx</code> method and testing the observable only, it works without a problem. But I'd like to test the class properly - does that make sense?</p>

<p>How do I go about making this work?</p>

<pre><code>import XCTest
import RxSwift
import RxCocoa

struct TestObject: Codable {
    var a: Int?
    var b: Int?

    private enum CodingKeys: String, CodingKey {
        case a = ""test""
        case b
    }
}

extension TestObject: Equatable {
    static func == (lhs: TestObject, rhs: TestObject) -&gt; Bool {
        return lhs.a == rhs.a &amp;&amp; lhs.b == rhs.b
    }
}

class TestObjectFetcher {
    private let scheduler: SchedulerType
    private let disposeBag = DisposeBag()
    let testObject = BehaviorRelay&lt;TestObject?&gt;(value: nil)
    var syncInterval = 30.0

    init(scheduler: SchedulerType) {
        self.scheduler = scheduler
        self.bindRx()
    }

    var fetchTestObjectObservable: Observable&lt;TestObject?&gt; {
        return Observable&lt;Int&gt;.timer(0, period: self.syncInterval, scheduler: self.scheduler)
            .map { _ -&gt; TestObject? in
                TestObject(a: 1, b: 2)
            }
    }

    private func bindRx() {
        self.fetchTestObjectObservable
            .bind(to: self.testObject)
            .disposed(by: self.disposeBag)
    }
}

class TestObjectFetcherTests: XCTestCase {
    let testScheduler = TestScheduler(initialClock: 0)
    func testTestObjectFetcher() {

        let testObjectFetcher = TestObjectFetcher(scheduler: testScheduler)

        let events: [Recorded&lt;Event&lt;TestObject?&gt;&gt;] = [
            Recorded.next(1, TestObject(a: 1, b: 2)),
            Recorded.next(31, TestObject(a: 1, b: 2)),
            Recorded.next(61, TestObject(a: 1, b: 2))
        ]

        let res = testScheduler.start(created: 0, subscribed: 0, disposed: 90) { () -&gt; Observable&lt;TestObject?&gt; in
            return testObjectFetcher.testObject.asObservable()
        }

        XCTAssertEqual(res.events, events)
    }
}
</code></pre>
","414365","","","","","2019-01-05 22:56:42","Testing BehaviorSubject/Relay in RxSwift","<ios><swift><rx-swift><rxtest>","1","2","","","","CC BY-SA 4.0"
"56425073","1","56506817","","2019-06-03 10:04:41","","1","403","<p>I'm trying to test the main functionality of my ViewModel. The important step is to test te loaded state completed. But for sure, for a better test it could be interesting to test al states.</p>

<p>I was reading a lot of post and information about RxTest and RxBlocking but I'm not able to test this module. If someone can help me, it would be great!</p>

<pre><code>struct Product: Equatable { }
struct Promotion { }

protocol ProductsRepository {
    func fetchProducts() -&gt; Observable&lt;Products&gt;
    func fetchPromotions()  -&gt; Observable&lt;[Promotion]&gt;
}

struct ProductCellViewModel: Equatable {
    let product: Product
}

struct Products {
    let products: [Product]
}

enum ProductsViewState: Equatable {
    case loading
    case empty
    case error
    case loaded ([ProductCellViewModel])
}

class ProductsViewModel {

    var repository: ProductsRepository

    let disposeBag = DisposeBag()
    private var productCellViewModel: [ProductCellViewModel]
    private var promotions: [Promotion]

    // MARK: Input

    init(repository: ProductsRepository) {
        self.repository = repository
        productCellViewModel = [ProductCellViewModel]()
        promotions = [Promotion]()
    }

    func requestData(scheduler: SchedulerType) {
        state.onNext(.loading)
        resetCalculate()
        repository.fetchProducts()
            .observeOn(scheduler)
            .flatMap({ (products) -&gt; Observable&lt;[ProductCellViewModel]&gt; in
                return self.buildCellViewModels(data: products)
            }).subscribe(onNext: { (cellViewModels) in
                self.productCellViewModel = cellViewModels
            }, onError: { (error) in
                self.state.onNext(.error)
            }, onCompleted: {
                self.repository.fetchPromotions()
                    .flatMap({ (promotions) -&gt; Observable&lt;[Promotion]&gt; in
                        self.promotions = promotions
                        return Observable.just(promotions)
                    }).subscribe(onNext: { (_) in
                        self.state.onNext(.loaded(self.productCellViewModel))
                    }, onError: { (error) in
                        self.state.onNext(.error)
                    }).disposed(by: self.disposeBag)
            }).disposed(by: disposeBag)
    }

    // MARK: Output

    var state = PublishSubject&lt;ProductsViewState&gt;()

    // MARK: ViewModel Map Methods

    private func buildCellViewModels(data: Products) -&gt; Observable &lt;[ProductCellViewModel]&gt; {
        var viewModels = [ProductCellViewModel]()
        for product in data.products {
            viewModels.append(ProductCellViewModel.init(product: product))
        }
        return Observable.just(viewModels)
    }

    func resetCalculate() {
        productCellViewModel = [ProductCellViewModel]()
    }
}
</code></pre>

<p>The goal is to be able to test all of ProductsViewState after viewmodel.requestData() is being called</p>
","2468765","","506441","","2019-06-08 13:33:56","2019-06-08 13:33:56","Test PublishSubject for ViewState","<mvvm><rx-swift><rxtest><rx-blocking>","1","11","","","","CC BY-SA 4.0"
"56541855","1","56543768","","2019-06-11 10:38:21","","2","448","<p>I would like to perform a test in one of my ViewModels that contains a BehaviorRelay object called ""nearByCity"" that it is bind to BehaviorRelay called ""isNearBy"". That's how my view model looks like.</p>

<pre><code>class SearchViewViewModel: NSObject {

    //MARK:- Properties
    //MARK: Constants
    let disposeBag = DisposeBag()


    //MARK: Vars
    var nearByCity:BehaviorRelay&lt;String?&gt; = BehaviorRelay(value: nil)
    var isNearBy = BehaviorRelay(value: true)        

    //MARK:- Constructor
    init() {

        super.init()
        setupBinders()

    }

}


//MARK:- Private methods
private extension SearchViewViewModel{

    func setupBinders(){

        nearByCity
            .asObservable()
            .distinctUntilChanged()
            .map({$0 ?? """"})
            .map({$0 == """"})
            .bind(to: isNearBy)
            .disposed(by: disposeBag)

    }

}
</code></pre>

<p>The test that i want to perform is to actually verify that when the string is accepted, the bool value also changes according to the function setupBinders().</p>

<p>Any Idea?</p>

<p>Thank you</p>
","1824565","","1824565","","2019-06-12 07:03:54","2019-06-12 07:03:54","Testing ViewModel in RxSwift","<unit-testing><rx-swift><rxtest>","1","1","","","","CC BY-SA 4.0"
"56747818","1","56757988","","2019-06-25 06:11:11","","1","938","<p>It's my first time using <strong>RxTest</strong> and I am struggling how to do the following approach:</p>

<pre class=""lang-swift prettyprint-override""><code>protocol ViewModelType {
    func transform(input: ViewModel.Input) -&gt; ViewModel.Output
}

struct ViewModel: ViewModelType {
    private let isLoading = PublishSubject&lt;Bool&gt;()

    struct Input {
        let trigger: PublishSubject&lt;Void&gt;
    }

    struct Output {
        let someAction: Observable&lt;Void&gt;
        let isLoading: Observable&lt;Bool&gt;
    }

    func transform(input: Input) -&gt; Output {
        let someAction = input
            .trigger
            .do(onNext: { _ in
                self.isLoading.onNext(true)
                //do some async task
                self.isLoading.onNext(false)
            })
        return Output(someAction: someAction, isLoading: isLoading)
    }
}
</code></pre>

<p>I have created a Publish Subject inside the viewModel to notify the view when it should show the loader or not.</p>

<p>Everything works fine, excepts I don't know how to test it with the RxTest framework.</p>

<p>I was trying to use the scheduler and cold observables but couldn't manage to make it work.</p>

<p>What I would like to have:</p>

<ol>
<li>With the scheduler send the .next(10, ()) to the trigger. </li>
<li>Somehow record the events of the isLoading and assert equal that goes first true and then false. Like that: [.next(10, true), .next(20, false)].</li>
</ol>

<p>Maybe, the isLoading the way I did it, it's not testable. But seems it's going out through the Output I think maybe there is some way.</p>

<p>Thank you so much, if something is unclear, please feel free to edit or guide me to a better question. Much appreciated.</p>
","5288983","","5288983","","2019-06-25 15:34:28","2019-06-25 15:59:49","Trigger an event and wait for multiple events RxTest","<swift><rx-swift><rxtest>","1","0","1","","","CC BY-SA 4.0"
"57370348","1","57429193","","2019-08-06 06:46:10","","1","78","<p>I have a property on my view model:</p>

<pre class=""lang-swift prettyprint-override""><code>    let isValid: Driver&lt;Bool&gt;
    let credentials: Driver&lt;(String, String)&gt;
......
        credentials = .combineLatest(bindings.username, bindings.password, resultSelector: { (username, password) -&gt; (String, String) in (username, password) })

        isValid = credentials.map { username, password in username.count &gt; 0 &amp;&amp; password.count &gt; 7 }
</code></pre>

<p>I'd like to assert that the correct state is set on <code>isValid</code> when valid inputs are set.</p>

<p>My test is passing below, however this doesn't feel like the correct way to test this scenario. </p>

<p>Ideally I'd like to start with my strings as <code>""""</code> and then pass in values as if they had been typed so I can assert the default state is set and then changes.</p>

<p>I also find these lines:</p>

<pre><code>   .do(onNext: { state in
            if state {
                exp.fulfill()
            }
        })
</code></pre>

<p>a little ""hacky"".</p>

<pre class=""lang-swift prettyprint-override""><code>   func test_is_valid_state_changes_when_inputs_correct_length() {

        let username: Driver&lt;String&gt; = .of(""some_user_name"")
        let password: Driver&lt;String&gt; = .of(""some_user_password"")

        let bindings = LoginViewModel.Bindings(username: username, password: password, loginTap: .empty(), doneTap: .empty())
        let sut = LoginViewModel(dependency: """", bindings: bindings)

        let scheduler = TestScheduler(initialClock: 0)
        let observer = scheduler.createObserver(Bool.self)

        let exp = expectation(description: ""isValid Event"")

        sut.isValid
            .asObservable()
            .do(onNext: { state in
                if state {
                    exp.fulfill()
                }
            })
            .subscribe(observer)
            .disposed(by: disposeBag)

        scheduler.start()

        waitForExpectations(timeout: 0.5) { error in
            XCTAssertNil(error)
            XCTAssertEqual(observer.events.count, 1)
            XCTAssertTrue(observer.events[0].value.element!) // swiftlint:disable:this force_unwrapping
        }
    }
</code></pre>
","11709138","","","","","2019-08-09 11:33:40","How can I assert the output of an observable that uses latest from text inputs","<swift><reactive-programming><xctest><rx-swift><rxtest>","1","3","","","","CC BY-SA 4.0"
"57776236","1","","","2019-09-03 17:22:22","","0","303","<p>I am trying to write test cases and trying to access a method which returns Single object. For this I want to use toBlocking but I am not able to access it and getting following error:    </p>

<blockquote>
  <p>Value of type 'Single&lt;[Property]>' (aka
  'PrimitiveSequence>') has no member
  'toBlocking'</p>
</blockquote>

<p>Following is my code</p>

<pre><code> do {
        let property = try viewModel.getPropertyList(city: ""1530"")
            .toBlocking()
            .single()
        XCTAssertNotNil(property)
    } catch {
        XCTFail(""Get user settings failed"")
    }
</code></pre>

<p>Already imported following frameworks:    </p>

<pre><code>import RxCocoa   
import RxSwift  
import XCTest
</code></pre>
","9692737","","9692737","","2019-09-03 17:36:48","2019-09-05 09:14:34","Unable to access toBlocking() in xctest","<swift><rx-swift><rxtest>","1","0","","","","CC BY-SA 4.0"
"59325425","1","63844842","","2019-12-13 15:23:53","","1","276","<p>Something consider me a long time. Lets say that we have written test class: </p>

<pre><code>final class BearerTokenManagerTests: XCTestCase {

    private var bearerTokenManager: BearerTokenManager!

    private var bearerTokenProvider: BearerTokenProvider!
    private var stubKeyValueStore: KeyValueStoreDummyStub!

    private var scheduler: TestScheduler!
    private var disposeBag: DisposeBag!

    override func setUp() {
        super.setUp()

        stubKeyValueStore = KeyValueStoreDummyStub()
        bearerTokenProvider = BearerTokenProvider(keyValueStore: stubKeyValueStore)

        bearerTokenManager = BearerTokenManager(bearerTokenProvider: bearerTokenProvider)

        scheduler = TestScheduler(initialClock: 0)
        disposeBag = DisposeBag()
    }

    override func tearDown() {
        stubKeyValueStore = nil
        bearerTokenProvider = nil
        bearerTokenManager = nil

        scheduler = nil
        disposeBag = nil

        super.tearDown()
    }

    func test_bearerToken_observeChanges() {
        let bearerToken = scheduler.createObserver(BearerTokenManagerType.BearerToken.self)

        bearerTokenManager.bearerToken
            .bind(to: bearerToken)
            .disposed(by: disposeBag)

        scheduler.start()

        // every update should be saved in key value store

        bearerTokenManager.update(bearerToken: ""123"")
        XCTAssertEqual(stubKeyValueStore.string(forKey: ""BearerToken""), ""123"")

        bearerTokenManager.update(bearerToken: ""456"")
        XCTAssertEqual(stubKeyValueStore.string(forKey: ""BearerToken""), ""456"")

        bearerTokenManager.update(bearerToken: ""789"")
         XCTAssertEqual(stubKeyValueStore.string(forKey: ""BearerToken""), ""789"")

        // every udpate should be emited

        XCTAssertEqual(bearerToken.events, [
            .next(0, nil), // by default (on start) token equal to nil

            .next(0, ""123""),
            .next(0, ""456""),
            .next(0, ""789""),
        ])
    }
}
</code></pre>

<p>Is <code>tearDown</code> calling for cleaning purposes necessary? </p>

<p><strong>Why I thinking it could be not necessary:</strong></p>

<ul>
<li>Before every next test case <code>setUp</code> resets everything.</li>
<li>When tests in <code>BearerTokenManagerTests</code> ends then everything should deallocates</li>
</ul>

<p><strong>Why I not sure</strong></p>

<ul>
<li>Assuming that „When tests in <code>BearerTokenManagerTests</code> ends then everything should deallocates” could be wrong</li>
<li>I worried about <code>RxScheduler</code> side effects</li>
<li>Something I don't know yet</li>
</ul>

<p>Could someone share their experience? Do you clean up stuff in <code>tearDown</code>? Is reseting properties in <code>setUp</code> enough? </p>
","4219574","","4219574","","2019-12-13 15:46:10","2020-09-13 13:05:40","Is `tearDown` calling necessary?","<swift><xcode><xctestcase><rxtest>","1","1","1","","","CC BY-SA 4.0"
