+-------+-----------+-----------+------------+
| TOPIC | AVG  VIEW | AVG  FAV  | AVG  SCORE |
+-------+-----------+-----------+------------+
|    22 |    3453.6 |       0.7 |        3.8 |
|    17 |    2707.6 |       0.6 |        2.2 |
|    13 |    2641.4 |       0.8 |        3.5 |
|     2 |    2527.6 |       0.3 |        2.3 |
|    15 |    2503.1 |       1.1 |        4.2 |
|     5 |    2442.5 |       2.2 |        6.5 |
|    20 |    2369.9 |       1.1 |        3.9 |
|    14 |    2250.2 |       0.6 |        2.6 |
|    11 |    1923.0 |       0.4 |        2.2 |
|    16 |    1803.7 |       0.3 |        1.4 |
|     8 |    1793.0 |       0.8 |        2.7 |
|    18 |    1722.4 |       0.4 |        2.2 |
|     3 |    1659.8 |       0.4 |        1.7 |
|    19 |    1634.3 |       0.5 |        1.9 |
|     4 |    1489.7 |       0.3 |        1.4 |
|    12 |    1470.8 |       0.5 |        1.7 |
|    21 |    1454.7 |       0.4 |        2.1 |
|     1 |    1421.9 |       0.5 |        2.3 |
|     7 |    1341.5 |       0.4 |        1.3 |
|     0 |    1308.9 |       0.7 |        2.6 |
|     6 |    1237.9 |       0.3 |        1.8 |
|    10 |    1137.8 |       0.4 |        1.6 |
|     9 |    1102.5 |       0.3 |        1.3 |
+-------+-----------+-----------+------------+
