Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"47189540","1","47189648","","2017-11-08 20:56:19","","3","408","<p>I'm upgrading to Angular 5 and RxJS 5.5.2 and trying to import <code>Observable.of</code> operator.</p>

<p>Before lettable operators, we did it like this:</p>

<pre><code>import 'rxjs/add/observable/of';

// Usage
Observable.of(...)
</code></pre>

<p>But now importing from paths containing <code>add</code> is discouraged.</p>

<p>So what is the proper way of importing and using lettable static operators now?</p>
","3345644","","5394220","","2017-11-29 13:11:20","2017-11-29 13:11:20","Import of lettable operators and observable creation methods","<angular><typescript><rxjs><reactive-programming><rxjs-lettable-operators>","1","1","","","","CC BY-SA 3.0"
"47552966","1","","","2017-11-29 12:31:47","","1","516","<p>Is there a lettable operator for <code>Observable.create()</code> imported from <code>rxjs/Observable</code>?</p>

<p>I already replaced the <code>Observable.of()</code> also imported from <code>rxjs/Observable</code> by the lettable operator <code>of()</code> imported from <code>rxjs/observable/of</code>.</p>

<p>But I could not find a lettable operator for the first issue, anyone who could help?</p>

<p>EDIT: Not a duplicate, this question is about using Observable.create() as a lettable operator, and not about importing and using lettable static operators as Observable.of()</p>
","7721207","","7721207","","2017-11-30 10:18:24","2018-01-27 11:49:28","RxJS lettable operators for Observable.create","<typescript><rxjs><reactive-programming><rxjs-lettable-operators>","1","2","","","","CC BY-SA 3.0"
"47600201","1","47600954","","2017-12-01 19:26:45","","17","21149","<p>How do I do the following with lettable operators and pipe?</p>

<pre class=""lang-js prettyprint-override""><code>    this.httpClient
      .get(url)
      .map((res: any) =&gt; {
        const events = res.eventList;
        return events.map(e =&gt; new EventLogModel(e));
      })
      .catch(this.handleError);
</code></pre>

<p>I've tried this, but I can't get <code>catchError</code> to work: <code>catchError does not exist on type Observable&lt;any&gt;</code>:</p>

<pre class=""lang-js prettyprint-override""><code>    this.httpClient
      .get(url)
      .pipe(
        map((res: any) =&gt; {
          const events = res.eventList;
          return events.map(e =&gt; new EventLogModel(e));
        })
      )
      .catchError(this.handleError);
</code></pre>

<p>Also, I assume <code>catch</code> and <code>catchError</code> are the same, correct? I'm importing it like so:</p>

<p><code>import { map, catchError } from 'rxjs/operators';</code></p>

<p>but I wasn't sure if this was the correct operator to use.</p>
","2094116","","2094116","","2019-03-20 15:03:52","2019-03-20 15:03:52","How do you catch with a pipe?","<angular><rxjs><observable><rxjs-lettable-operators>","1","7","4","","","CC BY-SA 4.0"
"47889865","1","47890642","","2017-12-19 15:07:36","","4","6752","<p>I have an Angular 4 Component that is calling a Service to get data. Not the strangest of situations. After I retrieve the data and need to transform it and filter it. Apparently the way to do this nowadays is to use pipe.</p>

<p>In my Component:</p>

<pre><code>ngOnInit(): void {
    this.suService.getShippingUnitTypes().subscribe(res =&gt; {
        console.log(""Getting shipping unit types: "", res);
    });
}
</code></pre>

<p>In my service:</p>

<pre><code>getShippingUnitTypes(): any {
    const convertToJson = map(value =&gt; (value as any).json().XXETA_GRID_STATIC_LOV);
    const filterShippingUnit = filter(value =&gt; (value as any).LOV_TYPE == ""SHIPPING_UNIT"");

    return this.http.get(
        this.constantsService.LOOKUP_COLUMN_BATCH_URL
    ).pipe(convertToJson, filterShippingUnit);
}
</code></pre>

<p>The service imports the following:</p>

<pre><code>import { Injectable } from '@angular/core';
import { Http, Response, RequestOptions, Headers, RequestMethod } from '@angular/http';
import { Observable, pipe } from 'rxjs/Rx';
import { map, filter } from 'rxjs/operators';
</code></pre>

<p>When debugging, the code never errors but simply never gets to the console.log() statement in the Component. If I remove the .pipe() and simply return the Observable the code logs what I would expect only without the transforming and filtering.</p>

<p>I'm very new to Rxjs and using Pipe. I'm obviously not understanding something.</p>

<p>Edited to Add Information:</p>

<p>I put tap into the pipe like such...</p>

<pre><code>pipe(tap(console.log), convertToJson, tap(console.log), filterShippingUnit, tap(console.log))
</code></pre>

<p>I didn't know that tap existed but it is useful. The first two console logs give me what I would expect. The third one, right after the filterShippingUnit, doesn't do anything. It doesn't log a value at all. Not even null.</p>

<p>After convertToJson console.log spits out an array of 28 objects. One of the objects is:</p>

<pre><code>{LOV_TYPE: ""SHIPPING_UNIT"", LOV_TAB_TYP_ITEM: Array(4)}
</code></pre>

<p>I would expect that object to be passed on based on the filterShippingUnit filter.</p>
","214676","","5394220","","2017-12-19 17:01:02","2017-12-19 17:01:02","Rxjs pipe not working with angular´s Http.get()","<angular><typescript><rxjs><angular2-http><rxjs-lettable-operators>","1","8","1","","","CC BY-SA 3.0"
"47927723","1","","","2017-12-21 15:07:45","","1","1488","<p>I have a structure I would like to flatten into one homogeneous array. The source array looks like this:</p>

<pre><code>[
  {
    ""countryCode"": ""CA"",
    ""countryName"": ""Canada"",
    ""states"": [
      {
        ""stateCode"": ""CAAB"",
        ""stateName"": ""Alberta"",
        ""countryCode"": ""CA"",
        ""stateAbbrev"": ""AB""
      },
      . . . 
      {
        ""stateCode"": ""CAYT"",
        ""stateName"": ""Yukon Territory"",
        ""countryCode"": ""CA"",
        ""stateAbbrev"": ""YT""
      }
    ]
  },
  {
    ""countryCode"": ""US"",
    ""countryName"": ""USA"",
    ""states"": [
      {
        ""stateCode"": ""USAK"",
        ""stateName"": ""Alaska"",
        ""countryCode"": ""US"",
        ""stateAbbrev"": ""AK""
      },
      . . .
      {
        ""stateCode"": ""USWY"",
        ""stateName"": ""Wyoming"",
        ""countryCode"": ""US"",
        ""stateAbbrev"": ""WY""
      }
    ]
  }
]
</code></pre>

<p>What I would like to transform this into should look like this:</p>

<pre><code>[
  {
    ""value"": ""CA"",
    ""label"": ""Canada""
  },
  {
    ""value"": ""CACB"",
    ""label"": ""Alberta""
  },
  . . .
  {
    ""value"": ""CAYT"",
    ""label"": ""Yukon Territory""
  },
  {
    ""value"": ""US"",
    ""label"": ""USA""
  },
  {
    ""value"": ""USAK"",
    ""label"": ""Alaska""
  },
  . . .
  {
    ""value"": ""USWY"",
    ""label"": ""Wyoming""
  }
]
</code></pre>

<p>So far I have:</p>

<pre><code>let countries:Observable&lt;ICountry[]&gt; = 
   this.http.get&lt;ICountry[]&gt;(`${this.buildProUrl}/states`);

return countries.map(o =&gt; o.map(c =&gt; 
  &lt;IStateDropDownItem&gt;{value: c.countryCode, label: c.countryName}));
</code></pre>

<p>It seems like there ought to be a way to merge the states belonging to each country into the resulting observable array. I've read the concatMap, mergeMap and switchMap documentation but I can't quite figure out how to put it all together.</p>
","2969694","","","","","2017-12-21 15:36:15","How to flatten or merge arrays in rxJS","<angular><rxjs><observable><angular2-observables><rxjs-lettable-operators>","1","3","","","","CC BY-SA 3.0"
"48025965","1","48025970","","2017-12-29 17:08:56","","9","994","<p>RxJS 5.5 allows grabbing lettable operators and piping them like so:</p>

<pre><code>import { ajax } from 'rxjs/observable/dom/ajax'
import { catchError, map, retry } from 'rxjs/operators'

ajax.getJSON('https://example.com/api/test')
.pipe(
    retry(3, 1000),
    map(fetchUserFulfilled),
    catchError(console.error)
)
</code></pre>

<p>How would I use the <code>do</code> operator between these commands?</p>
","1624862","","","","","2018-05-23 12:01:18","How would I use `do` as an RxJS lettable operator?","<javascript><rxjs><rxjs5><rxjs-lettable-operators>","1","0","","","","CC BY-SA 3.0"
"48069225","1","48073663","","2018-01-02 23:25:54","","0","643","<p>I am attempting to do some <code>string</code> manipulation in <code>rjxs</code>, and while I <strong>can</strong> accomplish it with the built in behaviors on the <code>string</code> class and the <code>array</code> class in <code>Javascript</code>, I'm wanting to use this as an exercise to learn even more about <code>rxjs</code> and understand a fluent code-flow better.</p>

<p>To that end, it's imperative to me that I discover a way to do it that can fit in a <code>fluent</code> solution, instead of a series of variable assignments like I see in most <code>rxjs</code> examples.</p>

<p>Essentially, here's the situation; I've got a string of text;</p>

<pre><code>const example = `
    key || value
    key || value
    key || value

    value
    value

    value
    key || key[key1] = value | key[key2] = value
    key || value
`;
</code></pre>

<p>The first thing that I need to do is use <code>string.split('\n')</code> to create an array of strings, so that I can through each line and perform further operation.</p>

<p><code>example.string.split('\n')</code> does give the desired results, but trying to send this into <code>rxjs</code> begins to get rather mixed yield. With the <code>pipe</code> method, I know that I send the results into <code>rxjs</code> as an <code>Observable</code>, but I'm having a really troubling time grasping how to truly treat it from there without excessive nesting into the <code>map</code> operator.</p>

<p>For example, if I do ...</p>

<pre><code>of(example.string.split('\n')).pipe(
   map(results =&gt; results.toString().split('||')),
   map(results =&gt; ... ),
   ...
).subscribe();
</code></pre>

<p>I <strong>can</strong> start to get a semblance of what I'm looking for, but what I'd really like to do is ...</p>

<pre><code>of(example).pipe(
   split('\n'),
   split('||'),
   concatMap(results =&gt; ...)
).subscribe();
</code></pre>

<p>Reading the <a href=""https://github.com/ReactiveX/rxjs/blob/master/doc/lettable-operators.md"" rel=""nofollow noreferrer"">documentation on <code>lettable operators</code>, seen here</a>, it looks like this should be a pretty easy thing to create. In theory, it should look like this in my mind;</p>

<pre><code>const split = (separator: string) =&gt; &lt;T&gt;(source: Observable&lt;T&gt;) =&gt;
    new Observable(observer =&gt; {
        source.subscribe({
            next(x) { observer.next(x.toString().split(separator)); },
            error(err) { observer.error(err); },
            complete() { observer.complete(); }
        })
    });
</code></pre>

<p>So that should make the whole code obvious enough;</p>

<pre><code>of(example).pipe(
    split('\n')
).subscribe(result =&gt; console.log(`[n]::${result}`));
</code></pre>

<p>But this doesn't give me what I really expect. I expected to get an <code>array</code> of the lines, but if I output it, I get ...</p>

<blockquote>
  <p>[n]::,    key || value,    key || value,    key || value,    ,<br>
  value,    value,    ,    value,    key || key[key1] = value |
  key[key2] = value,    key || value,</p>
</blockquote>

<p>I'm really unclear what I'm doing wrong, here. Since it's hard to demonstrate <code>rxjs</code> in most of the code playgrounds like <code>plunkr</code> or <code>jsfiddle</code>, at least to my knowledge, I've prepared a playground environment to demonstrate my work on <code>stackblitz</code>, if it helps.</p>

<p>You'll find all of the pertinent code in the <code>playground/index.ts</code> file. I've done the best I can to abstract away the need to have <strong>any</strong> knowledge of angular, as I've painstakingly earmarked the sections that should be left alone to make it continue showing output on the right side. If you do not know angular, but can help with <code>rxjs</code>, you should be able to work without ever disturbing that setup.</p>

<h2><a href=""https://stackblitz.com/edit/rxjs-lettable-experiments-3hjthq"" rel=""nofollow noreferrer"">STACKBLITZ PLAYGROUND</a></h2>
","2796614","","","","","2018-01-03 08:24:07","creating lettable rxjs ""string.split"" operator","<rxjs><rxjs5><rxjs-lettable-operators>","1","0","","","","CC BY-SA 3.0"
"48132136","1","","","2018-01-06 21:34:35","","0","444","<p>I am undecided if this is the right place to ask this question, or StackOverflow might be best for this. So here i go.</p>

<p>My introductions to rxjs was through the excellent <a href=""https://angular.io"" rel=""nofollow noreferrer"">Angular</a> framework and throughout every tutorial and in practice has been ""import whatever you need from <code>add/operator</code> and then chain it. eg.</p>

<pre><code>import { Observable } from 'rxjs/Observable';
import { empty } from 'rxjs/observable/empty';
import 'rxjs/add/operator/catch';
import 'rxjs/add/operator/map';
// Other rxjs import
import 'rxjs/add/observable/of';

Class SomeClass {
  @Effect
  search$ = this._action
    .ofType&lt;search.SearchCountry&gt;(search.SEARCH_COUNTRY)
    .map(action =&gt; {
      return action.payload;
    })
    .switchMap(query =&gt; {
      if (query === '') {
        return empty();
      }
      const nextSearch$ = this._action.ofType(search.SEARCH_COUNTRY).skip(1);

      return this._searchService
        .search(query)
        .do(query =&gt; console.log(query))
        .takeUntil(nextSearch$)
        .map((result: RestResponseInterface) =&gt; {
          return new search.SearchCountryComplete(result);
        });
    })
    .catch(error =&gt; {
      return Observable.of(new search.SearchError('Undocumented API Error'));
    });
}
</code></pre>

<p>As <a href=""https://github.com/ReactiveX/rxjs/blob/master/doc/lettable-operators.md#usage"" rel=""nofollow noreferrer"">explained</a> in lettable documentaion, and If I am reading this right, chaining is discouraged as way forward, and pipe is the recommended implementation. The same implementation should be written as follows</p>

<pre><code>import { tap, take, takeUntil, skip, map, switchMap } from 'rxjs/operators'; // Import statements have changed

search$ = this._action
    .pipe(
        ofType&lt;search.SearchCountry&gt;(search.SEARCH_COUNTRY),
        map(action =&gt; action.payload),
        switchMap(query =&gt; {
            if (query === '') {
                return empty();
            }

            const nextSearch$ = this._action.ofType(search.SEARCH_COUNTRY).skip(1);

            return this._searchService
                .search(query)
                .pipe(tap(qyery =&gt; console.log(query)), takeUntil(nextSearch$), map((result: RestResponseInterface) =&gt; new search.SearchCountryComplete(result)));
        })
    )
    .catch(error =&gt; {
        return Observable.of(new search.SearchError('Undocumented API Error'));
    });
</code></pre>

<p>Because when i read the source,  especially after <a href=""https://github.com/ReactiveX/rxjs/blob/master/src/Rx.ts#L41"" rel=""nofollow noreferrer"">https://github.com/ReactiveX/rxjs/blob/master/src/Rx.ts#L41</a> its seems that chaining is perfectly acceptable, however, there is a proposal <a href=""https://github.com/ReactiveX/rxjs/issues/2913"" rel=""nofollow noreferrer"">https://github.com/ReactiveX/rxjs/issues/2913</a>, which is discussing adding <code>rxjs/add/*</code> as a seperate package.</p>

<p>My question is, how will this effect chaining in future?</p>
","228697","","","","","2018-04-05 06:39:06","On chaining and lettable operators","<rxjs5><rxjs-lettable-operators>","1","3","","","","CC BY-SA 3.0"
"48205253","1","","","2018-01-11 10:48:38","","0","1532","<p>I'm working with Angular and rxjs 5.5 and I'm trying to get this code to work with the new pipe operator.</p>

<pre><code>this.store
  .select(state =&gt; state.userState)
  .filter(userState =&gt; userState.loaded)
  .do(userState =&gt; do_something)
  .takeWhile(userState =&gt; !userState.loaded)
  .subscribe();
</code></pre>

<p>So basically, wait until the user is loaded, then do something and terminate the observable.
It would be something like this:</p>

<pre><code>this.store
  .select(state =&gt; state.userState)
  .pipe(
    filter(userState =&gt; userState.loaded),
    do(userState =&gt; do_something),
    takeWhile(userState =&gt; !userState.loaded)
  )
  .subscribe;
</code></pre>

<p>but it seems the do operator is not in the operators list anymore, so how can I achieve that? I don't want to use take(1) or similar.</p>

<p>Thanks!</p>
","4819485","","","","","2018-02-14 12:02:38","rxjs with the pipe operator","<angular><rxjs><rxjs-lettable-operators>","1","1","","","","CC BY-SA 3.0"
"48206418","1","48208553","","2018-01-11 11:52:42","","1","1031","<p>struggling with angular and observables.</p>

<p>I have a observable like this:</p>

<pre><code> private searchResults: Observable&lt;any[]&gt;;
</code></pre>

<p>and I fill this with calling it like: </p>

<pre><code>this.searchResults = this.searchTerms.pipe(
        map((event: any) =&gt; event.target.value),
        debounceTime(300),
        distinctUntilChanged(),
        filter((term: string) =&gt; term &amp;&amp; term.length &gt;= 3),
        flatMap((term: string) =&gt; this.http.get&lt;any[]&gt;(`https://my-cool-rest.api/${term}`))
    )
</code></pre>

<p>(note: searchTerms is <code>Subject&lt;string&gt;()</code> and is implemented on html like: <code>&lt;input type=""text"" (keyup)=""searchTerms.next($event)""/&gt;</code>)</p>

<p>everything so far is ok, all is working as expected.</p>

<p>When I receive the results, I show them in a simple UL</p>

<pre><code>&lt;ul&gt;
     &lt;li *ngFor=""let result of searchResults | async""&gt;
          &lt;a (click)=""selectItem(result.id)&gt;{{ result.name }}&lt;/a&gt;
     &lt;/li&gt;
&lt;/ul&gt;
</code></pre>

<p>Clicking on a item will call the <code>selectItem</code> function that write the results on console  and clear the <code>searchResults</code>:</p>

<pre><code>selectItem(result: string) {
    if (result) {
        console.log(result);
        this.searchResults = Observable.of([]);
    }
}
</code></pre>

<p>Again, everything is ok. </p>

<p>But if I repeat the process to search for other keywords, <code>*ngFor</code> does not show result anymore.</p>

<p>To be completely secure, I subscribed to <code>searchResults</code> (e.g.: in constructor) to log it</p>

<pre><code>constructor() {
     this.searchResults.subscribe(data =&gt; console.log(data));
}
</code></pre>

<p>and guess what? Works like a charm</p>

<p>I suppose this is an angular (5+) behavior I don't understand.</p>

<p>Thanks in advance!</p>
","813728","","","","","2018-01-11 13:46:43","Angular async *ngFor not working after selection","<angular><typescript><rxjs><rxjs-lettable-operators>","1","2","","","","CC BY-SA 3.0"
