Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"51926745","1","51926887","","2018-08-20 08:26:10","","1","284","<p>On a completely fresh install of <code>ng new myapp</code> (cli version 1.6.8, Angular 5.2.0, rxjs 5.5.6), I installed rxjs marbles.</p>

<p>I am having problem running the very basic test for some configuration reasons.
Can any one tell me what went wrong?</p>

<pre><code>import { TestBed, async } from '@angular/core/testing';
import { marbles } from 'rxjs-marbles/jasmine';
import { map } from 'rxjs/operators';
import { AppComponent } from './app.component';

describe('AppComponent', () =&gt; {
  beforeEach(async(() =&gt; {
    TestBed.configureTestingModule({
      declarations: [
        AppComponent,
      ],
    }).compileComponents();
  }));

  it('should see mapped values', marbles(m =&gt; {
    const values = { a: 1, b: 2, c: 3, x: 2, y: 4, z: 6 };

    const source = m.cold('--a---b---c-|', values);
    const expected = m.cold('--x---y---z-|', values);
    const result = source.pipe(map(x =&gt; x * 2));
    m.expect(result).toBeObservable(expected);
  }));
});
</code></pre>

<p>Console errors:</p>

<pre><code>ERROR in ./node_modules/rxjs-marbles/esm5/marbles.js
Module not found: Error: Can't resolve 'rxjs/testing' in '/Users/armo/Code/rxjsmarbles/node_modules/rxjs-marbles/esm5'
 @ ./node_modules/rxjs-marbles/esm5/marbles.js 9:0-45
 @ ./node_modules/rxjs-marbles/esm5/jasmine/index.js
 @ ./src/app/app.component.spec.ts
 @ ./src \.spec\.ts$
 @ ./src/test.ts

ERROR in ./node_modules/rxjs-marbles/esm5/context-deprecated.js
Module not found: Error: Can't resolve 'rxjs/testing' in '/Users/armo/Code/rxjsmarbles/node_modules/rxjs-marbles/esm5'
 @ ./node_modules/rxjs-marbles/esm5/context-deprecated.js 10:0-45
 @ ./node_modules/rxjs-marbles/esm5/marbles.js
 @ ./node_modules/rxjs-marbles/esm5/jasmine/index.js
 @ ./src/app/app.component.spec.ts
 @ ./src \.spec\.ts$
 @ ./src/test.ts

ERROR in ./node_modules/rxjs-marbles/esm5/context-run.js
Module not found: Error: Can't resolve 'rxjs/testing' in '/Users/armo/Code/rxjsmarbles/node_modules/rxjs-marbles/esm5'
 @ ./node_modules/rxjs-marbles/esm5/context-run.js 1:0-45
 @ ./node_modules/rxjs-marbles/esm5/marbles.js
 @ ./node_modules/rxjs-marbles/esm5/jasmine/index.js
 @ ./src/app/app.component.spec.ts
 @ ./src \.spec\.ts$
 @ ./src/test.ts
ERROR in node_modules/rxjs-marbles/context.d.ts(1,22): error TS2305: Module '""/Users/armo/Code/rxjsmarbles/node_modules/rxjs/Rx""' has no exported member 'SchedulerLike'.
node_modules/rxjs-marbles/context.d.ts(2,31): error TS2307: Cannot find module 'rxjs/testing'.
node_modules/rxjs-marbles/types.d.ts(2,31): error TS2307: Cannot find module 'rxjs/testing'.
</code></pre>
","776686","","776686","","2018-08-20 08:41:02","2018-08-20 08:42:18","Cannot run the simplest rxjs-marbles tests","<rxjs><rxjs-marbles>","1","0","","","","CC BY-SA 4.0"
"52805700","1","","","2018-10-14 18:16:21","","2","1716","<p>What is the difference between:</p>

<pre><code>expectObservable(e1.merge(e2)).toBe(expected);
</code></pre>

<p>and </p>

<pre><code>expect(e1.merge(e2)).toBeObservable(expected);
</code></pre>

<p>syntax?</p>

<p>Is it matter of a testing library or just a flavor?</p>
","4420532","","","","","2019-10-17 01:45:01","RxJS Marble testing: expectObservable vs toBeObservable","<unit-testing><jasmine><jasmine-marbles><rxjs-marbles>","2","0","1","","","CC BY-SA 4.0"
"53239173","1","54430521","","2018-11-10 12:56:33","","0","269","<p>I use <a href=""https://github.com/cartant/rxjs-marbles"" rel=""nofollow noreferrer"">rxjs-marbles</a> for testing observables in my Angular 7 app. But it looks like <code>m.expect</code> is not recognized by <a href=""https://jasmine.github.io"" rel=""nofollow noreferrer"">jasmine</a> as expectation.</p>

<p>I have following test:</p>

<pre><code>it('should see expectations', marbles(m =&gt; {
  const source: Observable&lt;Message&gt; = m.hot('^a--b--c');
  m.expect(source).toBeObservable('-a--b--c');
}));
</code></pre>

<p>When I run it I get error in console:</p>

<pre><code>ERROR: 'Spec 'FeatureFlagsService should see expectations' has no expectations.'
</code></pre>

<p>Also in browser output my test is prefixed with:</p>

<p><code>SPEC HAS NO EXPECTATIONS should see expectations
</code></p>

<p>Adding <code>expect(true).toBe(true);</code> fixes the issue but this is not really way I want to go.</p>

<p>How to register <code>m.expect</code> as a expectation for jasmine?</p>
","691345","","","","","2019-01-29 22:21:50","rxjs-marbles testing has no expectations","<angular><rxjs><angular-test><jasmine-marbles><rxjs-marbles>","1","2","","","","CC BY-SA 4.0"
"53770717","1","53773312","","2018-12-13 22:02:55","","5","1672","<p>I'm trying to do a pretty simple test in Angular with RxJs Observables, but I'm coming up short.  This is what I'm basically trying to test:</p>

<pre><code>// We're inside some Angular component here...
let testMe = 0;

function somethingOrOther(): void {

    this.someService.methodReturningObservable()
      .subscribe(
          (nextValue: number): void =&gt; {
              testMe += nextValue;
          }
      ) 
}
</code></pre>

<p>How do I test that <code>testMe</code> gets updated properly when the observable behind <code>methodReturningObservable</code> emits a value?</p>

<p>I attempted it with this:</p>

<pre><code>it(`works 'cuz I want it to`, fakeAsync(() =&gt; {
    spyOn(this.someService, 'methodReturningObservable').and.returnValue(cold('a', {a: 10}));

    tick();

    expect(component.testMe).toBe(10);
}));
</code></pre>

<p>So, <code>tick()</code> doesn't seem to do anything here.  Nothing gets my <code>cold</code> value to ever emit on my spy.  </p>

<p>I tried <code>getTestScheduler.flush()</code> instead as shown at <a href=""https://netbasal.com/testing-observables-in-angular-a2dbbfaf5329"" rel=""nofollow noreferrer"">https://netbasal.com/testing-observables-in-angular-a2dbbfaf5329</a> under the marbles section.</p>

<p>Can I use marbles like this to emit a value on an observable?  This was very easy in AngularJS by just triggering a digest, but I can't seem to get Anguar to let me in the next callback for an observable.</p>
","725752","","725752","","2018-12-13 22:25:48","2018-12-14 05:25:41","Test observable 'next' callback in RxJs and Angular","<angular><rxjs><jasmine-marbles><rxjs-marbles>","1","0","","","","CC BY-SA 4.0"
"53818451","1","","","2018-12-17 15:40:08","","0","173","<p>I have a method that takes an observable as an input and switches to new observable. Alternatively, I could use map instead of switchMap. How can this be tested using marbles?</p>

<pre><code>mapFirstToStr(ob: Observable&lt;boolean&gt;): Observable&lt;string&gt; {
   return ob.pipe(
       first(),
       switchMap(val =&gt; of(val ? 'A' : 'B'))
   );
}
</code></pre>

<p>This doesn't work:</p>

<pre><code>const source = cold('a', { a: true });
const expected = cold('b', { b: 'B' });
expect(mapFirstToStr(source)).toBeObservable(expected);
</code></pre>

<p>I get the following error:</p>

<blockquote>
  <p>Expected value to equal:
       [{""frame"": 0, ""notification"": {""error"": undefined, ""hasValue"": true, > ""kind"": ""N"", ""value"": ""B""}}]</p>
  
  <p>Received:
       [{""frame"": 0, ""notification"": {""error"": undefined, ""hasValue"": true, > ""kind"": ""N"", ""value"": ""B""}}, {""frame"": 0, ""notification"": {""error"": > undefined, ""hasValue"": false, ""kind"": ""C"", ""value"": undefined}}]</p>
</blockquote>
","303257","","","","","2019-08-29 21:19:46","Test observable mapping using marbles","<typescript><observable><rxjs-marbles>","1","0","","","","CC BY-SA 4.0"
"54149462","1","57547581","","2019-01-11 15:28:24","","2","824","<p>I have this Rxjs testing code. It fail deliberately, because i want to show you the failing log. Which i found hard to understand, or at least i cannot read it fluently.</p>

<p>Someone can explain me what means : <code>$[i].frame = i' to equals i''</code> ?</p>

<pre><code>import { delay } from 'rxjs/operators';
import { TestScheduler } from 'rxjs/testing';

describe('Rxjs Testing', () =&gt; {

  let s: TestScheduler;

  beforeEach(() =&gt; {
    s = new TestScheduler((actual, expected) =&gt; {
      expect(actual).toEqual(expected);
    });
  });

  it('should not work', () =&gt; {
    s.run(m =&gt; {
      const source = s.createColdObservable('-x-y-z|');
      const expected = '-x-y-z|'; // correct expected value is '---x-y-z|'

      const destination = source.pipe(delay(2));
      m.expectObservable(destination).toBe(expected);
    });
  });
});
</code></pre>

<p><a href=""https://i.stack.imgur.com/5yTaz.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/5yTaz.png"" alt=""enter image description here""></a></p>
","8325761","","","","","2019-08-18 19:07:40","RxJs marble testing : Assertion fail log hard to understand","<testing><rxjs><rxjs6><rxjs-marbles>","1","2","2","","","CC BY-SA 4.0"
"54423862","1","65857864","","2019-01-29 15:00:46","","4","2220","<p>I want to test an effect that works as follows:</p>

<ol>
<li>Effect starts if LoadEntriesSucces action was dispatched</li>
<li>It waits for 5 seconds</li>
<li>After 5 seconds passes http request is send</li>
<li>When response arrives, new action is dispatched (depending, whether response was succes or error).</li>
</ol>

<p>Effect's code looks like this:</p>

<pre><code>  @Effect()
  continuePollingEntries$ = this.actions$.pipe(
    ofType(SubnetBrowserApiActions.SubnetBrowserApiActionTypes.LoadEntriesSucces),
    delay(5000),
    switchMap(() =&gt; {
      return this.subnetBrowserService.getSubnetEntries().pipe(
        map((entries) =&gt; {
          return new SubnetBrowserApiActions.LoadEntriesSucces({ entries });
        }),
        catchError((error) =&gt; {
          return of(new SubnetBrowserApiActions.LoadEntriesFailure({ error }));
        }),
      );
    }),
  );
</code></pre>

<p>What I want to test is whether an effect is dispatched after 5 seconds:</p>

<pre><code>it('should dispatch action after 5 seconds', () =&gt; {
  const entries: SubnetEntry[] = [{
    type: 'type',
    userText: 'userText',
    ipAddress: '0.0.0.0'
  }];

  const action = new SubnetBrowserApiActions.LoadEntriesSucces({entries});
  const completion = new SubnetBrowserApiActions.LoadEntriesSucces({entries});

  actions$ = hot('-a', { a: action });
  const response = cold('-a', {a: entries});
  const expected = cold('- 5s b ', { b: completion });

  subnetBrowserService.getSubnetEntries = () =&gt; (response);

  expect(effects.continuePollingEntries$).toBeObservable(expected);
});
</code></pre>

<p>However this test does not work for me. Output from test looks like this:</p>

<pre><code>Expected $.length = 0 to equal 3.
Expected $[0] = undefined to equal Object({ frame: 20, notification: Notification({ kind: 'N', value: undefined, error: undefined, hasValue: true }) }).
Expected $[1] = undefined to equal Object({ frame: 30, notification: Notification({ kind: 'N', value: undefined, error: undefined, hasValue: true }) }).
Expected $[2] = undefined to equal Object({ frame: 50, notification: Notification({ kind: 'N', value: LoadEntriesSucces({ payload: Object({ entries: [ Object({ type: 'type', userText: 'userText', ipAddress: '0.0.0.0' }) ] }), type: '[Subnet Browser API] Load Entries Succes' }), error: undefined, hasValue: true }) }).
</code></pre>

<p>What should I do to make this test work?</p>
","4524996","","","","","2021-01-23 10:37:12","Testing NGRX effect with delay","<rxjs><ngrx><ngrx-effects><jasmine-marbles><rxjs-marbles>","4","3","","","","CC BY-SA 4.0"
"55397709","1","","","2019-03-28 12:30:29","","0","29","<p>I have the following in an Epic:</p>

<pre><code>mergeMap(result =&gt; concat(
  of(fetchDone(result)),
  of(dispatchActions(payload))
))
</code></pre>

<p>And actions:</p>

<pre><code>const fetchDone = result =&gt; ({ type: ""FETCH_DONE"", payload: result });

function dispatchActions(payload) {
  return dispatch =&gt; {
     dispatch(doStuff(payload));
     ...
  };
}
</code></pre>

<p>The issue is in my test using marbles, I need to be able to check for the anonymous function because <code>dispatchActions</code> is seen as anonymous. How do I do that?</p>

<pre><code>const values = {
  ...
  b: { type: ""FETCH_DONE"", payload: expected },
  c: NEEDS TO BE ANONYMOUS
};

...
const output$ = fetchApi(action$, state$);

// This fails due to the anonymous function
expectObservable(output$).toBe('---(bc)--', values);
</code></pre>
","5686855","","","","","2019-03-28 15:23:16","How do I check for anonymous functions?","<redux-observable><rxjs-marbles>","1","0","","","","CC BY-SA 4.0"
"56481183","1","","","2019-06-06 15:55:35","","0","76","<p><em>EDIT</em></p>

<p>I boiled down the problem. The following code yields an error in tests, but works as expected in the browser (see <a href=""https://github.com/prumand/jest-marbles-merge-map"" rel=""nofollow noreferrer"">https://github.com/prumand/jest-marbles-merge-map</a> and <a href=""https://github.com/ReactiveX/rxjs/issues/4837"" rel=""nofollow noreferrer"">https://github.com/ReactiveX/rxjs/issues/4837</a>)</p>

<ul>
<li>tests: returns a WE_FINISH</li>
<li>browser (expected): MY_NEW_ERROR</li>
</ul>

<pre class=""lang-js prettyprint-override""><code> // code
export default function basicMergeMapObs(
    action$: Observable&lt;Action&gt;
) : Observable&lt;any&gt; {
    return action$.pipe(
        filter((val: Action) =&gt; {
            throw new Error('We stop here')
        }),
        map((val: Action) =&gt; ({
            type: 'WE_FINISH',
        })),
        catchError(() =&gt; of({
            type: 'MY_NEW_ERROR',
        }))
    )
}

// test
it('should yield an MY_ERROR', () =&gt; {
    const source = of({
        type: 'TEST',
        status: 'NEW'
    })

    getScheduler().run(helpers =&gt; {
        const { expectObservable, cold } = helpers
        expectObservable(
            basicMergeMapObs(
                source
            )
        ).toBe(
            '(t|)',
            {
                t: { type: 'MY_NEW_ERROR' }
            }
        )
    })
})

function getScheduler() {
    return new TestScheduler((actual, expected) =&gt; {
        expect(actual).toMatchObject(expected);
    });
}
</code></pre>

<p><strong>UPDATE 19.06.2019</strong></p>

<p>I added cartants example from the given github issue, which works fine. Still my example fails. No idea why. IMO it should always throw an error.</p>

<p>And yet another update, the tests don't fail on linux, but only on my windows machine</p>

<p><strong>UPDATE 02.07.2019</strong>
:O seemed to be a issue with endpoint-security solution we use ...</p>
","1136340","","1136340","","2019-07-02 06:10:02","2019-07-02 06:10:02","Marble-Testing doesn't use filter operator","<rxjs><jestjs><redux-observable><ts-jest><rxjs-marbles>","0","3","","","","CC BY-SA 4.0"
"56496767","1","","","2019-06-07 14:58:30","","2","98","<p>I have to write Unit Test for this effect that is calling the service every 1 sec when it went in error.
I need to test for example that after 3 times of calling a service, I'll receive a good response.</p>

<p>I tried some way to test but without any result.</p>

<p>This is the effect that I have to test:</p>

<pre class=""lang-js prettyprint-override""><code>@Effect()
  updateEffect$ = this.actions$.pipe(
    ofType(featureActions.ActionTypes.UPDATE_PRODUCT),
    switchMap((action: UpdateProduct) =&gt;
      this.productService.getProducts().pipe(
        retryWhen((attempts) =&gt; attempts.pipe(delay(1000))),
        map((productsResponse: Products) =&gt;
          productsResponse
            ? new featureActions.LoadProductSuccess(productsResponse)
            : new featureActions.LoadProductError(productsResponse)
        )
      )
    )
  );
</code></pre>

<p>This is the unit test that I did just to see the success scenario.
What I want to test is the reload logic</p>

<pre class=""lang-js prettyprint-override""><code> it('should return UpdateProduct if service response success ', () =&gt; {
    const action = new UpdateProduct('123456');
    const completion = new LoadProductSuccess(productsResponseMock);

    actions$ = hot('-a-', { a: action });
    const response = cold('-b', { b: productsResponseMock });
    const expected = cold('--c', { c: completion });

    productService.getProducts.and.returnValue(response);
    expect(effects.updateEffect$).toBeObservable(expected);
  });
</code></pre>
","8539571","","2611237","","2019-06-07 16:33:44","2019-06-07 16:33:44","How to write unit test for effect that after n times return a valid response?","<angular><integration-testing><rxjs6><jasmine-marbles><rxjs-marbles>","1","1","","","","CC BY-SA 4.0"
